date,A,isPartial
2016-08-21,75,False
2016-08-28,79,False
2016-09-04,80,False
2016-09-11,79,False
2016-09-18,81,False
2016-09-25,79,False
2016-10-02,79,False
2016-10-09,78,False
2016-10-16,80,False
2016-10-23,80,False
2016-10-30,82,False
2016-11-06,80,False
2016-11-13,82,False
2016-11-20,78,False
2016-11-27,83,False
2016-12-04,80,False
2016-12-11,80,False
2016-12-18,73,False
2016-12-25,70,False
2017-01-01,75,False
2017-01-08,79,False
2017-01-15,79,False
2017-01-22,82,False
2017-01-29,83,False
2017-02-05,79,False
2017-02-12,84,False
2017-02-19,83,False
2017-02-26,83,False
2017-03-05,81,False
2017-03-12,82,False
2017-03-19,82,False
2017-03-26,82,False
2017-04-02,81,False
2017-04-09,81,False
2017-04-16,79,False
2017-04-23,82,False
2017-04-30,83,False
2017-05-07,82,False
2017-05-14,83,False
2017-05-21,81,False
2017-05-28,78,False
2017-06-04,76,False
2017-06-11,76,False
2017-06-18,79,False
2017-06-25,77,False
2017-07-02,76,False
2017-07-09,76,False
2017-07-16,76,False
2017-07-23,77,False
2017-07-30,77,False
2017-08-06,76,False
2017-08-13,77,False
2017-08-20,80,False
2017-08-27,78,False
2017-09-03,81,False
2017-09-10,79,False
2017-09-17,82,False
2017-09-24,80,False
2017-10-01,81,False
2017-10-08,80,False
2017-10-15,83,False
2017-10-22,79,False
2017-10-29,81,False
2017-11-05,81,False
2017-11-12,80,False
2017-11-19,81,False
2017-11-26,80,False
2017-12-03,81,False
2017-12-10,77,False
2017-12-17,73,False
2017-12-24,73,False
2017-12-31,74,False
2018-01-07,79,False
2018-01-14,78,False
2018-01-21,77,False
2018-01-28,80,False
2018-02-04,80,False
2018-02-11,79,False
2018-02-18,82,False
2018-02-25,81,False
2018-03-04,82,False
2018-03-11,82,False
2018-03-18,81,False
2018-03-25,81,False
2018-04-01,80,False
2018-04-08,85,False
2018-04-15,80,False
2018-04-22,84,False
2018-04-29,79,False
2018-05-06,83,False
2018-05-13,79,False
2018-05-20,80,False
2018-05-27,78,False
2018-06-03,78,False
2018-06-10,77,False
2018-06-17,76,False
2018-06-24,73,False
2018-07-01,73,False
2018-07-08,77,False
2018-07-15,77,False
2018-07-22,79,False
2018-07-29,76,False
2018-08-05,76,False
2018-08-12,81,False
2018-08-19,79,False
2018-08-26,83,False
2018-09-02,79,False
2018-09-09,82,False
2018-09-16,83,False
2018-09-23,83,False
2018-09-30,84,False
2018-10-07,81,False
2018-10-14,82,False
2018-10-21,82,False
2018-10-28,82,False
2018-11-04,81,False
2018-11-11,81,False
2018-11-18,79,False
2018-11-25,80,False
2018-12-02,83,False
2018-12-09,76,False
2018-12-16,76,False
2018-12-23,72,False
2018-12-30,78,False
2019-01-06,79,False
2019-01-13,79,False
2019-01-20,82,False
2019-01-27,81,False
2019-02-03,81,False
2019-02-10,82,False
2019-02-17,81,False
2019-02-24,82,False
2019-03-03,81,False
2019-03-10,81,False
2019-03-17,82,False
2019-03-24,82,False
2019-03-31,82,False
2019-04-07,83,False
2019-04-14,79,False
2019-04-21,81,False
2019-04-28,80,False
2019-05-05,81,False
2019-05-12,80,False
2019-05-19,80,False
2019-05-26,77,False
2019-06-02,80,False
2019-06-09,79,False
2019-06-16,78,False
2019-06-23,78,False
2019-06-30,76,False
2019-07-07,75,False
2019-07-14,76,False
2019-07-21,77,False
2019-07-28,77,False
2019-08-04,77,False
2019-08-11,79,False
2019-08-18,80,False
2019-08-25,81,False
2019-09-01,80,False
2019-09-08,80,False
2019-09-15,85,False
2019-09-22,85,False
2019-09-29,82,False
2019-10-06,85,False
2019-10-13,81,False
2019-10-20,83,False
2019-10-27,87,False
2019-11-03,86,False
2019-11-10,84,False
2019-11-17,85,False
2019-11-24,80,False
2019-12-01,81,False
2019-12-08,82,False
2019-12-15,78,False
2019-12-22,74,False
2019-12-29,76,False
2020-01-05,80,False
2020-01-12,82,False
2020-01-19,85,False
2020-01-26,85,False
2020-02-02,86,False
2020-02-09,85,False
2020-02-16,85,False
2020-02-23,83,False
2020-03-01,82,False
2020-03-08,82,False
2020-03-15,81,False
