date,ADM,isPartial
2016-08-21,91,False
2016-08-28,88,False
2016-09-04,85,False
2016-09-11,86,False
2016-09-18,95,False
2016-09-25,84,False
2016-10-02,84,False
2016-10-09,88,False
2016-10-16,93,False
2016-10-23,86,False
2016-10-30,82,False
2016-11-06,86,False
2016-11-13,85,False
2016-11-20,84,False
2016-11-27,79,False
2016-12-04,83,False
2016-12-11,79,False
2016-12-18,77,False
2016-12-25,66,False
2017-01-01,79,False
2017-01-08,91,False
2017-01-15,89,False
2017-01-22,89,False
2017-01-29,90,False
2017-02-05,90,False
2017-02-12,94,False
2017-02-19,87,False
2017-02-26,85,False
2017-03-05,86,False
2017-03-12,84,False
2017-03-19,91,False
2017-03-26,88,False
2017-04-02,96,False
2017-04-09,85,False
2017-04-16,83,False
2017-04-23,90,False
2017-04-30,88,False
2017-05-07,91,False
2017-05-14,79,False
2017-05-21,88,False
2017-05-28,84,False
2017-06-04,97,False
2017-06-11,90,False
2017-06-18,82,False
2017-06-25,86,False
2017-07-02,89,False
2017-07-09,90,False
2017-07-16,91,False
2017-07-23,96,False
2017-07-30,82,False
2017-08-06,82,False
2017-08-13,84,False
2017-08-20,84,False
2017-08-27,81,False
2017-09-03,89,False
2017-09-10,83,False
2017-09-17,85,False
2017-09-24,94,False
2017-10-01,79,False
2017-10-08,81,False
2017-10-15,83,False
2017-10-22,92,False
2017-10-29,78,False
2017-11-05,85,False
2017-11-12,78,False
2017-11-19,79,False
2017-11-26,84,False
2017-12-03,81,False
2017-12-10,78,False
2017-12-17,79,False
2017-12-24,67,False
2017-12-31,81,False
2018-01-07,81,False
2018-01-14,100,False
2018-01-21,88,False
2018-01-28,87,False
2018-02-04,96,False
2018-02-11,83,False
2018-02-18,90,False
2018-02-25,89,False
2018-03-04,89,False
2018-03-11,85,False
2018-03-18,90,False
2018-03-25,80,False
2018-04-01,89,False
2018-04-08,89,False
2018-04-15,84,False
2018-04-22,89,False
2018-04-29,78,False
2018-05-06,87,False
2018-05-13,90,False
2018-05-20,79,False
2018-05-27,73,False
2018-06-03,91,False
2018-06-10,77,False
2018-06-17,74,False
2018-06-24,76,False
2018-07-01,82,False
2018-07-08,85,False
2018-07-15,78,False
2018-07-22,83,False
2018-07-29,81,False
2018-08-05,83,False
2018-08-12,89,False
2018-08-19,85,False
2018-08-26,89,False
2018-09-02,79,False
2018-09-09,82,False
2018-09-16,82,False
2018-09-23,84,False
2018-09-30,82,False
2018-10-07,79,False
2018-10-14,78,False
2018-10-21,90,False
2018-10-28,84,False
2018-11-04,84,False
2018-11-11,80,False
2018-11-18,76,False
2018-11-25,82,False
2018-12-02,83,False
