date,ADP,isPartial
2016-08-21,58,False
2016-08-28,57,False
2016-09-04,53,False
2016-09-11,55,False
2016-09-18,57,False
2016-09-25,55,False
2016-10-02,54,False
2016-10-09,55,False
2016-10-16,54,False
2016-10-23,59,False
2016-10-30,60,False
2016-11-06,53,False
2016-11-13,60,False
2016-11-20,48,False
2016-11-27,62,False
2016-12-04,54,False
2016-12-11,60,False
2016-12-18,58,False
2016-12-25,52,False
2017-01-01,62,False
2017-01-08,70,False
2017-01-15,73,False
2017-01-22,79,False
2017-01-29,72,False
2017-02-05,60,False
2017-02-12,59,False
2017-02-19,57,False
2017-02-26,62,False
2017-03-05,58,False
2017-03-12,55,False
2017-03-19,54,False
2017-03-26,58,False
2017-04-02,55,False
2017-04-09,55,False
2017-04-16,54,False
2017-04-23,55,False
2017-04-30,55,False
2017-05-07,52,False
2017-05-14,54,False
2017-05-21,61,False
2017-05-28,50,False
2017-06-04,54,False
2017-06-11,58,False
2017-06-18,59,False
2017-06-25,60,False
2017-07-02,55,False
2017-07-09,59,False
2017-07-16,61,False
2017-07-23,62,False
2017-07-30,64,False
2017-08-06,59,False
2017-08-13,64,False
2017-08-20,62,False
2017-08-27,70,False
2017-09-03,59,False
2017-09-10,59,False
2017-09-17,60,False
2017-09-24,60,False
2017-10-01,62,False
2017-10-08,60,False
2017-10-15,61,False
2017-10-22,63,False
2017-10-29,64,False
2017-11-05,63,False
2017-11-12,69,False
2017-11-19,56,False
2017-11-26,66,False
2017-12-03,65,False
2017-12-10,67,False
2017-12-17,67,False
2017-12-24,60,False
2017-12-31,72,False
2018-01-07,79,False
2018-01-14,88,False
2018-01-21,89,False
2018-01-28,87,False
2018-02-04,72,False
2018-02-11,67,False
2018-02-18,65,False
2018-02-25,66,False
2018-03-04,61,False
2018-03-11,62,False
2018-03-18,61,False
2018-03-25,62,False
2018-04-01,62,False
2018-04-08,66,False
2018-04-15,64,False
2018-04-22,61,False
2018-04-29,62,False
2018-05-06,60,False
2018-05-13,59,False
2018-05-20,60,False
2018-05-27,61,False
2018-06-03,60,False
2018-06-10,62,False
2018-06-17,61,False
2018-06-24,66,False
2018-07-01,56,False
2018-07-08,62,False
2018-07-15,61,False
2018-07-22,63,False
2018-07-29,62,False
2018-08-05,63,False
