date,AES,isPartial
2016-08-21,83,False
2016-08-28,85,False
2016-09-04,88,False
2016-09-11,91,False
2016-09-18,81,False
2016-09-25,82,False
2016-10-02,87,False
2016-10-09,80,False
2016-10-16,86,False
2016-10-23,86,False
2016-10-30,79,False
2016-11-06,78,False
2016-11-13,85,False
2016-11-20,79,False
2016-11-27,79,False
2016-12-04,85,False
2016-12-11,87,False
2016-12-18,78,False
2016-12-25,64,False
2017-01-01,86,False
2017-01-08,95,False
2017-01-15,93,False
2017-01-22,91,False
2017-01-29,97,False
2017-02-05,89,False
2017-02-12,88,False
2017-02-19,98,False
2017-02-26,86,False
2017-03-05,91,False
2017-03-12,92,False
2017-03-19,84,False
2017-03-26,89,False
2017-04-02,100,False
2017-04-09,85,False
2017-04-16,84,False
2017-04-23,82,False
2017-04-30,83,False
2017-05-07,89,False
2017-05-14,83,False
2017-05-21,79,False
2017-05-28,78,False
2017-06-04,77,False
2017-06-11,75,False
2017-06-18,88,False
2017-06-25,79,False
2017-07-02,86,False
2017-07-09,83,False
2017-07-16,82,False
2017-07-23,77,False
2017-07-30,81,False
2017-08-06,70,False
2017-08-13,79,False
2017-08-20,79,False
2017-08-27,80,False
2017-09-03,86,False
2017-09-10,91,False
2017-09-17,77,False
2017-09-24,87,False
2017-10-01,84,False
2017-10-08,83,False
2017-10-15,86,False
2017-10-22,80,False
2017-10-29,79,False
2017-11-05,87,False
2017-11-12,80,False
2017-11-19,75,False
2017-11-26,85,False
2017-12-03,89,False
2017-12-10,88,False
2017-12-17,80,False
2017-12-24,65,False
2017-12-31,76,False
2018-01-07,84,False
2018-01-14,87,False
2018-01-21,84,False
2018-01-28,84,False
2018-02-04,92,False
2018-02-11,84,False
2018-02-18,83,False
2018-02-25,80,False
2018-03-04,87,False
2018-03-11,87,False
2018-03-18,83,False
2018-03-25,73,False
2018-04-01,82,False
2018-04-08,90,False
2018-04-15,83,False
2018-04-22,83,False
2018-04-29,70,False
2018-05-06,81,False
2018-05-13,78,False
2018-05-20,80,False
2018-05-27,68,False
2018-06-03,72,False
2018-06-10,71,False
2018-06-17,69,False
2018-06-24,64,False
2018-07-01,69,False
2018-07-08,67,False
2018-07-15,68,False
2018-07-22,66,False
2018-07-29,66,False
2018-08-05,66,False
2018-08-12,68,False
2018-08-19,69,False
2018-08-26,73,False
2018-09-02,79,False
2018-09-09,77,False
2018-09-16,74,False
2018-09-23,71,False
2018-09-30,70,False
2018-10-07,63,False
2018-10-14,70,False
2018-10-21,71,False
2018-10-28,66,False
2018-11-04,69,False
2018-11-11,75,False
2018-11-18,64,False
2018-11-25,73,False
2018-12-02,76,False
2018-12-09,76,False
2018-12-16,65,False
2018-12-23,50,False
2018-12-30,52,False
2019-01-06,74,False
2019-01-13,77,False
2019-01-20,75,False
2019-01-27,74,False
2019-02-03,76,False
2019-02-10,74,False
2019-02-17,73,False
2019-02-24,69,False
2019-03-03,69,False
2019-03-10,71,False
2019-03-17,70,False
2019-03-24,67,False
2019-03-31,69,False
2019-04-07,67,False
2019-04-14,66,False
2019-04-21,66,False
2019-04-28,65,False
2019-05-05,60,False
2019-05-12,62,False
2019-05-19,56,False
2019-05-26,54,False
2019-06-02,56,False
2019-06-09,62,False
2019-06-16,71,False
2019-06-23,61,False
2019-06-30,57,False
2019-07-07,60,False
2019-07-14,56,False
2019-07-21,46,False
2019-07-28,47,False
2019-08-04,46,False
2019-08-11,52,False
2019-08-18,58,False
2019-08-25,64,False
2019-09-01,65,False
2019-09-08,67,False
2019-09-15,61,False
2019-09-22,62,False
2019-09-29,62,False
2019-10-06,63,False
2019-10-13,64,False
2019-10-20,69,False
2019-10-27,65,False
2019-11-03,68,False
2019-11-10,67,False
2019-11-17,64,False
2019-11-24,58,False
2019-12-01,66,False
2019-12-08,68,False
2019-12-15,65,False
2019-12-22,48,False
2019-12-29,52,False
2020-01-05,65,False
2020-01-12,70,False
2020-01-19,75,False
2020-01-26,72,False
2020-02-02,72,False
2020-02-09,76,False
2020-02-16,68,False
2020-02-23,70,False
2020-03-01,72,False
2020-03-08,70,False
2020-03-15,58,False
2020-03-22,60,False
2020-03-29,61,False
2020-04-05,61,False
2020-04-12,65,False
2020-04-19,65,False
2020-04-26,67,False
2020-05-03,66,False
2020-05-10,58,False
2020-05-17,66,False
