date,AMGN,isPartial
2016-08-21,23,False
2016-08-28,28,False
2016-09-04,16,False
2016-09-11,28,False
2016-09-18,28,False
2016-09-25,34,False
2016-10-02,33,False
2016-10-09,18,False
2016-10-16,27,False
2016-10-23,49,False
2016-10-30,34,False
2016-11-06,47,False
2016-11-13,42,False
2016-11-20,29,False
2016-11-27,46,False
2016-12-04,42,False
2016-12-11,38,False
2016-12-18,22,False
2016-12-25,25,False
2017-01-01,80,False
2017-01-08,59,False
2017-01-15,45,False
2017-01-22,28,False
2017-01-29,96,False
2017-02-05,44,False
2017-02-12,60,False
2017-02-19,53,False
2017-02-26,27,False
2017-03-05,37,False
2017-03-12,100,False
2017-03-19,47,False
2017-03-26,42,False
2017-04-02,53,False
2017-04-09,29,False
2017-04-16,22,False
2017-04-23,61,False
2017-04-30,39,False
2017-05-07,28,False
2017-05-14,32,False
2017-05-21,33,False
2017-05-28,33,False
2017-06-04,44,False
2017-06-11,42,False
2017-06-18,43,False
2017-06-25,36,False
2017-07-02,21,False
2017-07-09,33,False
2017-07-16,27,False
2017-07-23,74,False
2017-07-30,35,False
2017-08-06,37,False
2017-08-13,17,False
2017-08-20,29,False
2017-08-27,63,False
2017-09-03,26,False
2017-09-10,64,False
2017-09-17,31,False
2017-09-24,39,False
2017-10-01,36,False
2017-10-08,47,False
2017-10-15,45,False
2017-10-22,66,False
2017-10-29,19,False
2017-11-05,35,False
2017-11-12,35,False
2017-11-19,22,False
2017-11-26,48,False
2017-12-03,27,False
2017-12-10,43,False
2017-12-17,37,False
2017-12-24,18,False
2017-12-31,29,False
2018-01-07,56,False
2018-01-14,45,False
2018-01-21,57,False
2018-01-28,99,False
2018-02-04,77,False
2018-02-11,34,False
2018-02-18,39,False
2018-02-25,31,False
2018-03-04,57,False
2018-03-11,54,False
2018-03-18,31,False
2018-03-25,24,False
2018-04-01,32,False
2018-04-08,37,False
2018-04-15,37,False
2018-04-22,50,False
2018-04-29,45,False
2018-05-06,34,False
2018-05-13,56,False
2018-05-20,43,False
2018-05-27,24,False
2018-06-03,26,False
2018-06-10,21,False
2018-06-17,32,False
2018-06-24,26,False
2018-07-01,31,False
2018-07-08,47,False
2018-07-15,43,False
2018-07-22,51,False
2018-07-29,39,False
2018-08-05,49,False
2018-08-12,32,False
2018-08-19,40,False
2018-08-26,29,False
2018-09-02,36,False
2018-09-09,36,False
2018-09-16,33,False
2018-09-23,36,False
2018-09-30,43,False
2018-10-07,26,False
2018-10-14,13,False
2018-10-21,62,False
2018-10-28,31,False
2018-11-04,43,False
2018-11-11,41,False
2018-11-18,36,False
2018-11-25,53,False
2018-12-02,49,False
2018-12-09,47,False
2018-12-16,42,False
2018-12-23,40,False
2018-12-30,28,False
2019-01-06,39,False
2019-01-13,38,False
2019-01-20,35,False
2019-01-27,40,False
2019-02-03,40,False
2019-02-10,30,False
2019-02-17,28,False
2019-02-24,37,False
2019-03-03,33,False
2019-03-10,30,False
2019-03-17,36,False
2019-03-24,15,False
2019-03-31,38,False
2019-04-07,38,False
2019-04-14,53,False
2019-04-21,55,False
2019-04-28,46,False
2019-05-05,43,False
2019-05-12,61,False
2019-05-19,25,False
2019-05-26,35,False
2019-06-02,55,False
2019-06-09,45,False
2019-06-16,38,False
2019-06-23,25,False
2019-06-30,13,False
2019-07-07,40,False
2019-07-14,33,False
2019-07-21,37,False
2019-07-28,67,False
2019-08-04,34,False
2019-08-11,87,False
2019-08-18,18,False
2019-08-25,47,False
2019-09-01,49,False
2019-09-08,38,False
2019-09-15,27,False
2019-09-22,24,False
2019-09-29,14,False
2019-10-06,34,False
2019-10-13,26,False
2019-10-20,23,False
2019-10-27,72,False
2019-11-03,33,False
2019-11-10,26,False
2019-11-17,50,False
2019-11-24,25,False
2019-12-01,31,False
2019-12-08,22,False
2019-12-15,67,False
2019-12-22,16,False
2019-12-29,32,False
2020-01-05,48,False
2020-01-12,42,False
2020-01-19,39,False
2020-01-26,55,False
2020-02-02,43,False
2020-02-09,47,False
2020-02-16,20,False
2020-02-23,37,False
2020-03-01,48,False
2020-03-08,43,False
2020-03-15,40,False
2020-03-22,39,False
2020-03-29,36,False
2020-04-05,31,False
2020-04-12,43,False
2020-04-19,52,False
2020-04-26,54,False
2020-05-03,51,False
2020-05-10,31,False
2020-05-17,41,False
2020-05-24,40,False
2020-05-31,49,False
2020-06-07,31,False
2020-06-14,38,False
2020-06-21,40,False
2020-06-28,30,False
2020-07-05,51,False
2020-07-12,31,False
2020-07-19,47,False
2020-07-26,53,False
2020-08-02,33,False
2020-08-09,33,False
2020-08-16,33,False
2020-08-23,76,False
2020-08-30,36,False
