date,BAX,isPartial
2016-08-21,86,False
2016-08-28,90,False
2016-09-04,97,False
2016-09-11,100,False
2016-09-18,85,False
2016-09-25,92,False
2016-10-02,73,False
2016-10-09,92,False
2016-10-16,89,False
2016-10-23,79,False
2016-10-30,86,False
2016-11-06,85,False
2016-11-13,82,False
2016-11-20,85,False
2016-11-27,84,False
2016-12-04,90,False
2016-12-11,87,False
2016-12-18,94,False
2016-12-25,84,False
2017-01-01,84,False
2017-01-08,90,False
2017-01-15,88,False
2017-01-22,93,False
2017-01-29,93,False
2017-02-05,83,False
2017-02-12,79,False
2017-02-19,86,False
2017-02-26,82,False
2017-03-05,90,False
2017-03-12,83,False
2017-03-19,88,False
2017-03-26,89,False
2017-04-02,74,False
2017-04-09,78,False
2017-04-16,86,False
2017-04-23,83,False
2017-04-30,81,False
2017-05-07,74,False
2017-05-14,69,False
2017-05-21,79,False
2017-05-28,68,False
2017-06-04,70,False
2017-06-11,74,False
2017-06-18,74,False
2017-06-25,71,False
2017-07-02,83,False
2017-07-09,65,False
2017-07-16,80,False
2017-07-23,77,False
2017-07-30,71,False
2017-08-06,66,False
2017-08-13,79,False
2017-08-20,76,False
2017-08-27,81,False
2017-09-03,64,False
2017-09-10,84,False
2017-09-17,72,False
2017-09-24,77,False
2017-10-01,76,False
2017-10-08,76,False
2017-10-15,76,False
2017-10-22,70,False
2017-10-29,83,False
2017-11-05,81,False
2017-11-12,86,False
2017-11-19,91,False
2017-11-26,95,False
2017-12-03,82,False
2017-12-10,89,False
2017-12-17,84,False
2017-12-24,83,False
2017-12-31,87,False
2018-01-07,79,False
2018-01-14,79,False
2018-01-21,84,False
2018-01-28,82,False
2018-02-04,88,False
2018-02-11,79,False
2018-02-18,79,False
2018-02-25,76,False
2018-03-04,82,False
2018-03-11,74,False
2018-03-18,81,False
2018-03-25,78,False
2018-04-01,77,False
2018-04-08,74,False
2018-04-15,77,False
2018-04-22,85,False
2018-04-29,69,False
2018-05-06,81,False
2018-05-13,84,False
2018-05-20,81,False
2018-05-27,78,False
2018-06-03,72,False
2018-06-10,73,False
2018-06-17,85,False
2018-06-24,82,False
2018-07-01,72,False
2018-07-08,67,False
2018-07-15,68,False
2018-07-22,78,False
2018-07-29,66,False
2018-08-05,69,False
2018-08-12,68,False
2018-08-19,70,False
2018-08-26,68,False
2018-09-02,63,False
2018-09-09,70,False
2018-09-16,68,False
2018-09-23,65,False
2018-09-30,70,False
2018-10-07,60,False
2018-10-14,66,False
2018-10-21,78,False
2018-10-28,81,False
2018-11-04,73,False
2018-11-11,85,False
2018-11-18,95,False
2018-11-25,81,False
2018-12-02,79,False
2018-12-09,81,False
2018-12-16,76,False
2018-12-23,84,False
2018-12-30,84,False
2019-01-06,79,False
2019-01-13,72,False
2019-01-20,76,False
2019-01-27,79,False
2019-02-03,73,False
2019-02-10,73,False
2019-02-17,69,False
2019-02-24,62,False
2019-03-03,68,False
2019-03-10,71,False
2019-03-17,76,False
2019-03-24,69,False
2019-03-31,82,False
2019-04-07,70,False
2019-04-14,65,False
2019-04-21,66,False
2019-04-28,74,False
2019-05-05,78,False
2019-05-12,78,False
2019-05-19,78,False
2019-05-26,67,False
2019-06-02,76,False
2019-06-09,72,False
2019-06-16,76,False
2019-06-23,68,False
2019-06-30,82,False
2019-07-07,78,False
2019-07-14,81,False
2019-07-21,71,False
2019-07-28,63,False
2019-08-04,79,False
2019-08-11,82,False
2019-08-18,72,False
2019-08-25,77,False
2019-09-01,66,False
2019-09-08,74,False
2019-09-15,77,False
2019-09-22,77,False
2019-09-29,68,False
2019-10-06,64,False
2019-10-13,68,False
2019-10-20,83,False
2019-10-27,87,False
2019-11-03,83,False
2019-11-10,85,False
2019-11-17,78,False
