date,BSX,isPartial
2016-08-21,53,False
2016-08-28,52,False
2016-09-04,70,False
2016-09-11,80,False
2016-09-18,82,False
2016-09-25,76,False
2016-10-02,52,False
2016-10-09,67,False
2016-10-16,62,False
2016-10-23,62,False
2016-10-30,53,False
2016-11-06,51,False
2016-11-13,47,False
2016-11-20,48,False
2016-11-27,67,False
2016-12-04,53,False
2016-12-11,55,False
2016-12-18,53,False
2016-12-25,66,False
2017-01-01,63,False
2017-01-08,71,False
2017-01-15,45,False
2017-01-22,55,False
2017-01-29,79,False
2017-02-05,60,False
2017-02-12,53,False
2017-02-19,73,False
2017-02-26,48,False
2017-03-05,71,False
2017-03-12,64,False
2017-03-19,68,False
2017-03-26,37,False
2017-04-02,48,False
2017-04-09,65,False
2017-04-16,51,False
2017-04-23,71,False
2017-04-30,67,False
2017-05-07,57,False
2017-05-14,52,False
2017-05-21,53,False
2017-05-28,61,False
2017-06-04,78,False
2017-06-11,59,False
2017-06-18,66,False
2017-06-25,79,False
2017-07-02,63,False
2017-07-09,45,False
2017-07-16,52,False
2017-07-23,61,False
2017-07-30,68,False
2017-08-06,71,False
2017-08-13,53,False
2017-08-20,60,False
2017-08-27,51,False
2017-09-03,68,False
2017-09-10,53,False
2017-09-17,75,False
2017-09-24,70,False
2017-10-01,61,False
2017-10-08,54,False
2017-10-15,59,False
2017-10-22,72,False
2017-10-29,48,False
2017-11-05,60,False
2017-11-12,58,False
2017-11-19,44,False
2017-11-26,65,False
2017-12-03,54,False
2017-12-10,51,False
2017-12-17,52,False
2017-12-24,51,False
2017-12-31,54,False
2018-01-07,77,False
2018-01-14,70,False
2018-01-21,62,False
2018-01-28,77,False
2018-02-04,66,False
2018-02-11,55,False
2018-02-18,68,False
2018-02-25,62,False
2018-03-04,50,False
2018-03-11,69,False
2018-03-18,66,False
2018-03-25,74,False
2018-04-01,59,False
2018-04-08,73,False
2018-04-15,73,False
2018-04-22,63,False
2018-04-29,63,False
2018-05-06,74,False
2018-05-13,66,False
2018-05-20,49,False
2018-05-27,64,False
2018-06-03,59,False
2018-06-10,100,False
2018-06-17,73,False
2018-06-24,79,False
2018-07-01,48,False
2018-07-08,50,False
2018-07-15,53,False
2018-07-22,73,False
2018-07-29,39,False
2018-08-05,69,False
2018-08-12,68,False
2018-08-19,65,False
2018-08-26,61,False
2018-09-02,66,False
2018-09-09,65,False
2018-09-16,54,False
2018-09-23,75,False
2018-09-30,58,False
2018-10-07,65,False
2018-10-14,51,False
2018-10-21,56,False
2018-10-28,68,False
2018-11-04,63,False
2018-11-11,54,False
2018-11-18,40,False
2018-11-25,62,False
2018-12-02,72,False
2018-12-09,77,False
2018-12-16,40,False
2018-12-23,48,False
2018-12-30,61,False
2019-01-06,60,False
2019-01-13,66,False
2019-01-20,33,False
2019-01-27,64,False
2019-02-03,61,False
2019-02-10,57,False
2019-02-17,54,False
2019-02-24,66,False
2019-03-03,52,False
2019-03-10,60,False
2019-03-17,81,False
2019-03-24,55,False
2019-03-31,73,False
2019-04-07,62,False
2019-04-14,69,False
2019-04-21,64,False
2019-04-28,51,False
2019-05-05,54,False
2019-05-12,62,False
2019-05-19,46,False
2019-05-26,54,False
2019-06-02,57,False
2019-06-09,45,False
2019-06-16,54,False
2019-06-23,47,False
2019-06-30,51,False
2019-07-07,47,False
2019-07-14,59,False
2019-07-21,65,False
2019-07-28,62,False
2019-08-04,66,False
2019-08-11,68,False
2019-08-18,60,False
2019-08-25,43,False
2019-09-01,59,False
2019-09-08,56,False
2019-09-15,46,False
2019-09-22,53,False
2019-09-29,52,False
2019-10-06,45,False
2019-10-13,46,False
2019-10-20,66,False
2019-10-27,39,False
2019-11-03,44,False
2019-11-10,59,False
2019-11-17,43,False
2019-11-24,45,False
2019-12-01,56,False
2019-12-08,43,False
2019-12-15,63,False
2019-12-22,40,False
2019-12-29,39,False
2020-01-05,50,False
2020-01-12,64,False
2020-01-19,53,False
2020-01-26,48,False
2020-02-02,53,False
2020-02-09,39,False
2020-02-16,46,False
2020-02-23,60,False
2020-03-01,46,False
2020-03-08,61,False
2020-03-15,56,False
2020-03-22,48,False
2020-03-29,56,False
