date,CAG,isPartial
2016-08-21,24,False
2016-08-28,28,False
2016-09-04,33,False
2016-09-11,25,False
2016-09-18,28,False
2016-09-25,27,False
2016-10-02,28,False
2016-10-09,26,False
2016-10-16,22,False
2016-10-23,28,False
2016-10-30,22,False
2016-11-06,23,False
2016-11-13,24,False
2016-11-20,29,False
2016-11-27,27,False
2016-12-04,22,False
2016-12-11,24,False
2016-12-18,24,False
2016-12-25,24,False
2017-01-01,24,False
2017-01-08,24,False
2017-01-15,29,False
2017-01-22,31,False
2017-01-29,30,False
2017-02-05,24,False
2017-02-12,31,False
2017-02-19,29,False
2017-02-26,29,False
2017-03-05,30,False
2017-03-12,27,False
2017-03-19,28,False
2017-03-26,28,False
2017-04-02,25,False
2017-04-09,25,False
2017-04-16,27,False
2017-04-23,25,False
2017-04-30,30,False
2017-05-07,27,False
2017-05-14,26,False
2017-05-21,27,False
2017-05-28,33,False
2017-06-04,31,False
2017-06-11,29,False
2017-06-18,32,False
2017-06-25,27,False
2017-07-02,26,False
2017-07-09,34,False
2017-07-16,37,False
2017-07-23,46,False
2017-07-30,29,False
2017-08-06,34,False
2017-08-13,31,False
2017-08-20,28,False
2017-08-27,30,False
2017-09-03,31,False
2017-09-10,35,False
2017-09-17,29,False
2017-09-24,32,False
2017-10-01,35,False
2017-10-08,31,False
2017-10-15,25,False
2017-10-22,32,False
2017-10-29,31,False
2017-11-05,30,False
2017-11-12,28,False
2017-11-19,28,False
2017-11-26,31,False
2017-12-03,30,False
2017-12-10,31,False
2017-12-17,34,False
2017-12-24,23,False
2017-12-31,29,False
2018-01-07,33,False
2018-01-14,25,False
2018-01-21,26,False
2018-01-28,30,False
2018-02-04,31,False
2018-02-11,32,False
2018-02-18,29,False
2018-02-25,26,False
2018-03-04,31,False
2018-03-11,36,False
2018-03-18,29,False
2018-03-25,29,False
2018-04-01,33,False
2018-04-08,30,False
2018-04-15,32,False
2018-04-22,31,False
2018-04-29,29,False
2018-05-06,29,False
2018-05-13,24,False
2018-05-20,25,False
2018-05-27,31,False
2018-06-03,30,False
2018-06-10,27,False
2018-06-17,31,False
2018-06-24,28,False
2018-07-01,31,False
2018-07-08,31,False
2018-07-15,29,False
2018-07-22,28,False
2018-07-29,32,False
2018-08-05,38,False
2018-08-12,32,False
2018-08-19,29,False
2018-08-26,29,False
2018-09-02,22,False
2018-09-09,29,False
2018-09-16,31,False
2018-09-23,33,False
2018-09-30,29,False
2018-10-07,33,False
2018-10-14,29,False
2018-10-21,27,False
2018-10-28,28,False
2018-11-04,23,False
2018-11-11,29,False
2018-11-18,31,False
2018-11-25,27,False
2018-12-02,34,False
2018-12-09,35,False
2018-12-16,40,False
2018-12-23,30,False
2018-12-30,31,False
2019-01-06,36,False
2019-01-13,33,False
2019-01-20,31,False
2019-01-27,29,False
2019-02-03,32,False
2019-02-10,81,False
2019-02-17,32,False
2019-02-24,29,False
2019-03-03,29,False
2019-03-10,31,False
2019-03-17,30,False
2019-03-24,33,False
2019-03-31,30,False
2019-04-07,37,False
2019-04-14,31,False
2019-04-21,30,False
2019-04-28,31,False
2019-05-05,32,False
2019-05-12,25,False
2019-05-19,28,False
2019-05-26,28,False
2019-06-02,27,False
2019-06-09,28,False
2019-06-16,29,False
2019-06-23,32,False
2019-06-30,30,False
2019-07-07,28,False
2019-07-14,32,False
2019-07-21,27,False
2019-07-28,34,False
2019-08-04,33,False
2019-08-11,27,False
2019-08-18,30,False
2019-08-25,35,False
2019-09-01,36,False
2019-09-08,32,False
2019-09-15,37,False
2019-09-22,32,False
2019-09-29,27,False
2019-10-06,31,False
2019-10-13,29,False
2019-10-20,28,False
2019-10-27,32,False
2019-11-03,31,False
2019-11-10,38,False
2019-11-17,36,False
2019-11-24,29,False
2019-12-01,41,False
2019-12-08,36,False
2019-12-15,39,False
2019-12-22,29,False
2019-12-29,33,False
2020-01-05,41,False
2020-01-12,32,False
2020-01-19,31,False
2020-01-26,35,False
2020-02-02,40,False
2020-02-09,43,False
2020-02-16,33,False
2020-02-23,34,False
2020-03-01,33,False
2020-03-08,25,False
2020-03-15,25,False
2020-03-22,23,False
2020-03-29,24,False
2020-04-05,22,False
2020-04-12,24,False
2020-04-19,30,False
2020-04-26,29,False
2020-05-03,29,False
2020-05-10,28,False
2020-05-17,26,False
2020-05-24,31,False
2020-05-31,30,False
2020-06-07,32,False
2020-06-14,25,False
2020-06-21,30,False
2020-06-28,28,False
2020-07-05,27,False
2020-07-12,28,False
2020-07-19,28,False
2020-07-26,30,False
2020-08-02,74,False
2020-08-09,41,False
2020-08-16,45,False
2020-08-23,33,False
2020-08-30,31,False
2020-09-06,37,False
2020-09-13,32,False
2020-09-20,41,False
2020-09-27,37,False
2020-10-04,33,False
2020-10-11,37,False
2020-10-18,32,False
2020-10-25,30,False
2020-11-01,28,False
2020-11-08,32,False
2020-11-15,33,False
2020-11-22,31,False
2020-11-29,31,False
2020-12-06,32,False
2020-12-13,33,False
2020-12-20,31,False
2020-12-27,37,False
2021-01-03,37,False
2021-01-10,33,False
2021-01-17,39,False
2021-01-24,100,False
2021-01-31,70,False
2021-02-07,57,False
2021-02-14,47,False
2021-02-21,37,False
2021-02-28,35,False
2021-03-07,39,False
2021-03-14,36,False
2021-03-21,34,False
2021-03-28,36,False
2021-04-04,34,False
2021-04-11,34,False
2021-04-18,24,False
2021-04-25,25,False
2021-05-02,28,False
2021-05-09,26,False
2021-05-16,27,False
2021-05-23,25,False
2021-05-30,28,False
2021-06-06,30,False
2021-06-13,28,False
2021-06-20,31,False
2021-06-27,32,False
2021-07-04,34,False
2021-07-11,27,False
2021-07-18,29,False
2021-07-25,34,False
2021-08-01,31,False
2021-08-08,34,True
