date,CARR,isPartial
2016-08-21,27,False
2016-08-28,30,False
2016-09-04,33,False
2016-09-11,33,False
2016-09-18,54,False
2016-09-25,31,False
2016-10-02,32,False
2016-10-09,30,False
2016-10-16,33,False
2016-10-23,30,False
2016-10-30,34,False
2016-11-06,38,False
2016-11-13,31,False
2016-11-20,37,False
2016-11-27,45,False
2016-12-04,39,False
2016-12-11,32,False
2016-12-18,37,False
2016-12-25,93,False
2017-01-01,44,False
2017-01-08,33,False
2017-01-15,34,False
2017-01-22,32,False
2017-01-29,29,False
2017-02-05,30,False
2017-02-12,28,False
2017-02-19,28,False
2017-02-26,28,False
2017-03-05,30,False
2017-03-12,31,False
2017-03-19,28,False
2017-03-26,28,False
2017-04-02,25,False
2017-04-09,28,False
2017-04-16,27,False
2017-04-23,31,False
2017-04-30,31,False
2017-05-07,27,False
2017-05-14,26,False
2017-05-21,27,False
2017-05-28,24,False
2017-06-04,28,False
2017-06-11,27,False
2017-06-18,36,False
2017-06-25,34,False
2017-07-02,26,False
2017-07-09,31,False
2017-07-16,32,False
2017-07-23,29,False
2017-07-30,29,False
2017-08-06,31,False
2017-08-13,32,False
2017-08-20,30,False
2017-08-27,34,False
2017-09-03,34,False
2017-09-10,32,False
2017-09-17,34,False
2017-09-24,37,False
2017-10-01,57,False
2017-10-08,40,False
2017-10-15,42,False
2017-10-22,32,False
2017-10-29,32,False
2017-11-05,34,False
2017-11-12,29,False
2017-11-19,27,False
2017-11-26,31,False
2017-12-03,30,False
2017-12-10,31,False
2017-12-17,32,False
2017-12-24,29,False
2017-12-31,34,False
2018-01-07,33,False
2018-01-14,33,False
2018-01-21,33,False
2018-01-28,34,False
2018-02-04,33,False
2018-02-11,30,False
2018-02-18,30,False
2018-02-25,29,False
2018-03-04,30,False
2018-03-11,29,False
2018-03-18,29,False
2018-03-25,30,False
2018-04-01,30,False
2018-04-08,30,False
2018-04-15,31,False
2018-04-22,29,False
2018-04-29,31,False
2018-05-06,30,False
2018-05-13,27,False
2018-05-20,26,False
2018-05-27,26,False
2018-06-03,27,False
2018-06-10,26,False
2018-06-17,26,False
2018-06-24,25,False
2018-07-01,24,False
2018-07-08,26,False
2018-07-15,31,False
2018-07-22,71,False
2018-07-29,100,False
