date,CE,isPartial
2016-08-21,56,False
2016-08-28,58,False
2016-09-04,62,False
2016-09-11,62,False
2016-09-18,63,False
2016-09-25,65,False
2016-10-02,68,False
2016-10-09,64,False
2016-10-16,66,False
2016-10-23,66,False
2016-10-30,65,False
2016-11-06,67,False
2016-11-13,68,False
2016-11-20,67,False
2016-11-27,69,False
2016-12-04,67,False
2016-12-11,65,False
2016-12-18,59,False
2016-12-25,59,False
2017-01-01,71,False
2017-01-08,72,False
2017-01-15,72,False
2017-01-22,72,False
2017-01-29,71,False
2017-02-05,70,False
2017-02-12,70,False
2017-02-19,70,False
2017-02-26,71,False
2017-03-05,69,False
2017-03-12,67,False
2017-03-19,70,False
2017-03-26,66,False
2017-04-02,65,False
2017-04-09,66,False
2017-04-16,67,False
2017-04-23,67,False
2017-04-30,68,False
2017-05-07,68,False
2017-05-14,63,False
2017-05-21,62,False
2017-05-28,61,False
2017-06-04,61,False
2017-06-11,61,False
2017-06-18,63,False
2017-06-25,61,False
2017-07-02,62,False
2017-07-09,64,False
2017-07-16,61,False
2017-07-23,62,False
2017-07-30,60,False
2017-08-06,57,False
2017-08-13,57,False
2017-08-20,60,False
2017-08-27,64,False
2017-09-03,64,False
2017-09-10,64,False
2017-09-17,69,False
2017-09-24,69,False
2017-10-01,70,False
2017-10-08,70,False
2017-10-15,71,False
2017-10-22,70,False
2017-10-29,72,False
2017-11-05,74,False
2017-11-12,74,False
2017-11-19,76,False
2017-11-26,70,False
2017-12-03,73,False
2017-12-10,74,False
2017-12-17,67,False
2017-12-24,65,False
2017-12-31,74,False
2018-01-07,77,False
2018-01-14,76,False
2018-01-21,74,False
2018-01-28,77,False
2018-02-04,74,False
2018-02-11,72,False
2018-02-18,75,False
2018-02-25,73,False
2018-03-04,75,False
2018-03-11,74,False
2018-03-18,76,False
2018-03-25,73,False
2018-04-01,69,False
2018-04-08,71,False
2018-04-15,67,False
2018-04-22,71,False
2018-04-29,69,False
2018-05-06,70,False
2018-05-13,72,False
2018-05-20,70,False
2018-05-27,67,False
2018-06-03,69,False
2018-06-10,72,False
2018-06-17,67,False
2018-06-24,63,False
2018-07-01,63,False
2018-07-08,65,False
2018-07-15,62,False
2018-07-22,64,False
2018-07-29,61,False
2018-08-05,59,False
2018-08-12,61,False
2018-08-19,64,False
2018-08-26,64,False
2018-09-02,64,False
2018-09-09,65,False
2018-09-16,67,False
2018-09-23,70,False
2018-09-30,70,False
2018-10-07,70,False
2018-10-14,71,False
2018-10-21,69,False
2018-10-28,70,False
2018-11-04,73,False
2018-11-11,73,False
2018-11-18,73,False
2018-11-25,72,False
2018-12-02,72,False
2018-12-09,75,False
2018-12-16,68,False
2018-12-23,64,False
2018-12-30,72,False
2019-01-06,77,False
2019-01-13,79,False
2019-01-20,77,False
2019-01-27,81,False
2019-02-03,77,False
2019-02-10,77,False
2019-02-17,75,False
2019-02-24,71,False
2019-03-03,73,False
2019-03-10,75,False
2019-03-17,72,False
2019-03-24,70,False
2019-03-31,70,False
2019-04-07,71,False
2019-04-14,69,False
2019-04-21,69,False
2019-04-28,67,False
2019-05-05,71,False
2019-05-12,69,False
2019-05-19,69,False
2019-05-26,69,False
2019-06-02,70,False
2019-06-09,68,False
2019-06-16,68,False
2019-06-23,67,False
2019-06-30,63,False
2019-07-07,65,False
2019-07-14,63,False
2019-07-21,61,False
2019-07-28,60,False
2019-08-04,60,False
2019-08-11,62,False
2019-08-18,61,False
2019-08-25,64,False
2019-09-01,66,False
2019-09-08,68,False
2019-09-15,70,False
2019-09-22,72,False
2019-09-29,72,False
2019-10-06,74,False
2019-10-13,73,False
2019-10-20,72,False
2019-10-27,75,False
2019-11-03,73,False
2019-11-10,76,False
2019-11-17,77,False
2019-11-24,71,False
2019-12-01,74,False
2019-12-08,75,False
2019-12-15,72,False
2019-12-22,66,False
2019-12-29,73,False
2020-01-05,79,False
2020-01-12,80,False
2020-01-19,80,False
2020-01-26,82,False
2020-02-02,80,False
2020-02-09,78,False
2020-02-16,79,False
2020-02-23,76,False
2020-03-01,80,False
2020-03-08,83,False
2020-03-15,92,False
2020-03-22,100,False
2020-03-29,92,False
2020-04-05,87,False
2020-04-12,87,False
2020-04-19,83,False
2020-04-26,90,False
2020-05-03,90,False
2020-05-10,85,False
2020-05-17,81,False
2020-05-24,78,False
2020-05-31,78,False
2020-06-07,74,False
2020-06-14,73,False
2020-06-21,71,False
2020-06-28,72,False
2020-07-05,70,False
2020-07-12,68,False
2020-07-19,67,False
2020-07-26,66,False
2020-08-02,69,False
2020-08-09,68,False
2020-08-16,70,False
2020-08-23,71,False
2020-08-30,70,False
2020-09-06,71,False
2020-09-13,74,False
2020-09-20,75,False
2020-09-27,75,False
2020-10-04,76,False
2020-10-11,81,False
