date,CI,isPartial
2016-08-21,72,False
2016-08-28,77,False
2016-09-04,77,False
2016-09-11,74,False
2016-09-18,72,False
2016-09-25,73,False
2016-10-02,71,False
2016-10-09,75,False
2016-10-16,74,False
2016-10-23,74,False
2016-10-30,76,False
2016-11-06,75,False
2016-11-13,77,False
2016-11-20,79,False
2016-11-27,77,False
2016-12-04,74,False
2016-12-11,75,False
2016-12-18,69,False
2016-12-25,73,False
2017-01-01,78,False
2017-01-08,93,False
2017-01-15,87,False
2017-01-22,84,False
2017-01-29,89,False
2017-02-05,90,False
2017-02-12,92,False
2017-02-19,96,False
2017-02-26,88,False
2017-03-05,87,False
2017-03-12,81,False
2017-03-19,78,False
2017-03-26,83,False
2017-04-02,79,False
2017-04-09,79,False
2017-04-16,76,False
2017-04-23,80,False
2017-04-30,76,False
2017-05-07,79,False
2017-05-14,75,False
2017-05-21,77,False
2017-05-28,73,False
2017-06-04,74,False
2017-06-11,72,False
2017-06-18,73,False
2017-06-25,74,False
2017-07-02,72,False
2017-07-09,75,False
2017-07-16,72,False
2017-07-23,78,False
2017-07-30,71,False
2017-08-06,73,False
2017-08-13,73,False
2017-08-20,70,False
2017-08-27,74,False
2017-09-03,74,False
2017-09-10,75,False
2017-09-17,72,False
2017-09-24,71,False
2017-10-01,79,False
2017-10-08,76,False
2017-10-15,76,False
2017-10-22,77,False
2017-10-29,75,False
2017-11-05,81,False
2017-11-12,84,False
2017-11-19,80,False
2017-11-26,85,False
2017-12-03,79,False
2017-12-10,80,False
2017-12-17,74,False
2017-12-24,78,False
2017-12-31,74,False
2018-01-07,79,False
2018-01-14,75,False
2018-01-21,76,False
2018-01-28,78,False
2018-02-04,79,False
2018-02-11,82,False
2018-02-18,79,False
2018-02-25,81,False
2018-03-04,80,False
2018-03-11,77,False
2018-03-18,81,False
2018-03-25,72,False
2018-04-01,74,False
2018-04-08,75,False
2018-04-15,76,False
2018-04-22,75,False
2018-04-29,72,False
2018-05-06,78,False
2018-05-13,77,False
2018-05-20,78,False
2018-05-27,80,False
2018-06-03,77,False
2018-06-10,78,False
2018-06-17,78,False
2018-06-24,75,False
2018-07-01,76,False
2018-07-08,80,False
2018-07-15,77,False
2018-07-22,79,False
2018-07-29,81,False
2018-08-05,76,False
2018-08-12,82,False
2018-08-19,84,False
2018-08-26,79,False
2018-09-02,83,False
2018-09-09,80,False
2018-09-16,79,False
2018-09-23,75,False
2018-09-30,76,False
2018-10-07,76,False
2018-10-14,75,False
2018-10-21,78,False
2018-10-28,75,False
2018-11-04,78,False
2018-11-11,76,False
2018-11-18,81,False
2018-11-25,78,False
2018-12-02,79,False
2018-12-09,76,False
2018-12-16,74,False
2018-12-23,76,False
2018-12-30,80,False
2019-01-06,94,False
2019-01-13,92,False
2019-01-20,91,False
2019-01-27,87,False
2019-02-03,86,False
2019-02-10,82,False
2019-02-17,86,False
2019-02-24,79,False
2019-03-03,85,False
2019-03-10,85,False
2019-03-17,86,False
2019-03-24,85,False
2019-03-31,77,False
2019-04-07,78,False
2019-04-14,77,False
2019-04-21,80,False
2019-04-28,78,False
2019-05-05,78,False
2019-05-12,80,False
2019-05-19,78,False
2019-05-26,75,False
2019-06-02,75,False
2019-06-09,72,False
2019-06-16,73,False
2019-06-23,77,False
2019-06-30,75,False
2019-07-07,74,False
2019-07-14,73,False
2019-07-21,73,False
2019-07-28,72,False
2019-08-04,75,False
2019-08-11,73,False
2019-08-18,78,False
2019-08-25,79,False
2019-09-01,77,False
2019-09-08,78,False
2019-09-15,77,False
2019-09-22,78,False
2019-09-29,80,False
2019-10-06,77,False
2019-10-13,78,False
2019-10-20,81,False
2019-10-27,78,False
2019-11-03,79,False
2019-11-10,78,False
