date,CL,isPartial
2016-08-21,54,False
2016-08-28,47,False
2016-09-04,47,False
2016-09-11,55,False
2016-09-18,47,False
2016-09-25,56,False
2016-10-02,48,False
2016-10-09,46,False
2016-10-16,52,False
2016-10-23,47,False
2016-10-30,51,False
2016-11-06,50,False
2016-11-13,46,False
2016-11-20,51,False
2016-11-27,47,False
2016-12-04,51,False
2016-12-11,50,False
2016-12-18,46,False
2016-12-25,49,False
2017-01-01,49,False
2017-01-08,46,False
2017-01-15,45,False
2017-01-22,46,False
2017-01-29,46,False
2017-02-05,47,False
2017-02-12,51,False
2017-02-19,49,False
2017-02-26,50,False
2017-03-05,53,False
2017-03-12,55,False
2017-03-19,49,False
2017-03-26,51,False
2017-04-02,45,False
2017-04-09,53,False
2017-04-16,56,False
2017-04-23,48,False
2017-04-30,51,False
2017-05-07,54,False
2017-05-14,48,False
2017-05-21,52,False
2017-05-28,66,False
2017-06-04,53,False
2017-06-11,52,False
2017-06-18,49,False
2017-06-25,49,False
2017-07-02,46,False
2017-07-09,44,False
2017-07-16,44,False
2017-07-23,45,False
2017-07-30,45,False
2017-08-06,42,False
2017-08-13,47,False
2017-08-20,54,False
2017-08-27,50,False
2017-09-03,51,False
2017-09-10,53,False
2017-09-17,48,False
2017-09-24,57,False
2017-10-01,51,False
2017-10-08,49,False
2017-10-15,58,False
2017-10-22,52,False
2017-10-29,58,False
2017-11-05,54,False
2017-11-12,52,False
2017-11-19,59,False
2017-11-26,52,False
2017-12-03,59,False
2017-12-10,57,False
2017-12-17,51,False
2017-12-24,51,False
2017-12-31,47,False
2018-01-07,50,False
2018-01-14,49,False
2018-01-21,50,False
2018-01-28,51,False
2018-02-04,54,False
2018-02-11,55,False
2018-02-18,55,False
2018-02-25,60,False
2018-03-04,54,False
2018-03-11,61,False
2018-03-18,49,False
2018-03-25,50,False
2018-04-01,58,False
2018-04-08,67,False
2018-04-15,49,False
2018-04-22,59,False
2018-04-29,57,False
2018-05-06,52,False
2018-05-13,49,False
2018-05-20,68,False
2018-05-27,56,False
2018-06-03,48,False
2018-06-10,46,False
2018-06-17,47,False
2018-06-24,45,False
2018-07-01,49,False
2018-07-08,46,False
2018-07-15,46,False
2018-07-22,50,False
2018-07-29,59,False
2018-08-05,55,False
2018-08-12,52,False
2018-08-19,51,False
2018-08-26,64,False
2018-09-02,53,False
2018-09-09,53,False
2018-09-16,60,False
2018-09-23,57,False
2018-09-30,66,False
2018-10-07,54,False
2018-10-14,51,False
2018-10-21,60,False
2018-10-28,52,False
2018-11-04,61,False
2018-11-11,52,False
2018-11-18,50,False
2018-11-25,59,False
2018-12-02,52,False
2018-12-09,64,False
2018-12-16,58,False
2018-12-23,50,False
2018-12-30,52,False
2019-01-06,51,False
2019-01-13,51,False
2019-01-20,52,False
2019-01-27,62,False
2019-02-03,59,False
2019-02-10,61,False
2019-02-17,62,False
2019-02-24,52,False
2019-03-03,66,False
2019-03-10,75,False
2019-03-17,54,False
2019-03-24,51,False
2019-03-31,50,False
2019-04-07,53,False
2019-04-14,61,False
2019-04-21,42,False
2019-04-28,55,False
2019-05-05,65,False
2019-05-12,52,False
2019-05-19,51,False
2019-05-26,80,False
2019-06-02,58,False
2019-06-09,48,False
2019-06-16,46,False
2019-06-23,47,False
2019-06-30,47,False
2019-07-07,46,False
2019-07-14,45,False
2019-07-21,44,False
2019-07-28,46,False
2019-08-04,44,False
2019-08-11,46,False
2019-08-18,46,False
2019-08-25,62,False
2019-09-01,49,False
2019-09-08,50,False
2019-09-15,61,False
2019-09-22,51,False
2019-09-29,63,False
2019-10-06,54,False
2019-10-13,51,False
2019-10-20,60,False
2019-10-27,50,False
2019-11-03,65,False
2019-11-10,51,False
2019-11-17,50,False
2019-11-24,65,False
2019-12-01,55,False
2019-12-08,73,False
2019-12-15,65,False
2019-12-22,52,False
2019-12-29,50,False
2020-01-05,48,False
2020-01-12,48,False
