date,CMS,isPartial
2016-08-21,70,False
2016-08-28,73,False
2016-09-04,68,False
2016-09-11,73,False
2016-09-18,74,False
2016-09-25,72,False
2016-10-02,75,False
2016-10-09,78,False
2016-10-16,83,False
2016-10-23,83,False
2016-10-30,76,False
2016-11-06,75,False
2016-11-13,99,False
2016-11-20,69,False
2016-11-27,83,False
2016-12-04,78,False
2016-12-11,76,False
2016-12-18,73,False
2016-12-25,61,False
2017-01-01,76,False
2017-01-08,91,False
2017-01-15,80,False
2017-01-22,83,False
2017-01-29,77,False
2017-02-05,75,False
2017-02-12,76,False
2017-02-19,81,False
2017-02-26,80,False
2017-03-05,79,False
2017-03-12,78,False
2017-03-19,81,False
2017-03-26,80,False
2017-04-02,80,False
2017-04-09,74,False
2017-04-16,78,False
2017-04-23,80,False
2017-04-30,75,False
2017-05-07,75,False
2017-05-14,79,False
2017-05-21,81,False
2017-05-28,75,False
2017-06-04,77,False
2017-06-11,80,False
2017-06-18,75,False
2017-06-25,76,False
2017-07-02,75,False
2017-07-09,80,False
2017-07-16,80,False
2017-07-23,89,False
2017-07-30,81,False
2017-08-06,79,False
2017-08-13,85,False
2017-08-20,82,False
2017-08-27,88,False
2017-09-03,85,False
2017-09-10,92,False
2017-09-17,90,False
2017-09-24,86,False
2017-10-01,88,False
2017-10-08,89,False
2017-10-15,92,False
2017-10-22,83,False
2017-10-29,90,False
2017-11-05,91,False
2017-11-12,87,False
2017-11-19,85,False
2017-11-26,88,False
2017-12-03,85,False
2017-12-10,88,False
2017-12-17,88,False
2017-12-24,72,False
2017-12-31,94,False
2018-01-07,94,False
2018-01-14,97,False
2018-01-21,96,False
2018-01-28,100,False
2018-02-04,99,False
2018-02-11,90,False
2018-02-18,96,False
2018-02-25,96,False
2018-03-04,88,False
2018-03-11,91,False
2018-03-18,92,False
2018-03-25,93,False
2018-04-01,87,False
2018-04-08,92,False
2018-04-15,89,False
2018-04-22,88,False
2018-04-29,89,False
2018-05-06,88,False
2018-05-13,89,False
2018-05-20,92,False
2018-05-27,91,False
2018-06-03,98,False
2018-06-10,85,False
2018-06-17,84,False
2018-06-24,87,False
2018-07-01,86,False
2018-07-08,84,False
2018-07-15,65,False
2018-07-22,64,False
2018-07-29,62,False
2018-08-05,65,False
2018-08-12,63,False
2018-08-19,62,False
2018-08-26,67,False
2018-09-02,67,False
2018-09-09,75,False
2018-09-16,64,False
2018-09-23,65,False
2018-09-30,67,False
2018-10-07,74,False
2018-10-14,64,False
2018-10-21,61,False
2018-10-28,64,False
2018-11-04,61,False
2018-11-11,64,False
2018-11-18,56,False
2018-11-25,66,False
2018-12-02,62,False
2018-12-09,67,False
2018-12-16,55,False
2018-12-23,41,False
2018-12-30,50,False
2019-01-06,63,False
2019-01-13,65,False
2019-01-20,66,False
2019-01-27,64,False
2019-02-03,64,False
2019-02-10,64,False
2019-02-17,63,False
2019-02-24,63,False
2019-03-03,60,False
2019-03-10,59,False
2019-03-17,59,False
2019-03-24,57,False
2019-03-31,61,False
2019-04-07,63,False
2019-04-14,58,False
2019-04-21,60,False
2019-04-28,55,False
2019-05-05,56,False
2019-05-12,58,False
2019-05-19,61,False
2019-05-26,58,False
2019-06-02,57,False
2019-06-09,59,False
2019-06-16,57,False
2019-06-23,58,False
2019-06-30,53,False
2019-07-07,59,False
2019-07-14,59,False
2019-07-21,59,False
2019-07-28,60,False
2019-08-04,59,False
2019-08-11,59,False
2019-08-18,64,False
2019-08-25,61,False
2019-09-01,62,False
2019-09-08,60,False
2019-09-15,64,False
2019-09-22,64,False
2019-09-29,64,False
2019-10-06,59,False
2019-10-13,65,False
2019-10-20,61,False
2019-10-27,58,False
2019-11-03,63,False
2019-11-10,63,False
2019-11-17,64,False
2019-11-24,53,False
2019-12-01,61,False
2019-12-08,57,False
2019-12-15,57,False
2019-12-22,42,False
2019-12-29,49,False
2020-01-05,61,False
2020-01-12,62,False
2020-01-19,61,False
2020-01-26,60,False
2020-02-02,65,False
2020-02-09,61,False
2020-02-16,68,False
2020-02-23,55,False
2020-03-01,60,False
2020-03-08,66,False
2020-03-15,57,False
2020-03-22,54,False
