date,DD,isPartial
2016-08-21,39,False
2016-08-28,38,False
2016-09-04,39,False
2016-09-11,39,False
2016-09-18,39,False
2016-09-25,38,False
2016-10-02,37,False
2016-10-09,38,False
2016-10-16,43,False
2016-10-23,45,False
2016-10-30,37,False
2016-11-06,39,False
2016-11-13,38,False
2016-11-20,38,False
2016-11-27,38,False
2016-12-04,36,False
2016-12-11,38,False
2016-12-18,36,False
2016-12-25,37,False
2017-01-01,38,False
2017-01-08,38,False
2017-01-15,44,False
2017-01-22,47,False
2017-01-29,44,False
2017-02-05,36,False
2017-02-12,37,False
2017-02-19,38,False
2017-02-26,39,False
2017-03-05,42,False
2017-03-12,38,False
2017-03-19,40,False
2017-03-26,39,False
2017-04-02,48,False
2017-04-09,55,False
2017-04-16,62,False
2017-04-23,49,False
2017-04-30,59,False
2017-05-07,53,False
2017-05-14,44,False
2017-05-21,39,False
2017-05-28,39,False
2017-06-04,46,False
2017-06-11,44,False
2017-06-18,47,False
2017-06-25,43,False
2017-07-02,42,False
2017-07-09,41,False
2017-07-16,41,False
2017-07-23,40,False
2017-07-30,37,False
2017-08-06,37,False
2017-08-13,39,False
2017-08-20,43,False
2017-08-27,44,False
2017-09-03,41,False
2017-09-10,37,False
2017-09-17,46,False
2017-09-24,44,False
2017-10-01,41,False
2017-10-08,39,False
2017-10-15,38,False
2017-10-22,40,False
2017-10-29,44,False
2017-11-05,39,False
2017-11-12,39,False
2017-11-19,36,False
2017-11-26,39,False
2017-12-03,36,False
2017-12-10,40,False
2017-12-17,43,False
2017-12-24,37,False
2017-12-31,38,False
2018-01-07,38,False
2018-01-14,39,False
2018-01-21,41,False
2018-01-28,44,False
2018-02-04,45,False
2018-02-11,43,False
2018-02-18,41,False
2018-02-25,37,False
2018-03-04,53,False
2018-03-11,48,False
2018-03-18,44,False
2018-03-25,39,False
2018-04-01,47,False
2018-04-08,94,False
2018-04-15,74,False
2018-04-22,82,False
2018-04-29,96,False
2018-05-06,74,False
2018-05-13,69,False
2018-05-20,61,False
2018-05-27,40,False
2018-06-03,39,False
2018-06-10,40,False
2018-06-17,37,False
2018-06-24,39,False
2018-07-01,40,False
2018-07-08,43,False
2018-07-15,41,False
2018-07-22,39,False
2018-07-29,39,False
2018-08-05,37,False
2018-08-12,42,False
2018-08-19,38,False
2018-08-26,38,False
2018-09-02,37,False
2018-09-09,38,False
2018-09-16,46,False
2018-09-23,46,False
2018-09-30,38,False
2018-10-07,36,False
2018-10-14,38,False
2018-10-21,43,False
2018-10-28,40,False
2018-11-04,39,False
2018-11-11,38,False
2018-11-18,42,False
2018-11-25,39,False
2018-12-02,35,False
2018-12-09,38,False
2018-12-16,36,False
2018-12-23,36,False
2018-12-30,36,False
2019-01-06,39,False
2019-01-13,41,False
2019-01-20,45,False
2019-01-27,40,False
2019-02-03,41,False
2019-02-10,41,False
2019-02-17,38,False
2019-02-24,51,False
2019-03-03,47,False
2019-03-10,43,False
2019-03-17,44,False
2019-03-24,80,False
2019-03-31,55,False
2019-04-07,50,False
2019-04-14,46,False
2019-04-21,45,False
2019-04-28,44,False
2019-05-05,44,False
2019-05-12,41,False
2019-05-19,43,False
2019-05-26,42,False
2019-06-02,46,False
2019-06-09,45,False
2019-06-16,49,False
2019-06-23,43,False
2019-06-30,45,False
2019-07-07,44,False
2019-07-14,39,False
2019-07-21,40,False
2019-07-28,38,False
2019-08-04,39,False
2019-08-11,41,False
2019-08-18,43,False
2019-08-25,44,False
2019-09-01,42,False
2019-09-08,39,False
2019-09-15,42,False
2019-09-22,40,False
2019-09-29,37,False
2019-10-06,37,False
2019-10-13,38,False
2019-10-20,37,False
2019-10-27,38,False
2019-11-03,39,False
2019-11-10,39,False
2019-11-17,38,False
2019-11-24,37,False
2019-12-01,39,False
2019-12-08,39,False
2019-12-15,38,False
2019-12-22,37,False
2019-12-29,36,False
2020-01-05,38,False
2020-01-12,40,False
2020-01-19,41,False
2020-01-26,41,False
2020-02-02,39,False
2020-02-09,40,False
2020-02-16,39,False
2020-02-23,38,False
2020-03-01,40,False
2020-03-08,37,False
2020-03-15,37,False
2020-03-22,76,False
2020-03-29,100,False
2020-04-05,68,False
2020-04-12,73,False
2020-04-19,59,False
2020-04-26,60,False
2020-05-03,57,False
2020-05-10,54,False
2020-05-17,46,False
2020-05-24,44,False
2020-05-31,46,False
2020-06-07,47,False
2020-06-14,43,False
2020-06-21,42,False
2020-06-28,46,False
2020-07-05,42,False
2020-07-12,43,False
2020-07-19,44,False
2020-07-26,42,False
2020-08-02,45,False
2020-08-09,43,False
2020-08-16,42,False
2020-08-23,42,False
2020-08-30,41,False
2020-09-06,42,False
2020-09-13,42,False
2020-09-20,50,False
2020-09-27,47,False
2020-10-04,45,False
2020-10-11,45,False
2020-10-18,43,False
2020-10-25,42,False
2020-11-01,38,False
2020-11-08,43,False
2020-11-15,38,False
2020-11-22,43,False
2020-11-29,41,False
2020-12-06,38,False
2020-12-13,38,False
2020-12-20,35,False
2020-12-27,38,False
2021-01-03,37,False
2021-01-10,39,False
2021-01-17,40,False
2021-01-24,43,False
2021-01-31,41,False
2021-02-07,39,False
2021-02-14,39,False
2021-02-21,41,False
2021-02-28,41,False
2021-03-07,42,False
2021-03-14,43,False
2021-03-21,40,False
2021-03-28,41,False
2021-04-04,43,False
2021-04-11,43,False
2021-04-18,43,False
2021-04-25,42,False
2021-05-02,42,False
2021-05-09,41,False
2021-05-16,40,False
2021-05-23,40,False
2021-05-30,40,False
2021-06-06,41,False
2021-06-13,41,False
2021-06-20,39,False
2021-06-27,39,False
2021-07-04,39,False
2021-07-11,40,False
2021-07-18,44,False
2021-07-25,43,False
2021-08-01,42,False
2021-08-08,42,True
