date,DGX,isPartial
2016-08-21,52,False
2016-08-28,55,False
2016-09-04,77,False
2016-09-11,59,False
2016-09-18,59,False
2016-09-25,72,False
2016-10-02,58,False
2016-10-09,55,False
2016-10-16,46,False
2016-10-23,68,False
2016-10-30,61,False
2016-11-06,57,False
2016-11-13,53,False
2016-11-20,92,False
2016-11-27,67,False
2016-12-04,78,False
2016-12-11,77,False
2016-12-18,100,False
2016-12-25,77,False
2017-01-01,56,False
2017-01-08,83,False
2017-01-15,56,False
2017-01-22,56,False
2017-01-29,66,False
2017-02-05,60,False
2017-02-12,73,False
2017-02-19,49,False
2017-02-26,52,False
2017-03-05,50,False
2017-03-12,65,False
2017-03-19,63,False
2017-03-26,55,False
2017-04-02,67,False
2017-04-09,52,False
2017-04-16,57,False
2017-04-23,49,False
2017-04-30,45,False
2017-05-07,49,False
2017-05-14,77,False
2017-05-21,44,False
2017-05-28,59,False
2017-06-04,56,False
2017-06-11,54,False
2017-06-18,54,False
2017-06-25,48,False
2017-07-02,57,False
2017-07-09,37,False
2017-07-16,59,False
2017-07-23,65,False
2017-07-30,66,False
2017-08-06,70,False
2017-08-13,56,False
2017-08-20,60,False
2017-08-27,79,False
2017-09-03,64,False
2017-09-10,54,False
2017-09-17,51,False
2017-09-24,48,False
2017-10-01,75,False
2017-10-08,37,False
2017-10-15,62,False
2017-10-22,63,False
2017-10-29,54,False
2017-11-05,61,False
2017-11-12,69,False
2017-11-19,57,False
2017-11-26,71,False
2017-12-03,75,False
2017-12-10,65,False
2017-12-17,61,False
2017-12-24,70,False
2017-12-31,75,False
2018-01-07,64,False
2018-01-14,83,False
2018-01-21,64,False
2018-01-28,66,False
2018-02-04,64,False
2018-02-11,63,False
2018-02-18,80,False
2018-02-25,85,False
2018-03-04,64,False
2018-03-11,50,False
2018-03-18,47,False
2018-03-25,79,False
2018-04-01,75,False
2018-04-08,58,False
2018-04-15,51,False
2018-04-22,58,False
2018-04-29,68,False
2018-05-06,50,False
2018-05-13,58,False
2018-05-20,59,False
2018-05-27,58,False
2018-06-03,40,False
2018-06-10,54,False
2018-06-17,63,False
2018-06-24,51,False
2018-07-01,54,False
2018-07-08,52,False
2018-07-15,67,False
2018-07-22,74,False
2018-07-29,52,False
2018-08-05,70,False
2018-08-12,59,False
2018-08-19,55,False
2018-08-26,71,False
2018-09-02,53,False
2018-09-09,46,False
2018-09-16,58,False
2018-09-23,55,False
2018-09-30,57,False
2018-10-07,64,False
2018-10-14,60,False
2018-10-21,64,False
2018-10-28,47,False
2018-11-04,68,False
2018-11-11,66,False
2018-11-18,73,False
2018-11-25,73,False
2018-12-02,60,False
2018-12-09,56,False
2018-12-16,73,False
2018-12-23,52,False
2018-12-30,61,False
2019-01-06,75,False
2019-01-13,65,False
2019-01-20,62,False
2019-01-27,48,False
2019-02-03,44,False
2019-02-10,65,False
2019-02-17,60,False
2019-02-24,50,False
2019-03-03,57,False
2019-03-10,74,False
2019-03-17,70,False
2019-03-24,52,False
2019-03-31,52,False
