date,DISCA,isPartial
2016-08-21,9,False
2016-08-28,11,False
2016-09-04,4,False
2016-09-11,7,False
2016-09-18,10,False
2016-09-25,7,False
2016-10-02,7,False
2016-10-09,6,False
2016-10-16,2,False
2016-10-23,14,False
2016-10-30,12,False
2016-11-06,13,False
2016-11-13,9,False
2016-11-20,10,False
2016-11-27,3,False
2016-12-04,4,False
2016-12-11,10,False
2016-12-18,8,False
2016-12-25,10,False
2017-01-01,8,False
2017-01-08,17,False
2017-01-15,8,False
2017-01-22,9,False
2017-01-29,16,False
2017-02-05,5,False
2017-02-12,15,False
2017-02-19,19,False
2017-02-26,17,False
2017-03-05,9,False
2017-03-12,8,False
2017-03-19,13,False
2017-03-26,14,False
2017-04-02,12,False
2017-04-09,7,False
2017-04-16,12,False
2017-04-23,10,False
2017-04-30,15,False
2017-05-07,11,False
2017-05-14,9,False
2017-05-21,6,False
2017-05-28,14,False
2017-06-04,9,False
2017-06-11,12,False
2017-06-18,3,False
2017-06-25,8,False
2017-07-02,5,False
2017-07-09,8,False
2017-07-16,21,False
2017-07-23,17,False
2017-07-30,15,False
2017-08-06,14,False
2017-08-13,9,False
2017-08-20,6,False
2017-08-27,11,False
2017-09-03,10,False
2017-09-10,9,False
2017-09-17,9,False
2017-09-24,9,False
2017-10-01,9,False
2017-10-08,11,False
2017-10-15,14,False
2017-10-22,5,False
2017-10-29,12,False
2017-11-05,14,False
2017-11-12,7,False
2017-11-19,16,False
2017-11-26,12,False
2017-12-03,11,False
2017-12-10,17,False
2017-12-17,10,False
2017-12-24,12,False
2017-12-31,13,False
2018-01-07,24,False
2018-01-14,10,False
2018-01-21,7,False
2018-01-28,7,False
2018-02-04,10,False
2018-02-11,8,False
2018-02-18,7,False
2018-02-25,5,False
2018-03-04,10,False
2018-03-11,7,False
2018-03-18,8,False
2018-03-25,12,False
2018-04-01,10,False
2018-04-08,5,False
2018-04-15,6,False
2018-04-22,10,False
2018-04-29,10,False
2018-05-06,14,False
2018-05-13,12,False
2018-05-20,21,False
2018-05-27,8,False
2018-06-03,9,False
2018-06-10,9,False
2018-06-17,15,False
2018-06-24,8,False
2018-07-01,8,False
2018-07-08,11,False
2018-07-15,4,False
2018-07-22,12,False
2018-07-29,5,False
2018-08-05,10,False
2018-08-12,9,False
2018-08-19,17,False
2018-08-26,6,False
2018-09-02,9,False
2018-09-09,7,False
2018-09-16,12,False
2018-09-23,13,False
2018-09-30,9,False
2018-10-07,11,False
2018-10-14,12,False
2018-10-21,8,False
2018-10-28,3,False
2018-11-04,13,False
2018-11-11,10,False
2018-11-18,11,False
2018-11-25,7,False
2018-12-02,15,False
2018-12-09,7,False
2018-12-16,9,False
2018-12-23,12,False
2018-12-30,13,False
2019-01-06,8,False
2019-01-13,9,False
2019-01-20,8,False
2019-01-27,14,False
2019-02-03,8,False
2019-02-10,8,False
2019-02-17,12,False
2019-02-24,13,False
2019-03-03,5,False
2019-03-10,13,False
2019-03-17,14,False
2019-03-24,11,False
2019-03-31,10,False
2019-04-07,8,False
2019-04-14,6,False
2019-04-21,11,False
2019-04-28,8,False
2019-05-05,11,False
2019-05-12,3,False
2019-05-19,7,False
2019-05-26,18,False
2019-06-02,11,False
2019-06-09,15,False
2019-06-16,6,False
2019-06-23,11,False
2019-06-30,11,False
2019-07-07,7,False
2019-07-14,9,False
2019-07-21,6,False
2019-07-28,7,False
2019-08-04,9,False
2019-08-11,13,False
2019-08-18,8,False
2019-08-25,7,False
2019-09-01,11,False
2019-09-08,8,False
2019-09-15,9,False
2019-09-22,15,False
2019-09-29,7,False
2019-10-06,10,False
2019-10-13,16,False
2019-10-20,14,False
2019-10-27,9,False
2019-11-03,15,False
2019-11-10,9,False
2019-11-17,6,False
2019-11-24,5,False
2019-12-01,5,False
2019-12-08,3,False
2019-12-15,9,False
2019-12-22,6,False
2019-12-29,9,False
2020-01-05,10,False
2020-01-12,12,False
2020-01-19,11,False
2020-01-26,6,False
2020-02-02,8,False
2020-02-09,12,False
2020-02-16,9,False
2020-02-23,8,False
2020-03-01,9,False
2020-03-08,5,False
2020-03-15,11,False
2020-03-22,11,False
2020-03-29,9,False
2020-04-05,10,False
2020-04-12,9,False
2020-04-19,10,False
2020-04-26,14,False
2020-05-03,17,False
2020-05-10,11,False
2020-05-17,14,False
2020-05-24,10,False
2020-05-31,13,False
2020-06-07,23,False
2020-06-14,8,False
2020-06-21,11,False
2020-06-28,13,False
2020-07-05,9,False
2020-07-12,10,False
2020-07-19,15,False
2020-07-26,7,False
2020-08-02,13,False
2020-08-09,9,False
2020-08-16,8,False
2020-08-23,8,False
2020-08-30,5,False
2020-09-06,12,False
2020-09-13,12,False
2020-09-20,10,False
2020-09-27,9,False
2020-10-04,13,False
2020-10-11,13,False
2020-10-18,15,False
2020-10-25,11,False
2020-11-01,11,False
2020-11-08,13,False
2020-11-15,11,False
2020-11-22,8,False
2020-11-29,18,False
2020-12-06,18,False
2020-12-13,9,False
2020-12-20,8,False
2020-12-27,9,False
2021-01-03,19,False
2021-01-10,15,False
2021-01-17,14,False
2021-01-24,18,False
2021-01-31,11,False
2021-02-07,12,False
2021-02-14,9,False
2021-02-21,16,False
2021-02-28,19,False
2021-03-07,24,False
2021-03-14,24,False
2021-03-21,44,False
2021-03-28,100,False
2021-04-04,58,False
2021-04-11,33,False
2021-04-18,29,False
2021-04-25,26,False
2021-05-02,17,False
2021-05-09,22,False
2021-05-16,73,False
2021-05-23,22,False
2021-05-30,15,False
2021-06-06,23,False
2021-06-13,16,False
2021-06-20,24,False
2021-06-27,23,False
2021-07-04,10,False
2021-07-11,20,False
2021-07-18,26,False
2021-07-25,21,False
2021-08-01,28,False
2021-08-08,22,True
