date,DPZ,isPartial
2016-08-21,33,False
2016-08-28,34,False
2016-09-04,40,False
2016-09-11,37,False
2016-09-18,30,False
2016-09-25,35,False
2016-10-02,28,False
2016-10-09,41,False
2016-10-16,37,False
2016-10-23,33,False
2016-10-30,36,False
2016-11-06,35,False
2016-11-13,31,False
2016-11-20,33,False
2016-11-27,33,False
2016-12-04,32,False
2016-12-11,34,False
2016-12-18,28,False
2016-12-25,33,False
2017-01-01,31,False
2017-01-08,31,False
2017-01-15,36,False
2017-01-22,33,False
2017-01-29,32,False
2017-02-05,35,False
2017-02-12,35,False
2017-02-19,40,False
2017-02-26,30,False
2017-03-05,32,False
2017-03-12,36,False
2017-03-19,33,False
2017-03-26,36,False
2017-04-02,36,False
2017-04-09,38,False
2017-04-16,40,False
2017-04-23,37,False
2017-04-30,33,False
2017-05-07,41,False
2017-05-14,41,False
2017-05-21,38,False
2017-05-28,40,False
2017-06-04,43,False
2017-06-11,37,False
2017-06-18,37,False
2017-06-25,36,False
2017-07-02,40,False
2017-07-09,42,False
2017-07-16,38,False
2017-07-23,43,False
2017-07-30,50,False
2017-08-06,49,False
2017-08-13,39,False
2017-08-20,40,False
2017-08-27,40,False
2017-09-03,36,False
2017-09-10,30,False
2017-09-17,31,False
2017-09-24,35,False
2017-10-01,34,False
2017-10-08,33,False
2017-10-15,35,False
2017-10-22,36,False
2017-10-29,38,False
2017-11-05,35,False
2017-11-12,35,False
2017-11-19,33,False
2017-11-26,42,False
2017-12-03,33,False
2017-12-10,36,False
2017-12-17,38,False
2017-12-24,44,False
2017-12-31,33,False
2018-01-07,35,False
2018-01-14,39,False
2018-01-21,37,False
2018-01-28,35,False
2018-02-04,34,False
2018-02-11,39,False
2018-02-18,37,False
2018-02-25,35,False
2018-03-04,37,False
2018-03-11,37,False
2018-03-18,37,False
2018-03-25,36,False
2018-04-01,40,False
2018-04-08,38,False
2018-04-15,39,False
2018-04-22,43,False
2018-04-29,39,False
2018-05-06,41,False
2018-05-13,45,False
2018-05-20,40,False
2018-05-27,45,False
2018-06-03,46,False
2018-06-10,53,False
2018-06-17,52,False
2018-06-24,56,False
2018-07-01,64,False
2018-07-08,58,False
2018-07-15,61,False
2018-07-22,55,False
2018-07-29,51,False
2018-08-05,61,False
2018-08-12,55,False
2018-08-19,52,False
2018-08-26,52,False
2018-09-02,50,False
2018-09-09,58,False
2018-09-16,49,False
2018-09-23,53,False
2018-09-30,47,False
2018-10-07,44,False
2018-10-14,49,False
2018-10-21,48,False
2018-10-28,47,False
2018-11-04,46,False
2018-11-11,43,False
2018-11-18,45,False
2018-11-25,42,False
2018-12-02,46,False
2018-12-09,42,False
2018-12-16,43,False
2018-12-23,47,False
2018-12-30,49,False
2019-01-06,46,False
2019-01-13,47,False
2019-01-20,48,False
2019-01-27,45,False
2019-02-03,46,False
2019-02-10,53,False
2019-02-17,50,False
2019-02-24,46,False
2019-03-03,52,False
2019-03-10,48,False
2019-03-17,45,False
2019-03-24,57,False
2019-03-31,52,False
2019-04-07,49,False
2019-04-14,49,False
2019-04-21,52,False
2019-04-28,50,False
2019-05-05,57,False
2019-05-12,47,False
2019-05-19,51,False
2019-05-26,52,False
2019-06-02,51,False
2019-06-09,59,False
2019-06-16,51,False
2019-06-23,58,False
2019-06-30,54,False
