date,DRI,isPartial
2016-08-21,84,False
2016-08-28,84,False
2016-09-04,75,False
2016-09-11,82,False
2016-09-18,79,False
2016-09-25,84,False
2016-10-02,81,False
2016-10-09,79,False
2016-10-16,75,False
2016-10-23,76,False
2016-10-30,75,False
2016-11-06,71,False
2016-11-13,80,False
2016-11-20,80,False
2016-11-27,78,False
2016-12-04,85,False
2016-12-11,77,False
2016-12-18,71,False
2016-12-25,57,False
2017-01-01,70,False
2017-01-08,67,False
2017-01-15,69,False
2017-01-22,71,False
2017-01-29,73,False
2017-02-05,69,False
2017-02-12,69,False
2017-02-19,76,False
2017-02-26,78,False
2017-03-05,79,False
2017-03-12,76,False
2017-03-19,78,False
2017-03-26,78,False
2017-04-02,78,False
2017-04-09,72,False
2017-04-16,79,False
2017-04-23,74,False
2017-04-30,71,False
2017-05-07,74,False
2017-05-14,71,False
2017-05-21,73,False
2017-05-28,67,False
2017-06-04,73,False
2017-06-11,72,False
2017-06-18,66,False
2017-06-25,68,False
2017-07-02,84,False
2017-07-09,76,False
2017-07-16,70,False
2017-07-23,77,False
2017-07-30,81,False
2017-08-06,84,False
2017-08-13,73,False
2017-08-20,73,False
2017-08-27,78,False
2017-09-03,77,False
2017-09-10,82,False
2017-09-17,76,False
2017-09-24,82,False
2017-10-01,77,False
2017-10-08,74,False
2017-10-15,77,False
2017-10-22,74,False
2017-10-29,75,False
2017-11-05,76,False
2017-11-12,74,False
2017-11-19,81,False
2017-11-26,79,False
2017-12-03,82,False
2017-12-10,68,False
2017-12-17,67,False
2017-12-24,61,False
2017-12-31,62,False
2018-01-07,68,False
2018-01-14,71,False
2018-01-21,70,False
2018-01-28,68,False
2018-02-04,67,False
2018-02-11,70,False
2018-02-18,74,False
2018-02-25,75,False
2018-03-04,77,False
2018-03-11,73,False
2018-03-18,72,False
2018-03-25,68,False
2018-04-01,72,False
2018-04-08,76,False
2018-04-15,74,False
2018-04-22,73,False
2018-04-29,70,False
2018-05-06,76,False
2018-05-13,68,False
