date,DTE,isPartial
2016-08-21,32,False
2016-08-28,28,False
2016-09-04,14,False
2016-09-11,13,False
2016-09-18,14,False
2016-09-25,15,False
2016-10-02,11,False
2016-10-09,12,False
2016-10-16,12,False
2016-10-23,13,False
2016-10-30,11,False
2016-11-06,13,False
2016-11-13,12,False
2016-11-20,12,False
2016-11-27,12,False
2016-12-04,11,False
2016-12-11,10,False
2016-12-18,10,False
2016-12-25,12,False
2017-01-01,11,False
2017-01-08,21,False
2017-01-15,13,False
2017-01-22,12,False
2017-01-29,13,False
2017-02-05,13,False
2017-02-12,13,False
2017-02-19,14,False
2017-02-26,15,False
2017-03-05,71,False
2017-03-12,23,False
2017-03-19,13,False
2017-03-26,13,False
2017-04-02,17,False
2017-04-09,11,False
2017-04-16,10,False
2017-04-23,13,False
2017-04-30,14,False
2017-05-07,14,False
2017-05-14,17,False
2017-05-21,18,False
2017-05-28,27,False
2017-06-04,43,False
2017-06-11,46,False
2017-06-18,71,False
2017-06-25,83,False
2017-07-02,62,False
2017-07-09,76,False
2017-07-16,76,False
2017-07-23,100,False
2017-07-30,67,False
2017-08-06,45,False
2017-08-13,38,False
2017-08-20,20,False
2017-08-27,16,False
2017-09-03,13,False
2017-09-10,12,False
2017-09-17,13,False
2017-09-24,11,False
2017-10-01,11,False
2017-10-08,13,False
2017-10-15,11,False
2017-10-22,12,False
2017-10-29,13,False
2017-11-05,9,False
2017-11-12,11,False
2017-11-19,9,False
2017-11-26,10,False
2017-12-03,10,False
2017-12-10,10,False
2017-12-17,9,False
2017-12-24,9,False
2017-12-31,10,False
2018-01-07,11,False
2018-01-14,13,False
2018-01-21,22,False
2018-01-28,14,False
2018-02-04,14,False
2018-02-11,13,False
2018-02-18,15,False
2018-02-25,25,False
2018-03-04,14,False
2018-03-11,12,False
2018-03-18,17,False
2018-03-25,11,False
2018-04-01,13,False
2018-04-08,13,False
2018-04-15,37,False
2018-04-22,13,False
2018-04-29,26,False
2018-05-06,16,False
2018-05-13,15,False
2018-05-20,14,False
2018-05-27,20,False
2018-06-03,39,False
2018-06-10,37,False
2018-06-17,45,False
2018-06-24,78,False
2018-07-01,64,False
2018-07-08,59,False
2018-07-15,51,False
2018-07-22,65,False
2018-07-29,54,False
2018-08-05,41,False
2018-08-12,30,False
2018-08-19,19,False
2018-08-26,19,False
2018-09-02,14,False
2018-09-09,13,False
2018-09-16,13,False
2018-09-23,11,False
2018-09-30,11,False
2018-10-07,10,False
2018-10-14,11,False
2018-10-21,12,False
2018-10-28,10,False
2018-11-04,9,False
2018-11-11,9,False
2018-11-18,9,False
2018-11-25,10,False
2018-12-02,9,False
2018-12-09,10,False
2018-12-16,9,False
2018-12-23,8,False
2018-12-30,10,False
2019-01-06,13,False
2019-01-13,12,False
2019-01-20,15,False
2019-01-27,14,False
2019-02-03,15,False
2019-02-10,13,False
2019-02-17,12,False
2019-02-24,23,False
2019-03-03,12,False
2019-03-10,12,False
2019-03-17,11,False
2019-03-24,11,False
2019-03-31,12,False
2019-04-07,12,False
2019-04-14,10,False
2019-04-21,12,False
2019-04-28,11,False
2019-05-05,12,False
2019-05-12,13,False
2019-05-19,17,False
2019-05-26,17,False
2019-06-02,23,False
2019-06-09,26,False
2019-06-16,36,False
2019-06-23,28,False
2019-06-30,36,False
2019-07-07,36,False
2019-07-14,48,False
2019-07-21,59,False
2019-07-28,34,False
2019-08-04,25,False
2019-08-11,20,False
2019-08-18,18,False
2019-08-25,15,False
2019-09-01,14,False
2019-09-08,17,False
2019-09-15,11,False
2019-09-22,12,False
2019-09-29,11,False
2019-10-06,10,False
2019-10-13,11,False
2019-10-20,10,False
2019-10-27,12,False
2019-11-03,11,False
2019-11-10,10,False
2019-11-17,10,False
2019-11-24,11,False
