date,DXC,isPartial
2016-08-21,3,False
2016-08-28,2,False
2016-09-04,2,False
2016-09-11,2,False
2016-09-18,2,False
2016-09-25,2,False
2016-10-02,2,False
2016-10-09,3,False
2016-10-16,2,False
2016-10-23,1,False
2016-10-30,2,False
2016-11-06,2,False
2016-11-13,1,False
2016-11-20,1,False
2016-11-27,3,False
2016-12-04,3,False
2016-12-11,1,False
2016-12-18,2,False
2016-12-25,2,False
2017-01-01,1,False
2017-01-08,2,False
2017-01-15,1,False
2017-01-22,3,False
2017-01-29,1,False
2017-02-05,2,False
2017-02-12,33,False
2017-02-19,13,False
2017-02-26,11,False
2017-03-05,8,False
2017-03-12,9,False
2017-03-19,10,False
2017-03-26,16,False
2017-04-02,100,False
2017-04-09,37,False
2017-04-16,32,False
2017-04-23,32,False
2017-04-30,29,False
2017-05-07,35,False
2017-05-14,30,False
2017-05-21,30,False
2017-05-28,24,False
2017-06-04,23,False
2017-06-11,23,False
2017-06-18,28,False
2017-06-25,26,False
2017-07-02,24,False
2017-07-09,26,False
2017-07-16,25,False
2017-07-23,31,False
2017-07-30,28,False
2017-08-06,30,False
2017-08-13,26,False
2017-08-20,24,False
2017-08-27,29,False
2017-09-03,30,False
2017-09-10,31,False
2017-09-17,32,False
2017-09-24,24,False
2017-10-01,26,False
2017-10-08,34,False
2017-10-15,26,False
2017-10-22,32,False
2017-10-29,29,False
2017-11-05,36,False
2017-11-12,35,False
2017-11-19,30,False
2017-11-26,28,False
2017-12-03,29,False
2017-12-10,32,False
2017-12-17,24,False
2017-12-24,16,False
2017-12-31,22,False
2018-01-07,30,False
2018-01-14,32,False
2018-01-21,39,False
2018-01-28,34,False
2018-02-04,36,False
2018-02-11,32,False
2018-02-18,32,False
2018-02-25,29,False
2018-03-04,37,False
2018-03-11,31,False
2018-03-18,31,False
2018-03-25,30,False
2018-04-01,31,False
2018-04-08,37,False
2018-04-15,40,False
2018-04-22,42,False
2018-04-29,28,False
2018-05-06,40,False
2018-05-13,33,False
2018-05-20,36,False
2018-05-27,35,False
2018-06-03,39,False
2018-06-10,38,False
2018-06-17,38,False
2018-06-24,38,False
2018-07-01,32,False
2018-07-08,37,False
2018-07-15,31,False
2018-07-22,36,False
2018-07-29,36,False
2018-08-05,37,False
2018-08-12,25,False
2018-08-19,35,False
2018-08-26,32,False
2018-09-02,33,False
2018-09-09,36,False
2018-09-16,39,False
2018-09-23,33,False
2018-09-30,34,False
2018-10-07,36,False
2018-10-14,29,False
2018-10-21,42,False
2018-10-28,31,False
2018-11-04,43,False
2018-11-11,34,False
2018-11-18,31,False
2018-11-25,31,False
2018-12-02,31,False
2018-12-09,34,False
2018-12-16,29,False
2018-12-23,23,False
2018-12-30,27,False
2019-01-06,46,False
2019-01-13,37,False
2019-01-20,42,False
2019-01-27,36,False
2019-02-03,42,False
2019-02-10,34,False
2019-02-17,35,False
2019-02-24,33,False
2019-03-03,38,False
2019-03-10,33,False
2019-03-17,37,False
2019-03-24,36,False
2019-03-31,35,False
