date,EIX,isPartial
2016-08-21,58,False
2016-08-28,79,False
2016-09-04,43,False
2016-09-11,45,False
2016-09-18,58,False
2016-09-25,37,False
2016-10-02,57,False
2016-10-09,86,False
2016-10-16,39,False
2016-10-23,78,False
2016-10-30,52,False
2016-11-06,48,False
2016-11-13,51,False
2016-11-20,50,False
2016-11-27,37,False
2016-12-04,32,False
2016-12-11,54,False
2016-12-18,55,False
2016-12-25,42,False
2017-01-01,69,False
2017-01-08,60,False
2017-01-15,36,False
2017-01-22,67,False
2017-01-29,80,False
2017-02-05,48,False
2017-02-12,54,False
2017-02-19,74,False
2017-02-26,83,False
2017-03-05,63,False
2017-03-12,70,False
2017-03-19,82,False
2017-03-26,52,False
2017-04-02,58,False
2017-04-09,70,False
2017-04-16,47,False
2017-04-23,58,False
2017-04-30,63,False
2017-05-07,51,False
2017-05-14,85,False
2017-05-21,59,False
2017-05-28,63,False
2017-06-04,49,False
2017-06-11,58,False
2017-06-18,60,False
2017-06-25,84,False
2017-07-02,75,False
2017-07-09,63,False
2017-07-16,56,False
2017-07-23,80,False
2017-07-30,61,False
2017-08-06,75,False
2017-08-13,61,False
2017-08-20,58,False
2017-08-27,52,False
2017-09-03,70,False
2017-09-10,64,False
2017-09-17,49,False
2017-09-24,53,False
2017-10-01,66,False
2017-10-08,54,False
2017-10-15,74,False
2017-10-22,74,False
2017-10-29,38,False
2017-11-05,42,False
2017-11-12,69,False
2017-11-19,55,False
2017-11-26,45,False
2017-12-03,92,False
2017-12-10,81,False
2017-12-17,73,False
2017-12-24,64,False
2017-12-31,72,False
2018-01-07,52,False
2018-01-14,46,False
2018-01-21,69,False
2018-01-28,55,False
2018-02-04,68,False
2018-02-11,71,False
2018-02-18,64,False
2018-02-25,86,False
2018-03-04,77,False
2018-03-11,68,False
2018-03-18,67,False
2018-03-25,62,False
2018-04-01,70,False
2018-04-08,71,False
2018-04-15,68,False
2018-04-22,88,False
2018-04-29,79,False
2018-05-06,83,False
2018-05-13,72,False
2018-05-20,68,False
2018-05-27,58,False
2018-06-03,100,False
2018-06-10,73,False
2018-06-17,73,False
2018-06-24,74,False
2018-07-01,78,False
2018-07-08,84,False
2018-07-15,92,False
2018-07-22,69,False
2018-07-29,76,False
2018-08-05,60,False
2018-08-12,77,False
2018-08-19,54,False
2018-08-26,61,False
2018-09-02,54,False
2018-09-09,80,False
2018-09-16,60,False
2018-09-23,36,False
2018-09-30,69,False
2018-10-07,82,False
2018-10-14,48,False
2018-10-21,56,False
2018-10-28,49,False
2018-11-04,75,False
2018-11-11,58,False
2018-11-18,67,False
2018-11-25,58,False
2018-12-02,61,False
2018-12-09,41,False
2018-12-16,56,False
2018-12-23,60,False
2018-12-30,70,False
2019-01-06,73,False
2019-01-13,65,False
2019-01-20,70,False
2019-01-27,64,False
2019-02-03,68,False
2019-02-10,63,False
2019-02-17,58,False
2019-02-24,81,False
2019-03-03,55,False
2019-03-10,73,False
2019-03-17,62,False
2019-03-24,58,False
2019-03-31,65,False
2019-04-07,84,False
2019-04-14,92,False
2019-04-21,74,False
2019-04-28,94,False
2019-05-05,67,False
2019-05-12,67,False
2019-05-19,82,False
2019-05-26,73,False
2019-06-02,90,False
2019-06-09,99,False
2019-06-16,69,False
2019-06-23,70,False
2019-06-30,65,False
2019-07-07,83,False
2019-07-14,75,False
2019-07-21,61,False
2019-07-28,89,False
2019-08-04,70,False
2019-08-11,72,False
2019-08-18,70,False
2019-08-25,55,False
2019-09-01,63,False
2019-09-08,60,False
2019-09-15,75,False
2019-09-22,75,False
2019-09-29,64,False
2019-10-06,70,False
2019-10-13,85,False
2019-10-20,65,False
2019-10-27,83,False
2019-11-03,52,False
2019-11-10,54,False
2019-11-17,67,False
2019-11-24,69,False
2019-12-01,58,False
2019-12-08,57,False
2019-12-15,62,False
2019-12-22,46,False
2019-12-29,71,False
2020-01-05,61,False
2020-01-12,72,False
2020-01-19,70,False
2020-01-26,63,False
2020-02-02,48,False
2020-02-09,62,False
2020-02-16,80,False
2020-02-23,81,False
2020-03-01,76,False
2020-03-08,80,False
2020-03-15,81,False
2020-03-22,83,False
2020-03-29,71,False
2020-04-05,68,False
2020-04-12,46,False
2020-04-19,48,False
2020-04-26,65,False
2020-05-03,60,False
2020-05-10,87,False
2020-05-17,60,False
2020-05-24,69,False
2020-05-31,62,False
2020-06-07,57,False
2020-06-14,50,False
2020-06-21,59,False
2020-06-28,69,False
2020-07-05,58,False
2020-07-12,65,False
2020-07-19,69,False
2020-07-26,68,False
2020-08-02,50,False
2020-08-09,73,False
2020-08-16,64,False
2020-08-23,66,False
2020-08-30,35,False
2020-09-06,55,False
2020-09-13,63,False
2020-09-20,44,False
2020-09-27,72,False
2020-10-04,60,False
2020-10-11,66,False
2020-10-18,60,False
2020-10-25,62,False
2020-11-01,45,False
2020-11-08,49,False
2020-11-15,54,False
2020-11-22,38,False
2020-11-29,45,False
2020-12-06,53,False
2020-12-13,44,False
2020-12-20,38,False
2020-12-27,33,False
2021-01-03,44,False
2021-01-10,41,False
2021-01-17,55,False
2021-01-24,46,False
2021-01-31,37,False
2021-02-07,56,False
2021-02-14,64,False
2021-02-21,39,False
2021-02-28,35,False
2021-03-07,53,False
2021-03-14,36,False
2021-03-21,48,False
2021-03-28,46,False
2021-04-04,40,False
2021-04-11,52,False
2021-04-18,60,False
2021-04-25,58,False
2021-05-02,38,False
2021-05-09,70,False
2021-05-16,55,False
2021-05-23,53,False
2021-05-30,62,False
2021-06-06,85,False
2021-06-13,72,False
2021-06-20,68,False
2021-06-27,56,False
2021-07-04,48,False
2021-07-11,65,False
