date,ETR,isPartial
2016-08-21,90,False
2016-08-28,77,False
2016-09-04,100,False
2016-09-11,77,False
2016-09-18,69,False
2016-09-25,61,False
2016-10-02,75,False
2016-10-09,60,False
2016-10-16,67,False
2016-10-23,52,False
2016-10-30,59,False
2016-11-06,63,False
2016-11-13,52,False
2016-11-20,63,False
2016-11-27,76,False
2016-12-04,78,False
2016-12-11,76,False
2016-12-18,78,False
2016-12-25,58,False
2017-01-01,80,False
2017-01-08,80,False
2017-01-15,70,False
2017-01-22,100,False
2017-01-29,82,False
2017-02-05,74,False
2017-02-12,61,False
2017-02-19,57,False
2017-02-26,59,False
2017-03-05,59,False
2017-03-12,51,False
2017-03-19,59,False
2017-03-26,67,False
2017-04-02,61,False
2017-04-09,47,False
2017-04-16,50,False
2017-04-23,51,False
2017-04-30,54,False
2017-05-07,65,False
2017-05-14,58,False
2017-05-21,55,False
2017-05-28,67,False
2017-06-04,52,False
2017-06-11,58,False
2017-06-18,49,False
2017-06-25,56,False
2017-07-02,54,False
2017-07-09,51,False
2017-07-16,48,False
2017-07-23,55,False
2017-07-30,62,False
2017-08-06,54,False
2017-08-13,51,False
2017-08-20,62,False
2017-08-27,60,False
2017-09-03,56,False
2017-09-10,57,False
2017-09-17,75,False
2017-09-24,56,False
2017-10-01,56,False
2017-10-08,53,False
2017-10-15,50,False
2017-10-22,65,False
2017-10-29,48,False
2017-11-05,66,False
2017-11-12,54,False
2017-11-19,52,False
2017-11-26,56,False
2017-12-03,52,False
2017-12-10,54,False
2017-12-17,63,False
2017-12-24,42,False
2017-12-31,40,False
2018-01-07,47,False
2018-01-14,43,False
2018-01-21,50,False
2018-01-28,63,False
2018-02-04,47,False
2018-02-11,53,False
2018-02-18,51,False
2018-02-25,53,False
2018-03-04,43,False
2018-03-11,51,False
2018-03-18,50,False
2018-03-25,50,False
2018-04-01,44,False
2018-04-08,51,False
2018-04-15,48,False
2018-04-22,51,False
2018-04-29,60,False
2018-05-06,50,False
2018-05-13,60,False
2018-05-20,57,False
2018-05-27,58,False
2018-06-03,61,False
2018-06-10,51,False
2018-06-17,55,False
2018-06-24,49,False
2018-07-01,48,False
2018-07-08,48,False
2018-07-15,59,False
2018-07-22,59,False
2018-07-29,51,False
2018-08-05,42,False
2018-08-12,61,False
2018-08-19,61,False
2018-08-26,55,False
2018-09-02,51,False
2018-09-09,52,False
2018-09-16,60,False
2018-09-23,60,False
2018-09-30,45,False
2018-10-07,44,False
2018-10-14,58,False
2018-10-21,46,False
2018-10-28,52,False
2018-11-04,50,False
2018-11-11,46,False
2018-11-18,44,False
2018-11-25,48,False
2018-12-02,50,False
2018-12-09,45,False
2018-12-16,44,False
2018-12-23,33,False
2018-12-30,36,False
2019-01-06,48,False
2019-01-13,51,False
2019-01-20,41,False
2019-01-27,57,False
2019-02-03,46,False
2019-02-10,54,False
2019-02-17,47,False
2019-02-24,43,False
2019-03-03,46,False
2019-03-10,44,False
2019-03-17,53,False
2019-03-24,57,False
2019-03-31,63,False
2019-04-07,51,False
2019-04-14,53,False
2019-04-21,49,False
2019-04-28,39,False
2019-05-05,45,False
2019-05-12,41,False
2019-05-19,45,False
2019-05-26,50,False
2019-06-02,49,False
2019-06-09,61,False
2019-06-16,63,False
2019-06-23,44,False
2019-06-30,48,False
2019-07-07,61,False
2019-07-14,62,False
2019-07-21,49,False
2019-07-28,52,False
2019-08-04,49,False
2019-08-11,45,False
2019-08-18,46,False
2019-08-25,54,False
2019-09-01,56,False
2019-09-08,55,False
2019-09-15,55,False
2019-09-22,50,False
2019-09-29,58,False
2019-10-06,57,False
2019-10-13,52,False
2019-10-20,54,False
2019-10-27,47,False
2019-11-03,55,False
2019-11-10,52,False
2019-11-17,41,False
2019-11-24,51,False
2019-12-01,48,False
2019-12-08,60,False
2019-12-15,63,False
2019-12-22,34,False
2019-12-29,45,False
2020-01-05,52,False
2020-01-12,54,False
2020-01-19,50,False
2020-01-26,58,False
2020-02-02,66,False
2020-02-09,47,False
2020-02-16,49,False
2020-02-23,53,False
2020-03-01,48,False
2020-03-08,50,False
2020-03-15,48,False
2020-03-22,45,False
2020-03-29,43,False
2020-04-05,37,False
2020-04-12,43,False
2020-04-19,43,False
2020-04-26,40,False
2020-05-03,33,False
2020-05-10,36,False
2020-05-17,39,False
2020-05-24,35,False
2020-05-31,43,False
2020-06-07,52,False
2020-06-14,45,False
2020-06-21,43,False
2020-06-28,41,False
2020-07-05,44,False
2020-07-12,44,False
2020-07-19,45,False
2020-07-26,42,False
2020-08-02,48,False
2020-08-09,43,False
2020-08-16,30,False
2020-08-23,45,False
2020-08-30,40,False
2020-09-06,41,False
2020-09-13,47,False
2020-09-20,49,False
2020-09-27,39,False
2020-10-04,43,False
2020-10-11,48,False
2020-10-18,43,False
2020-10-25,41,False
2020-11-01,37,False
2020-11-08,39,False
2020-11-15,41,False
2020-11-22,33,False
2020-11-29,40,False
2020-12-06,34,False
2020-12-13,41,False
2020-12-20,37,False
2020-12-27,32,False
2021-01-03,44,False
2021-01-10,36,False
2021-01-17,43,False
2021-01-24,50,False
2021-01-31,40,False
2021-02-07,38,False
2021-02-14,39,False
2021-02-21,42,False
2021-02-28,47,False
2021-03-07,40,False
2021-03-14,46,False
2021-03-21,42,False
2021-03-28,38,False
2021-04-04,34,False
2021-04-11,45,False
2021-04-18,37,False
2021-04-25,42,False
2021-05-02,44,False
2021-05-09,45,False
2021-05-16,46,False
2021-05-23,35,False
2021-05-30,37,False
2021-06-06,45,False
2021-06-13,38,False
2021-06-20,43,False
2021-06-27,45,False
2021-07-04,45,False
2021-07-11,48,False
2021-07-18,44,False
2021-07-25,42,False
2021-08-01,39,False
2021-08-08,54,True
