date,FFIV,isPartial
2016-08-21,57,False
2016-08-28,69,False
2016-09-04,40,False
2016-09-11,55,False
2016-09-18,21,False
2016-09-25,46,False
2016-10-02,56,False
2016-10-09,91,False
2016-10-16,67,False
2016-10-23,60,False
2016-10-30,82,False
2016-11-06,75,False
2016-11-13,42,False
2016-11-20,38,False
2016-11-27,67,False
2016-12-04,62,False
2016-12-11,92,False
2016-12-18,90,False
2016-12-25,91,False
2017-01-01,80,False
2017-01-08,59,False
2017-01-15,84,False
2017-01-22,95,False
2017-01-29,64,False
2017-02-05,54,False
2017-02-12,61,False
2017-02-19,52,False
2017-02-26,57,False
2017-03-05,87,False
2017-03-12,50,False
2017-03-19,45,False
2017-03-26,42,False
2017-04-02,42,False
2017-04-09,76,False
2017-04-16,51,False
2017-04-23,61,False
2017-04-30,46,False
2017-05-07,88,False
2017-05-14,57,False
2017-05-21,66,False
2017-05-28,73,False
2017-06-04,51,False
2017-06-11,45,False
2017-06-18,70,False
2017-06-25,60,False
2017-07-02,71,False
2017-07-09,87,False
2017-07-16,64,False
2017-07-23,76,False
2017-07-30,54,False
2017-08-06,33,False
2017-08-13,54,False
2017-08-20,46,False
2017-08-27,63,False
2017-09-03,47,False
2017-09-10,26,False
2017-09-17,39,False
2017-09-24,45,False
2017-10-01,39,False
2017-10-08,55,False
2017-10-15,52,False
2017-10-22,54,False
2017-10-29,35,False
2017-11-05,31,False
2017-11-12,41,False
2017-11-19,28,False
2017-11-26,37,False
2017-12-03,44,False
2017-12-10,28,False
2017-12-17,36,False
2017-12-24,43,False
2017-12-31,30,False
2018-01-07,58,False
2018-01-14,30,False
2018-01-21,100,False
2018-01-28,36,False
2018-02-04,86,False
2018-02-11,45,False
2018-02-18,36,False
2018-02-25,53,False
2018-03-04,78,False
2018-03-11,27,False
2018-03-18,45,False
2018-03-25,44,False
2018-04-01,31,False
2018-04-08,40,False
2018-04-15,70,False
2018-04-22,52,False
2018-04-29,58,False
2018-05-06,74,False
2018-05-13,62,False
2018-05-20,40,False
2018-05-27,43,False
2018-06-03,37,False
2018-06-10,30,False
2018-06-17,55,False
2018-06-24,52,False
2018-07-01,46,False
2018-07-08,30,False
2018-07-15,60,False
2018-07-22,43,False
2018-07-29,55,False
2018-08-05,24,False
2018-08-12,37,False
2018-08-19,37,False
2018-08-26,31,False
2018-09-02,36,False
2018-09-09,36,False
2018-09-16,35,False
2018-09-23,27,False
2018-09-30,44,False
2018-10-07,30,False
