date,FMC,isPartial
2016-08-21,79,False
2016-08-28,70,False
2016-09-04,74,False
2016-09-11,60,False
2016-09-18,65,False
2016-09-25,75,False
2016-10-02,79,False
2016-10-09,64,False
2016-10-16,74,False
2016-10-23,78,False
2016-10-30,70,False
2016-11-06,81,False
2016-11-13,81,False
2016-11-20,70,False
2016-11-27,71,False
2016-12-04,76,False
2016-12-11,78,False
2016-12-18,71,False
2016-12-25,60,False
2017-01-01,70,False
2017-01-08,80,False
2017-01-15,93,False
2017-01-22,78,False
2017-01-29,81,False
2017-02-05,77,False
2017-02-12,77,False
2017-02-19,77,False
2017-02-26,79,False
2017-03-05,77,False
2017-03-12,76,False
2017-03-19,85,False
2017-03-26,93,False
2017-04-02,96,False
2017-04-09,77,False
2017-04-16,87,False
2017-04-23,91,False
2017-04-30,73,False
2017-05-07,88,False
2017-05-14,78,False
2017-05-21,86,False
2017-05-28,81,False
2017-06-04,88,False
2017-06-11,76,False
2017-06-18,100,False
2017-06-25,74,False
2017-07-02,88,False
2017-07-09,91,False
2017-07-16,69,False
2017-07-23,84,False
2017-07-30,80,False
2017-08-06,68,False
2017-08-13,58,False
2017-08-20,75,False
2017-08-27,90,False
2017-09-03,73,False
2017-09-10,86,False
2017-09-17,85,False
2017-09-24,85,False
2017-10-01,86,False
2017-10-08,74,False
2017-10-15,84,False
2017-10-22,65,False
2017-10-29,86,False
2017-11-05,82,False
2017-11-12,87,False
2017-11-19,69,False
2017-11-26,88,False
2017-12-03,79,False
2017-12-10,69,False
2017-12-17,64,False
2017-12-24,67,False
2017-12-31,61,False
2018-01-07,86,False
2018-01-14,68,False
2018-01-21,76,False
2018-01-28,83,False
2018-02-04,78,False
2018-02-11,78,False
2018-02-18,79,False
2018-02-25,86,False
2018-03-04,77,False
2018-03-11,74,False
2018-03-18,86,False
2018-03-25,80,False
2018-04-01,79,False
2018-04-08,83,False
2018-04-15,86,False
2018-04-22,80,False
2018-04-29,79,False
2018-05-06,83,False
2018-05-13,71,False
2018-05-20,73,False
2018-05-27,75,False
2018-06-03,83,False
2018-06-10,90,False
2018-06-17,74,False
2018-06-24,77,False
2018-07-01,66,False
2018-07-08,72,False
2018-07-15,86,False
2018-07-22,76,False
2018-07-29,79,False
2018-08-05,82,False
2018-08-12,78,False
2018-08-19,88,False
2018-08-26,82,False
2018-09-02,77,False
2018-09-09,81,False
2018-09-16,80,False
2018-09-23,75,False
2018-09-30,80,False
2018-10-07,77,False
2018-10-14,76,False
2018-10-21,71,False
2018-10-28,79,False
2018-11-04,73,False
2018-11-11,85,False
2018-11-18,75,False
2018-11-25,72,False
2018-12-02,74,False
2018-12-09,78,False
2018-12-16,75,False
2018-12-23,59,False
2018-12-30,59,False
2019-01-06,67,False
2019-01-13,64,False
2019-01-20,83,False
2019-01-27,80,False
2019-02-03,73,False
2019-02-10,73,False
2019-02-17,85,False
2019-02-24,81,False
2019-03-03,80,False
2019-03-10,70,False
2019-03-17,81,False
2019-03-24,70,False
2019-03-31,82,False
2019-04-07,65,False
2019-04-14,77,False
2019-04-21,75,False
2019-04-28,77,False
2019-05-05,68,False
2019-05-12,82,False
2019-05-19,85,False
2019-05-26,68,False
2019-06-02,81,False
2019-06-09,75,False
2019-06-16,86,False
2019-06-23,77,False
2019-06-30,75,False
2019-07-07,78,False
2019-07-14,73,False
2019-07-21,77,False
2019-07-28,74,False
2019-08-04,70,False
2019-08-11,76,False
2019-08-18,87,False
2019-08-25,74,False
2019-09-01,84,False
2019-09-08,86,False
2019-09-15,84,False
2019-09-22,73,False
2019-09-29,74,False
2019-10-06,73,False
2019-10-13,82,False
2019-10-20,83,False
2019-10-27,83,False
2019-11-03,77,False
2019-11-10,85,False
2019-11-17,78,False
2019-11-24,69,False
2019-12-01,71,False
2019-12-08,74,False
2019-12-15,74,False
2019-12-22,60,False
2019-12-29,55,False
2020-01-05,80,False
2020-01-12,82,False
2020-01-19,73,False
2020-01-26,69,False
2020-02-02,86,False
2020-02-09,76,False
2020-02-16,92,False
2020-02-23,83,False
2020-03-01,83,False
2020-03-08,79,False
2020-03-15,62,False
2020-03-22,62,False
2020-03-29,69,False
2020-04-05,64,False
2020-04-12,69,False
2020-04-19,69,False
2020-04-26,71,False
2020-05-03,72,False
2020-05-10,77,False
2020-05-17,77,False
2020-05-24,77,False
2020-05-31,78,False
2020-06-07,71,False
2020-06-14,82,False
2020-06-21,72,False
2020-06-28,82,False
2020-07-05,80,False
2020-07-12,89,False
2020-07-19,92,False
2020-07-26,90,False
2020-08-02,89,False
2020-08-09,86,False
2020-08-16,77,False
2020-08-23,81,False
2020-08-30,78,False
2020-09-06,74,False
2020-09-13,80,False
2020-09-20,75,False
2020-09-27,80,False
2020-10-04,71,False
2020-10-11,80,False
2020-10-18,82,False
2020-10-25,83,False
2020-11-01,74,False
2020-11-08,76,False
2020-11-15,74,False
2020-11-22,75,False
2020-11-29,72,False
2020-12-06,60,False
2020-12-13,74,False
2020-12-20,51,False
2020-12-27,55,False
2021-01-03,80,False
2021-01-10,73,False
2021-01-17,78,False
2021-01-24,82,False
2021-01-31,88,False
2021-02-07,77,False
2021-02-14,83,False
2021-02-21,78,False
2021-02-28,76,False
2021-03-07,79,False
2021-03-14,79,False
2021-03-21,74,False
2021-03-28,67,False
2021-04-04,73,False
2021-04-11,77,False
2021-04-18,80,False
2021-04-25,73,False
2021-05-02,72,False
2021-05-09,73,False
2021-05-16,81,False
2021-05-23,73,False
2021-05-30,76,False
2021-06-06,73,False
2021-06-13,85,False
2021-06-20,70,False
2021-06-27,74,False
2021-07-04,74,False
2021-07-11,84,False
2021-07-18,84,False
2021-07-25,81,False
2021-08-01,79,False
2021-08-08,80,True
