date,FRC,isPartial
2016-08-21,31,False
2016-08-28,30,False
2016-09-04,33,False
2016-09-11,37,False
2016-09-18,30,False
2016-09-25,37,False
2016-10-02,30,False
2016-10-09,34,False
2016-10-16,42,False
2016-10-23,36,False
2016-10-30,31,False
2016-11-06,36,False
2016-11-13,37,False
2016-11-20,30,False
2016-11-27,35,False
2016-12-04,35,False
2016-12-11,34,False
2016-12-18,31,False
2016-12-25,18,False
2017-01-01,59,False
2017-01-08,76,False
2017-01-15,49,False
2017-01-22,58,False
2017-01-29,51,False
2017-02-05,50,False
2017-02-12,51,False
2017-02-19,62,False
2017-02-26,69,False
2017-03-05,57,False
2017-03-12,63,False
2017-03-19,65,False
2017-03-26,61,False
2017-04-02,54,False
2017-04-09,53,False
2017-04-16,51,False
2017-04-23,45,False
2017-04-30,37,False
2017-05-07,33,False
2017-05-14,31,False
2017-05-21,33,False
2017-05-28,30,False
2017-06-04,33,False
2017-06-11,31,False
2017-06-18,30,False
2017-06-25,37,False
2017-07-02,33,False
2017-07-09,31,False
2017-07-16,34,False
2017-07-23,35,False
2017-07-30,34,False
2017-08-06,32,False
2017-08-13,33,False
2017-08-20,31,False
2017-08-27,24,False
2017-09-03,29,False
2017-09-10,36,False
2017-09-17,43,False
2017-09-24,39,False
2017-10-01,38,False
2017-10-08,47,False
2017-10-15,38,False
2017-10-22,46,False
2017-10-29,48,False
2017-11-05,49,False
2017-11-12,49,False
2017-11-19,42,False
2017-11-26,41,False
2017-12-03,44,False
2017-12-10,43,False
2017-12-17,33,False
2017-12-24,30,False
2017-12-31,59,False
2018-01-07,82,False
2018-01-14,61,False
2018-01-21,52,False
2018-01-28,44,False
2018-02-04,50,False
2018-02-11,58,False
2018-02-18,51,False
2018-02-25,62,False
2018-03-04,66,False
2018-03-11,64,False
2018-03-18,57,False
2018-03-25,64,False
2018-04-01,66,False
2018-04-08,58,False
2018-04-15,54,False
2018-04-22,50,False
2018-04-29,44,False
2018-05-06,40,False
2018-05-13,35,False
2018-05-20,33,False
2018-05-27,34,False
2018-06-03,32,False
2018-06-10,36,False
2018-06-17,32,False
2018-06-24,33,False
2018-07-01,30,False
2018-07-08,34,False
2018-07-15,33,False
2018-07-22,35,False
2018-07-29,35,False
2018-08-05,31,False
2018-08-12,35,False
2018-08-19,31,False
2018-08-26,32,False
2018-09-02,37,False
2018-09-09,41,False
2018-09-16,45,False
2018-09-23,37,False
2018-09-30,43,False
2018-10-07,44,False
2018-10-14,45,False
2018-10-21,38,False
2018-10-28,40,False
2018-11-04,42,False
2018-11-11,46,False
2018-11-18,34,False
2018-11-25,33,False
2018-12-02,41,False
2018-12-09,40,False
2018-12-16,37,False
2018-12-23,27,False
2018-12-30,70,False
2019-01-06,100,False
2019-01-13,56,False
2019-01-20,61,False
2019-01-27,50,False
2019-02-03,51,False
2019-02-10,59,False
2019-02-17,68,False
2019-02-24,56,False
2019-03-03,60,False
2019-03-10,67,False
2019-03-17,70,False
2019-03-24,64,False
2019-03-31,58,False
2019-04-07,52,False
2019-04-14,48,False
2019-04-21,49,False
2019-04-28,36,False
2019-05-05,41,False
2019-05-12,35,False
2019-05-19,37,False
2019-05-26,32,False
2019-06-02,39,False
2019-06-09,36,False
2019-06-16,41,False
2019-06-23,41,False
2019-06-30,32,False
2019-07-07,35,False
2019-07-14,33,False
2019-07-21,31,False
2019-07-28,31,False
2019-08-04,39,False
2019-08-11,34,False
2019-08-18,39,False
2019-08-25,32,False
2019-09-01,43,False
2019-09-08,36,False
2019-09-15,38,False
2019-09-22,50,False
2019-09-29,41,False
2019-10-06,44,False
2019-10-13,51,False
2019-10-20,46,False
2019-10-27,45,False
2019-11-03,47,False
2019-11-10,44,False
2019-11-17,44,False
2019-11-24,38,False
2019-12-01,48,False
2019-12-08,37,False
2019-12-15,37,False
2019-12-22,28,False
2019-12-29,59,False
2020-01-05,86,False
2020-01-12,55,False
2020-01-19,54,False
2020-01-26,55,False
2020-02-02,51,False
2020-02-09,48,False
2020-02-16,60,False
2020-02-23,66,False
2020-03-01,70,False
2020-03-08,61,False
2020-03-15,36,False
2020-03-22,32,False
2020-03-29,29,False
2020-04-05,28,False
2020-04-12,33,False
2020-04-19,30,False
2020-04-26,25,False
2020-05-03,28,False
2020-05-10,30,False
2020-05-17,29,False
2020-05-24,26,False
2020-05-31,33,False
2020-06-07,35,False
2020-06-14,27,False
2020-06-21,37,False
2020-06-28,32,False
2020-07-05,36,False
2020-07-12,32,False
2020-07-19,30,False
2020-07-26,32,False
2020-08-02,36,False
2020-08-09,36,False
2020-08-16,36,False
2020-08-23,34,False
2020-08-30,33,False
2020-09-06,32,False
2020-09-13,37,False
2020-09-20,37,False
2020-09-27,34,False
2020-10-04,33,False
2020-10-11,32,False
2020-10-18,32,False
2020-10-25,32,False
2020-11-01,31,False
2020-11-08,33,False
2020-11-15,33,False
2020-11-22,26,False
2020-11-29,26,False
2020-12-06,28,False
2020-12-13,22,False
2020-12-20,26,False
2020-12-27,22,False
2021-01-03,28,False
2021-01-10,29,False
2021-01-17,31,False
2021-01-24,31,False
2021-01-31,32,False
2021-02-07,28,False
2021-02-14,26,False
2021-02-21,33,False
2021-02-28,34,False
2021-03-07,29,False
2021-03-14,36,False
2021-03-21,32,False
2021-03-28,29,False
2021-04-04,31,False
2021-04-11,27,False
2021-04-18,33,False
2021-04-25,26,False
2021-05-02,32,False
2021-05-09,30,False
2021-05-16,27,False
2021-05-23,28,False
2021-05-30,25,False
2021-06-06,31,False
2021-06-13,28,False
2021-06-20,30,False
2021-06-27,28,False
2021-07-04,29,False
2021-07-11,26,False
2021-07-18,24,False
2021-07-25,29,False
2021-08-01,30,False
