date,GE,isPartial
2016-08-21,70,False
2016-08-28,68,False
2016-09-04,70,False
2016-09-11,70,False
2016-09-18,69,False
2016-09-25,69,False
2016-10-02,67,False
2016-10-09,68,False
2016-10-16,70,False
2016-10-23,71,False
2016-10-30,72,False
2016-11-06,71,False
2016-11-13,74,False
2016-11-20,70,False
2016-11-27,76,False
2016-12-04,70,False
2016-12-11,72,False
2016-12-18,68,False
2016-12-25,64,False
2017-01-01,70,False
2017-01-08,71,False
2017-01-15,69,False
2017-01-22,74,False
2017-01-29,71,False
2017-02-05,70,False
2017-02-12,71,False
2017-02-19,71,False
2017-02-26,71,False
2017-03-05,70,False
2017-03-12,71,False
2017-03-19,70,False
2017-03-26,70,False
2017-04-02,69,False
2017-04-09,70,False
2017-04-16,72,False
2017-04-23,69,False
2017-04-30,66,False
2017-05-07,72,False
2017-05-14,71,False
2017-05-21,71,False
2017-05-28,73,False
2017-06-04,73,False
2017-06-11,78,False
2017-06-18,74,False
2017-06-25,71,False
2017-07-02,73,False
2017-07-09,75,False
2017-07-16,74,False
2017-07-23,73,False
2017-07-30,72,False
2017-08-06,69,False
2017-08-13,71,False
2017-08-20,67,False
2017-08-27,68,False
2017-09-03,69,False
2017-09-10,70,False
2017-09-17,69,False
2017-09-24,71,False
2017-10-01,69,False
2017-10-08,76,False
2017-10-15,78,False
2017-10-22,77,False
2017-10-29,77,False
2017-11-05,81,False
2017-11-12,100,False
2017-11-19,84,False
2017-11-26,82,False
2017-12-03,83,False
2017-12-10,76,False
2017-12-17,72,False
2017-12-24,74,False
2017-12-31,77,False
2018-01-07,85,False
2018-01-14,89,False
2018-01-21,83,False
2018-01-28,80,False
2018-02-04,81,False
2018-02-11,76,False
2018-02-18,79,False
2018-02-25,82,False
2018-03-04,82,False
2018-03-11,80,False
2018-03-18,79,False
2018-03-25,84,False
2018-04-01,77,False
2018-04-08,78,False
2018-04-15,82,False
2018-04-22,82,False
2018-04-29,75,False
2018-05-06,87,False
2018-05-13,75,False
2018-05-20,85,False
2018-05-27,78,False
2018-06-03,82,False
2018-06-10,80,False
2018-06-17,88,False
2018-06-24,90,False
2018-07-01,80,False
2018-07-08,79,False
2018-07-15,80,False
2018-07-22,79,False
2018-07-29,81,False
2018-08-05,78,False
2018-08-12,78,False
2018-08-19,77,False
2018-08-26,77,False
2018-09-02,76,False
2018-09-09,77,False
2018-09-16,75,False
2018-09-23,75,False
2018-09-30,90,False
2018-10-07,80,False
2018-10-14,77,False
2018-10-21,80,False
2018-10-28,87,False
2018-11-04,84,False
2018-11-11,92,False
2018-11-18,90,False
2018-11-25,88,False
2018-12-02,87,False
2018-12-09,87,False
2018-12-16,87,False
2018-12-23,80,False
2018-12-30,82,False
2019-01-06,89,False
2019-01-13,87,False
2019-01-20,84,False
2019-01-27,89,False
2019-02-03,88,False
2019-02-10,86,False
2019-02-17,86,False
2019-02-24,90,False
2019-03-03,88,False
2019-03-10,88,False
2019-03-17,86,False
2019-03-24,84,False
2019-03-31,76,False
2019-04-07,75,False
2019-04-14,74,False
2019-04-21,73,False
2019-04-28,79,False
2019-05-05,76,False
2019-05-12,76,False
2019-05-19,75,False
2019-05-26,73,False
2019-06-02,76,False
2019-06-09,75,False
2019-06-16,80,False
2019-06-23,77,False
2019-06-30,76,False
2019-07-07,77,False
2019-07-14,78,False
2019-07-21,77,False
2019-07-28,74,False
2019-08-04,72,False
2019-08-11,89,False
2019-08-18,83,False
2019-08-25,77,False
2019-09-01,74,False
2019-09-08,73,False
2019-09-15,71,False
2019-09-22,72,False
2019-09-29,69,False
2019-10-06,75,False
2019-10-13,69,False
2019-10-20,72,False
2019-10-27,77,False
2019-11-03,77,False
2019-11-10,77,False
2019-11-17,76,False
2019-11-24,76,False
2019-12-01,77,False
2019-12-08,76,False
2019-12-15,74,False
2019-12-22,67,False
2019-12-29,67,False
2020-01-05,72,False
2020-01-12,75,False
2020-01-19,77,False
2020-01-26,77,False
2020-02-02,74,False
2020-02-09,77,False
2020-02-16,75,False
2020-02-23,73,False
2020-03-01,72,False
2020-03-08,77,False
2020-03-15,72,False
2020-03-22,79,False
2020-03-29,74,False
2020-04-05,72,False
2020-04-12,74,False
2020-04-19,73,False
2020-04-26,73,False
2020-05-03,74,False
2020-05-10,72,False
2020-05-17,75,False
2020-05-24,75,False
2020-05-31,73,False
2020-06-07,73,False
2020-06-14,72,False
2020-06-21,74,False
2020-06-28,74,False
2020-07-05,81,False
2020-07-12,73,False
2020-07-19,72,False
2020-07-26,76,False
2020-08-02,75,False
2020-08-09,83,False
2020-08-16,84,False
2020-08-23,78,False
2020-08-30,82,False
2020-09-06,80,False
2020-09-13,82,False
2020-09-20,82,False
2020-09-27,80,False
2020-10-04,79,False
2020-10-11,85,False
2020-10-18,83,False
2020-10-25,82,False
2020-11-01,80,False
2020-11-08,87,False
2020-11-15,86,False
2020-11-22,90,False
2020-11-29,88,False
2020-12-06,88,False
2020-12-13,81,False
2020-12-20,80,False
2020-12-27,76,False
2021-01-03,81,False
2021-01-10,86,False
2021-01-17,83,False
2021-01-24,90,False
2021-01-31,85,False
2021-02-07,79,False
2021-02-14,83,False
2021-02-21,84,False
2021-02-28,80,False
2021-03-07,86,False
2021-03-14,78,False
2021-03-21,78,False
2021-03-28,76,False
2021-04-04,77,False
2021-04-11,80,False
2021-04-18,80,False
2021-04-25,77,False
2021-05-02,75,False
2021-05-09,78,False
2021-05-16,78,False
2021-05-23,81,False
2021-05-30,78,False
2021-06-06,83,False
2021-06-13,80,False
2021-06-20,79,False
2021-06-27,80,False
2021-07-04,80,False
2021-07-11,79,False
2021-07-18,88,False
2021-07-25,90,False
2021-08-01,95,False
2021-08-08,83,True
