date,GLW,isPartial
2016-08-21,42,False
2016-08-28,38,False
2016-09-04,29,False
2016-09-11,55,False
2016-09-18,42,False
2016-09-25,56,False
2016-10-02,33,False
2016-10-09,33,False
2016-10-16,36,False
2016-10-23,33,False
2016-10-30,37,False
2016-11-06,46,False
2016-11-13,30,False
2016-11-20,35,False
2016-11-27,29,False
2016-12-04,42,False
2016-12-11,43,False
2016-12-18,40,False
2016-12-25,26,False
2017-01-01,49,False
2017-01-08,42,False
2017-01-15,57,False
2017-01-22,75,False
2017-01-29,45,False
2017-02-05,51,False
2017-02-12,51,False
2017-02-19,54,False
2017-02-26,55,False
2017-03-05,44,False
2017-03-12,40,False
2017-03-19,59,False
2017-03-26,36,False
2017-04-02,38,False
2017-04-09,47,False
2017-04-16,41,False
2017-04-23,56,False
2017-04-30,49,False
2017-05-07,54,False
2017-05-14,91,False
2017-05-21,63,False
2017-05-28,36,False
2017-06-04,32,False
2017-06-11,63,False
2017-06-18,61,False
2017-06-25,58,False
2017-07-02,56,False
2017-07-09,39,False
2017-07-16,42,False
2017-07-23,96,False
2017-07-30,67,False
2017-08-06,79,False
2017-08-13,61,False
2017-08-20,42,False
2017-08-27,53,False
2017-09-03,66,False
2017-09-10,44,False
2017-09-17,41,False
2017-09-24,36,False
2017-10-01,41,False
2017-10-08,53,False
2017-10-15,44,False
2017-10-22,58,False
2017-10-29,64,False
2017-11-05,64,False
2017-11-12,62,False
2017-11-19,27,False
2017-11-26,54,False
2017-12-03,75,False
2017-12-10,45,False
2017-12-17,42,False
2017-12-24,62,False
2017-12-31,55,False
2018-01-07,61,False
2018-01-14,48,False
2018-01-21,60,False
2018-01-28,91,False
2018-02-04,68,False
2018-02-11,58,False
2018-02-18,77,False
2018-02-25,52,False
2018-03-04,64,False
2018-03-11,64,False
2018-03-18,57,False
2018-03-25,50,False
2018-04-01,44,False
2018-04-08,60,False
2018-04-15,63,False
2018-04-22,51,False
2018-04-29,29,False
2018-05-06,64,False
2018-05-13,46,False
2018-05-20,22,False
2018-05-27,54,False
2018-06-03,68,False
2018-06-10,33,False
2018-06-17,31,False
2018-06-24,38,False
2018-07-01,29,False
2018-07-08,41,False
2018-07-15,37,False
2018-07-22,76,False
2018-07-29,65,False
2018-08-05,45,False
2018-08-12,36,False
2018-08-19,71,False
2018-08-26,39,False
2018-09-02,33,False
2018-09-09,47,False
2018-09-16,56,False
2018-09-23,59,False
2018-09-30,49,False
2018-10-07,66,False
2018-10-14,36,False
2018-10-21,59,False
2018-10-28,38,False
2018-11-04,60,False
2018-11-11,40,False
2018-11-18,29,False
2018-11-25,40,False
2018-12-02,36,False
2018-12-09,43,False
2018-12-16,39,False
2018-12-23,32,False
2018-12-30,54,False
2019-01-06,54,False
2019-01-13,58,False
2019-01-20,60,False
2019-01-27,39,False
2019-02-03,46,False
2019-02-10,44,False
2019-02-17,46,False
2019-02-24,55,False
2019-03-03,42,False
2019-03-10,51,False
2019-03-17,64,False
2019-03-24,49,False
2019-03-31,44,False
2019-04-07,56,False
2019-04-14,54,False
2019-04-21,50,False
2019-04-28,59,False
2019-05-05,68,False
2019-05-12,35,False
2019-05-19,32,False
2019-05-26,55,False
2019-06-02,37,False
2019-06-09,50,False
2019-06-16,63,False
2019-06-23,49,False
2019-06-30,56,False
2019-07-07,48,False
2019-07-14,64,False
2019-07-21,46,False
2019-07-28,100,False
2019-08-04,38,False
2019-08-11,40,False
2019-08-18,60,False
2019-08-25,53,False
2019-09-01,45,False
2019-09-08,53,False
2019-09-15,74,False
2019-09-22,59,False
2019-09-29,35,False
2019-10-06,62,False
2019-10-13,52,False
2019-10-20,39,False
2019-10-27,57,False
2019-11-03,45,False
2019-11-10,37,False
2019-11-17,35,False
2019-11-24,38,False
2019-12-01,39,False
2019-12-08,44,False
2019-12-15,47,False
2019-12-22,38,False
2019-12-29,39,False
2020-01-05,57,False
2020-01-12,71,False
2020-01-19,57,False
2020-01-26,71,False
2020-02-02,54,False
2020-02-09,51,False
2020-02-16,39,False
2020-02-23,56,False
2020-03-01,48,False
2020-03-08,67,False
2020-03-15,69,False
2020-03-22,56,False
2020-03-29,50,False
2020-04-05,42,False
2020-04-12,53,False
2020-04-19,42,False
2020-04-26,50,False
2020-05-03,60,False
2020-05-10,61,False
2020-05-17,67,False
2020-05-24,54,False
2020-05-31,58,False
2020-06-07,68,False
2020-06-14,58,False
2020-06-21,57,False
2020-06-28,46,False
2020-07-05,61,False
2020-07-12,55,False
2020-07-19,73,False
2020-07-26,97,False
2020-08-02,59,False
2020-08-09,59,False
2020-08-16,32,False
2020-08-23,56,False
2020-08-30,47,False
2020-09-06,45,False
2020-09-13,47,False
2020-09-20,62,False
2020-09-27,48,False
2020-10-04,42,False
2020-10-11,59,False
2020-10-18,44,False
2020-10-25,54,False
2020-11-01,61,False
2020-11-08,58,False
2020-11-15,83,False
2020-11-22,46,False
2020-11-29,67,False
2020-12-06,50,False
2020-12-13,68,False
2020-12-20,61,False
2020-12-27,31,False
2021-01-03,51,False
2021-01-10,48,False
2021-01-17,51,False
2021-01-24,75,False
2021-01-31,75,False
2021-02-07,68,False
2021-02-14,81,False
2021-02-21,41,False
2021-02-28,51,False
2021-03-07,68,False
2021-03-14,52,False
2021-03-21,68,False
2021-03-28,78,False
2021-04-04,50,False
2021-04-11,43,False
2021-04-18,58,False
2021-04-25,77,False
2021-05-02,60,False
2021-05-09,40,False
2021-05-16,48,False
2021-05-23,74,False
2021-05-30,44,False
2021-06-06,50,False
2021-06-13,57,False
2021-06-20,51,False
2021-06-27,53,False
2021-07-04,52,False
2021-07-11,35,False
2021-07-18,33,False
2021-07-25,45,False
2021-08-01,41,False
2021-08-08,28,True
