date,GOOG,isPartial
2016-08-21,93,False
2016-08-28,94,False
2016-09-04,90,False
2016-09-11,97,False
2016-09-18,94,False
2016-09-25,96,False
2016-10-02,92,False
2016-10-09,91,False
2016-10-16,94,False
2016-10-23,100,False
2016-10-30,93,False
2016-11-06,99,False
2016-11-13,92,False
2016-11-20,90,False
2016-11-27,89,False
2016-12-04,88,False
2016-12-11,90,False
2016-12-18,85,False
2016-12-25,77,False
2017-01-01,84,False
2017-01-08,84,False
2017-01-15,83,False
2017-01-22,93,False
2017-01-29,87,False
2017-02-05,82,False
2017-02-12,86,False
2017-02-19,80,False
2017-02-26,84,False
2017-03-05,84,False
2017-03-12,81,False
2017-03-19,83,False
2017-03-26,80,False
2017-04-02,80,False
2017-04-09,71,False
2017-04-16,78,False
2017-04-23,90,False
2017-04-30,83,False
2017-05-07,80,False
2017-05-14,81,False
2017-05-21,79,False
2017-05-28,77,False
2017-06-04,76,False
2017-06-11,79,False
2017-06-18,71,False
2017-06-25,78,False
2017-07-02,72,False
2017-07-09,70,False
2017-07-16,74,False
2017-07-23,83,False
2017-07-30,69,False
2017-08-06,72,False
2017-08-13,63,False
2017-08-20,70,False
2017-08-27,69,False
2017-09-03,68,False
2017-09-10,68,False
2017-09-17,69,False
2017-09-24,76,False
2017-10-01,70,False
2017-10-08,72,False
2017-10-15,69,False
2017-10-22,83,False
2017-10-29,78,False
2017-11-05,74,False
2017-11-12,74,False
2017-11-19,70,False
2017-11-26,70,False
2017-12-03,73,False
2017-12-10,72,False
2017-12-17,69,False
2017-12-24,60,False
2017-12-31,66,False
2018-01-07,70,False
2018-01-14,68,False
2018-01-21,70,False
2018-01-28,75,False
2018-02-04,78,False
2018-02-11,69,False
2018-02-18,70,False
2018-02-25,68,False
2018-03-04,70,False
2018-03-11,63,False
2018-03-18,70,False
2018-03-25,69,False
2018-04-01,66,False
2018-04-08,68,False
2018-04-15,67,False
2018-04-22,75,False
2018-04-29,64,False
2018-05-06,68,False
2018-05-13,68,False
2018-05-20,65,False
2018-05-27,62,False
2018-06-03,61,False
2018-06-10,61,False
2018-06-17,59,False
2018-06-24,58,False
2018-07-01,59,False
2018-07-08,56,False
2018-07-15,65,False
2018-07-22,75,False
2018-07-29,62,False
2018-08-05,60,False
2018-08-12,58,False
2018-08-19,58,False
2018-08-26,62,False
2018-09-02,59,False
2018-09-09,65,False
2018-09-16,58,False
2018-09-23,61,False
2018-09-30,60,False
2018-10-07,66,False
2018-10-14,60,False
2018-10-21,70,False
2018-10-28,60,False
2018-11-04,57,False
2018-11-11,63,False
2018-11-18,58,False
2018-11-25,59,False
2018-12-02,62,False
2018-12-09,61,False
2018-12-16,57,False
