date,GPC,isPartial
2016-08-21,50,False
2016-08-28,51,False
2016-09-04,37,False
2016-09-11,35,False
2016-09-18,40,False
2016-09-25,45,False
2016-10-02,37,False
2016-10-09,31,False
2016-10-16,34,False
2016-10-23,38,False
2016-10-30,39,False
2016-11-06,36,False
2016-11-13,42,False
2016-11-20,38,False
2016-11-27,37,False
2016-12-04,27,False
2016-12-11,35,False
2016-12-18,28,False
2016-12-25,26,False
2017-01-01,31,False
2017-01-08,42,False
2017-01-15,37,False
2017-01-22,42,False
2017-01-29,40,False
2017-02-05,41,False
2017-02-12,43,False
2017-02-19,48,False
2017-02-26,46,False
2017-03-05,44,False
2017-03-12,50,False
2017-03-19,46,False
2017-03-26,47,False
2017-04-02,44,False
2017-04-09,43,False
2017-04-16,45,False
2017-04-23,49,False
2017-04-30,46,False
2017-05-07,43,False
2017-05-14,42,False
2017-05-21,44,False
2017-05-28,48,False
2017-06-04,40,False
2017-06-11,45,False
2017-06-18,42,False
2017-06-25,40,False
2017-07-02,45,False
2017-07-09,47,False
2017-07-16,46,False
2017-07-23,49,False
2017-07-30,57,False
2017-08-06,55,False
2017-08-13,56,False
2017-08-20,61,False
2017-08-27,70,False
2017-09-03,53,False
2017-09-10,51,False
2017-09-17,52,False
2017-09-24,50,False
2017-10-01,55,False
2017-10-08,53,False
2017-10-15,51,False
2017-10-22,51,False
2017-10-29,48,False
2017-11-05,51,False
2017-11-12,57,False
2017-11-19,53,False
2017-11-26,50,False
2017-12-03,44,False
2017-12-10,42,False
2017-12-17,37,False
2017-12-24,33,False
2017-12-31,38,False
2018-01-07,48,False
2018-01-14,49,False
2018-01-21,51,False
2018-01-28,48,False
2018-02-04,48,False
2018-02-11,50,False
2018-02-18,58,False
2018-02-25,61,False
2018-03-04,56,False
2018-03-11,55,False
2018-03-18,54,False
2018-03-25,49,False
2018-04-01,55,False
2018-04-08,65,False
2018-04-15,62,False
2018-04-22,65,False
2018-04-29,56,False
2018-05-06,56,False
2018-05-13,63,False
2018-05-20,61,False
2018-05-27,54,False
2018-06-03,59,False
2018-06-10,54,False
2018-06-17,52,False
2018-06-24,49,False
2018-07-01,43,False
2018-07-08,51,False
2018-07-15,54,False
2018-07-22,59,False
2018-07-29,61,False
2018-08-05,71,False
2018-08-12,76,False
2018-08-19,68,False
2018-08-26,77,False
2018-09-02,69,False
2018-09-09,64,False
2018-09-16,60,False
2018-09-23,54,False
2018-09-30,56,False
2018-10-07,64,False
2018-10-14,49,False
2018-10-21,59,False
2018-10-28,49,False
2018-11-04,61,False
2018-11-11,51,False
2018-11-18,54,False
2018-11-25,53,False
2018-12-02,49,False
2018-12-09,49,False
2018-12-16,41,False
2018-12-23,42,False
2018-12-30,37,False
2019-01-06,53,False
2019-01-13,60,False
2019-01-20,59,False
2019-01-27,52,False
2019-02-03,60,False
2019-02-10,63,False
2019-02-17,64,False
2019-02-24,68,False
2019-03-03,70,False
2019-03-10,66,False
2019-03-17,66,False
2019-03-24,72,False
2019-03-31,73,False
2019-04-07,67,False
2019-04-14,54,False
2019-04-21,66,False
2019-04-28,58,False
2019-05-05,62,False
2019-05-12,59,False
2019-05-19,61,False
2019-05-26,67,False
2019-06-02,66,False
2019-06-09,62,False
2019-06-16,70,False
2019-06-23,62,False
2019-06-30,64,False
2019-07-07,68,False
2019-07-14,62,False
2019-07-21,57,False
2019-07-28,58,False
2019-08-04,71,False
2019-08-11,81,False
2019-08-18,82,False
2019-08-25,72,False
2019-09-01,82,False
2019-09-08,88,False
2019-09-15,82,False
2019-09-22,100,False
2019-09-29,76,False
2019-10-06,70,False
2019-10-13,68,False
2019-10-20,72,False
2019-10-27,65,False
2019-11-03,69,False
2019-11-10,67,False
2019-11-17,66,False
2019-11-24,69,False
2019-12-01,67,False
2019-12-08,62,False
2019-12-15,50,False
2019-12-22,42,False
2019-12-29,44,False
2020-01-05,59,False
2020-01-12,61,False
2020-01-19,69,False
2020-01-26,64,False
2020-02-02,68,False
2020-02-09,72,False
2020-02-16,75,False
2020-02-23,81,False
2020-03-01,77,False
2020-03-08,81,False
2020-03-15,66,False
2020-03-22,59,False
2020-03-29,61,False
2020-04-05,53,False
2020-04-12,53,False
2020-04-19,65,False
2020-04-26,55,False
2020-05-03,54,False
2020-05-10,60,False
2020-05-17,67,False
2020-05-24,61,False
2020-05-31,55,False
2020-06-07,58,False
2020-06-14,56,False
2020-06-21,57,False
2020-06-28,53,False
2020-07-05,54,False
2020-07-12,52,False
2020-07-19,58,False
2020-07-26,54,False
2020-08-02,56,False
2020-08-09,63,False
2020-08-16,60,False
