date,HON,isPartial
2016-08-21,90,False
2016-08-28,89,False
2016-09-04,88,False
2016-09-11,83,False
2016-09-18,96,False
2016-09-25,93,False
2016-10-02,90,False
2016-10-09,92,False
2016-10-16,100,False
2016-10-23,99,False
2016-10-30,91,False
2016-11-06,83,False
2016-11-13,85,False
2016-11-20,85,False
2016-11-27,85,False
2016-12-04,97,False
2016-12-11,99,False
2016-12-18,89,False
2016-12-25,87,False
2017-01-01,90,False
2017-01-08,85,False
2017-01-15,83,False
2017-01-22,81,False
2017-01-29,81,False
2017-02-05,87,False
2017-02-12,86,False
2017-02-19,85,False
2017-02-26,89,False
2017-03-05,93,False
2017-03-12,99,False
2017-03-19,100,False
2017-03-26,97,False
2017-04-02,96,False
2017-04-09,87,False
2017-04-16,92,False
2017-04-23,88,False
2017-04-30,94,False
2017-05-07,79,False
2017-05-14,73,False
2017-05-21,71,False
2017-05-28,70,False
2017-06-04,65,False
2017-06-11,71,False
2017-06-18,64,False
2017-06-25,66,False
2017-07-02,67,False
2017-07-09,66,False
2017-07-16,69,False
2017-07-23,67,False
2017-07-30,65,False
2017-08-06,66,False
2017-08-13,70,False
2017-08-20,65,False
2017-08-27,61,False
2017-09-03,62,False
2017-09-10,59,False
2017-09-17,58,False
2017-09-24,59,False
2017-10-01,60,False
2017-10-08,58,False
2017-10-15,57,False
2017-10-22,54,False
2017-10-29,55,False
2017-11-05,54,False
2017-11-12,54,False
2017-11-19,51,False
2017-11-26,54,False
2017-12-03,54,False
2017-12-10,52,False
2017-12-17,52,False
2017-12-24,49,False
2017-12-31,58,False
2018-01-07,51,False
2018-01-14,50,False
2018-01-21,46,False
2018-01-28,47,False
2018-02-04,42,False
2018-02-11,40,False
2018-02-18,45,False
2018-02-25,49,False
2018-03-04,49,False
2018-03-11,51,False
2018-03-18,49,False
2018-03-25,52,False
2018-04-01,51,False
2018-04-08,51,False
2018-04-15,50,False
2018-04-22,53,False
2018-04-29,50,False
2018-05-06,50,False
2018-05-13,51,False
2018-05-20,49,False
2018-05-27,47,False
2018-06-03,50,False
2018-06-10,47,False
2018-06-17,50,False
2018-06-24,48,False
2018-07-01,49,False
2018-07-08,50,False
2018-07-15,53,False
2018-07-22,47,False
2018-07-29,47,False
2018-08-05,44,False
2018-08-12,48,False
2018-08-19,50,False
2018-08-26,49,False
2018-09-02,45,False
2018-09-09,43,False
2018-09-16,43,False
2018-09-23,41,False
2018-09-30,44,False
2018-10-07,43,False
2018-10-14,43,False
2018-10-21,41,False
2018-10-28,42,False
2018-11-04,44,False
2018-11-11,48,False
2018-11-18,48,False
2018-11-25,48,False
2018-12-02,48,False
2018-12-09,41,False
2018-12-16,42,False
2018-12-23,43,False
2018-12-30,42,False
2019-01-06,41,False
2019-01-13,38,False
2019-01-20,34,False
2019-01-27,34,False
2019-02-03,35,False
2019-02-10,39,False
2019-02-17,41,False
2019-02-24,40,False
2019-03-03,38,False
2019-03-10,41,False
2019-03-17,36,False
2019-03-24,40,False
2019-03-31,39,False
2019-04-07,35,False
2019-04-14,39,False
2019-04-21,37,False
2019-04-28,38,False
2019-05-05,38,False
2019-05-12,41,False
2019-05-19,37,False
2019-05-26,39,False
2019-06-02,39,False
2019-06-09,41,False
2019-06-16,39,False
2019-06-23,37,False
2019-06-30,37,False
2019-07-07,35,False
2019-07-14,36,False
2019-07-21,37,False
2019-07-28,35,False
2019-08-04,35,False
2019-08-11,38,False
2019-08-18,35,False
2019-08-25,36,False
2019-09-01,35,False
2019-09-08,35,False
2019-09-15,36,False
2019-09-22,34,False
2019-09-29,32,False
2019-10-06,33,False
2019-10-13,33,False
2019-10-20,32,False
2019-10-27,32,False
2019-11-03,31,False
2019-11-10,34,False
2019-11-17,36,False
2019-11-24,31,False
2019-12-01,34,False
2019-12-08,35,False
2019-12-15,32,False
2019-12-22,32,False
2019-12-29,30,False
2020-01-05,32,False
2020-01-12,29,False
2020-01-19,29,False
2020-01-26,29,False
2020-02-02,32,False
2020-02-09,35,False
2020-02-16,36,False
2020-02-23,32,False
2020-03-01,33,False
2020-03-08,32,False
2020-03-15,33,False
2020-03-22,32,False
2020-03-29,32,False
2020-04-05,35,False
2020-04-12,36,False
2020-04-19,37,False
2020-04-26,36,False
2020-05-03,37,False
2020-05-10,39,False
2020-05-17,36,False
2020-05-24,33,False
2020-05-31,32,False
2020-06-07,33,False
2020-06-14,30,False
2020-06-21,31,False
2020-06-28,30,False
2020-07-05,32,False
2020-07-12,28,False
2020-07-19,32,False
2020-07-26,32,False
2020-08-02,29,False
2020-08-09,30,False
2020-08-16,30,False
2020-08-23,33,False
2020-08-30,30,False
2020-09-06,30,False
2020-09-13,31,False
2020-09-20,30,False
2020-09-27,29,False
2020-10-04,27,False
2020-10-11,31,False
2020-10-18,29,False
2020-10-25,29,False
2020-11-01,27,False
2020-11-08,34,False
2020-11-15,31,False
2020-11-22,38,False
2020-11-29,35,False
2020-12-06,32,False
2020-12-13,33,False
2020-12-20,34,False
2020-12-27,35,False
2021-01-03,36,False
2021-01-10,34,False
2021-01-17,33,False
2021-01-24,32,False
2021-01-31,33,False
2021-02-07,30,False
2021-02-14,32,False
2021-02-21,35,False
2021-02-28,32,False
2021-03-07,30,False
2021-03-14,32,False
2021-03-21,33,False
2021-03-28,31,False
2021-04-04,31,False
2021-04-11,31,False
2021-04-18,31,False
2021-04-25,30,False
2021-05-02,32,False
2021-05-09,32,False
2021-05-16,30,False
2021-05-23,29,False
2021-05-30,30,False
2021-06-06,30,False
2021-06-13,31,False
2021-06-20,31,False
2021-06-27,27,False
2021-07-04,28,False
2021-07-11,27,False
2021-07-18,28,False
2021-07-25,29,False
2021-08-01,30,False
2021-08-08,27,True
