date,IDXX,isPartial
2016-08-21,0,False
2016-08-28,0,False
2016-09-04,11,False
2016-09-11,4,False
2016-09-18,11,False
2016-09-25,0,False
2016-10-02,4,False
2016-10-09,0,False
2016-10-16,7,False
2016-10-23,7,False
2016-10-30,18,False
2016-11-06,4,False
2016-11-13,7,False
2016-11-20,3,False
2016-11-27,7,False
2016-12-04,3,False
2016-12-11,3,False
2016-12-18,0,False
2016-12-25,0,False
2017-01-01,4,False
2017-01-08,3,False
2017-01-15,3,False
2017-01-22,0,False
2017-01-29,13,False
2017-02-05,7,False
2017-02-12,7,False
2017-02-19,3,False
2017-02-26,10,False
2017-03-05,10,False
2017-03-12,16,False
2017-03-19,0,False
2017-03-26,13,False
2017-04-02,7,False
2017-04-09,0,False
2017-04-16,13,False
2017-04-23,13,False
2017-04-30,7,False
2017-05-07,10,False
2017-05-14,0,False
2017-05-21,0,False
2017-05-28,18,False
2017-06-04,0,False
2017-06-11,7,False
2017-06-18,14,False
2017-06-25,4,False
2017-07-02,7,False
2017-07-09,4,False
2017-07-16,18,False
2017-07-23,0,False
2017-07-30,17,False
2017-08-06,3,False
2017-08-13,10,False
2017-08-20,0,False
2017-08-27,7,False
2017-09-03,10,False
2017-09-10,7,False
2017-09-17,7,False
2017-09-24,10,False
2017-10-01,13,False
2017-10-08,0,False
2017-10-15,17,False
2017-10-22,10,False
2017-10-29,10,False
2017-11-05,6,False
2017-11-12,6,False
2017-11-19,6,False
2017-11-26,16,False
2017-12-03,6,False
2017-12-10,0,False
2017-12-17,3,False
2017-12-24,7,False
2017-12-31,7,False
2018-01-07,3,False
2018-01-14,9,False
2018-01-21,6,False
2018-01-28,16,False
2018-02-04,19,False
2018-02-11,9,False
2018-02-18,3,False
2018-02-25,15,False
2018-03-04,9,False
2018-03-11,15,False
2018-03-18,0,False
2018-03-25,3,False
2018-04-01,19,False
2018-04-08,9,False
2018-04-15,3,False
2018-04-22,13,False
2018-04-29,3,False
2018-05-06,3,False
2018-05-13,13,False
2018-05-20,10,False
2018-05-27,6,False
2018-06-03,0,False
2018-06-10,12,False
2018-06-17,13,False
2018-06-24,15,False
2018-07-01,6,False
2018-07-08,6,False
2018-07-15,13,False
2018-07-22,16,False
2018-07-29,13,False
2018-08-05,22,False
2018-08-12,3,False
2018-08-19,3,False
2018-08-26,15,False
2018-09-02,6,False
2018-09-09,9,False
2018-09-16,12,False
2018-09-23,6,False
2018-09-30,3,False
2018-10-07,12,False
2018-10-14,19,False
2018-10-21,3,False
2018-10-28,18,False
2018-11-04,3,False
2018-11-11,9,False
2018-11-18,9,False
2018-11-25,6,False
2018-12-02,6,False
2018-12-09,6,False
2018-12-16,13,False
2018-12-23,3,False
2018-12-30,13,False
2019-01-06,18,False
2019-01-13,0,False
2019-01-20,3,False
2019-01-27,15,False
2019-02-03,6,False
2019-02-10,6,False
2019-02-17,6,False
2019-02-24,23,False
2019-03-03,21,False
2019-03-10,6,False
2019-03-17,6,False
2019-03-24,15,False
2019-03-31,9,False
2019-04-07,15,False
2019-04-14,9,False
2019-04-21,6,False
2019-04-28,15,False
2019-05-05,6,False
2019-05-12,12,False
2019-05-19,27,False
2019-05-26,15,False
2019-06-02,6,False
2019-06-09,18,False
2019-06-16,15,False
2019-06-23,15,False
2019-06-30,21,False
2019-07-07,12,False
2019-07-14,12,False
2019-07-21,18,False
2019-07-28,31,False
2019-08-04,12,False
2019-08-11,18,False
2019-08-18,12,False
2019-08-25,6,False
2019-09-01,9,False
2019-09-08,29,False
2019-09-15,6,False
2019-09-22,14,False
2019-09-29,9,False
2019-10-06,17,False
2019-10-13,14,False
2019-10-20,20,False
2019-10-27,48,False
2019-11-03,20,False
2019-11-10,33,False
2019-11-17,17,False
2019-11-24,17,False
2019-12-01,22,False
2019-12-08,11,False
2019-12-15,25,False
2019-12-22,12,False
2019-12-29,9,False
2020-01-05,11,False
2020-01-12,13,False
2020-01-19,8,False
2020-01-26,21,False
2020-02-02,16,False
2020-02-09,8,False
2020-02-16,19,False
2020-02-23,21,False
2020-03-01,18,False
2020-03-08,8,False
2020-03-15,28,False
2020-03-22,29,False
2020-03-29,12,False
2020-04-05,10,False
2020-04-12,5,False
2020-04-19,15,False
2020-04-26,27,False
2020-05-03,12,False
2020-05-10,22,False
2020-05-17,15,False
2020-05-24,7,False
2020-05-31,17,False
2020-06-07,17,False
2020-06-14,20,False
2020-06-21,47,False
2020-06-28,28,False
2020-07-05,3,False
2020-07-12,16,False
2020-07-19,16,False
2020-07-26,21,False
2020-08-02,13,False
2020-08-09,24,False
2020-08-16,10,False
2020-08-23,5,False
2020-08-30,20,False
2020-09-06,5,False
2020-09-13,18,False
2020-09-20,7,False
2020-09-27,10,False
2020-10-04,8,False
2020-10-11,22,False
2020-10-18,14,False
2020-10-25,30,False
2020-11-01,10,False
2020-11-08,19,False
2020-11-15,13,False
2020-11-22,11,False
2020-11-29,11,False
2020-12-06,8,False
2020-12-13,16,False
2020-12-20,0,False
2020-12-27,9,False
2021-01-03,16,False
2021-01-10,19,False
2021-01-17,5,False
2021-01-24,11,False
2021-01-31,32,False
2021-02-07,8,False
2021-02-14,100,False
2021-02-21,45,False
2021-02-28,40,False
2021-03-07,21,False
2021-03-14,15,False
2021-03-21,8,False
2021-03-28,23,False
2021-04-04,13,False
2021-04-11,8,False
2021-04-18,27,False
2021-04-25,27,False
2021-05-02,11,False
2021-05-09,19,False
2021-05-16,14,False
2021-05-23,5,False
2021-05-30,14,False
2021-06-06,5,False
2021-06-13,3,False
2021-06-20,19,False
2021-06-27,8,False
2021-07-04,19,False
2021-07-11,11,False
2021-07-18,26,False
2021-07-25,14,False
2021-08-01,8,False
2021-08-08,23,True
