date,IEX,isPartial
2016-08-21,44,False
2016-08-28,44,False
2016-09-04,43,False
2016-09-11,39,False
2016-09-18,40,False
2016-09-25,37,False
2016-10-02,37,False
2016-10-09,34,False
2016-10-16,39,False
2016-10-23,48,False
2016-10-30,36,False
2016-11-06,46,False
2016-11-13,41,False
2016-11-20,43,False
2016-11-27,42,False
2016-12-04,42,False
2016-12-11,37,False
2016-12-18,44,False
2016-12-25,30,False
2017-01-01,43,False
2017-01-08,38,False
2017-01-15,31,False
2017-01-22,38,False
2017-01-29,36,False
2017-02-05,37,False
2017-02-12,36,False
2017-02-19,41,False
2017-02-26,32,False
2017-03-05,43,False
2017-03-12,37,False
2017-03-19,38,False
2017-03-26,31,False
2017-04-02,38,False
2017-04-09,36,False
2017-04-16,32,False
2017-04-23,38,False
2017-04-30,34,False
2017-05-07,37,False
2017-05-14,35,False
2017-05-21,35,False
2017-05-28,30,False
2017-06-04,39,False
2017-06-11,41,False
2017-06-18,34,False
2017-06-25,38,False
2017-07-02,37,False
2017-07-09,43,False
2017-07-16,42,False
2017-07-23,43,False
2017-07-30,49,False
2017-08-06,43,False
2017-08-13,37,False
2017-08-20,37,False
2017-08-27,42,False
2017-09-03,41,False
2017-09-10,42,False
2017-09-17,47,False
2017-09-24,42,False
2017-10-01,51,False
2017-10-08,91,False
2017-10-15,72,False
2017-10-22,67,False
2017-10-29,61,False
2017-11-05,61,False
2017-11-12,56,False
2017-11-19,45,False
2017-11-26,51,False
2017-12-03,51,False
2017-12-10,53,False
2017-12-17,52,False
2017-12-24,35,False
2017-12-31,33,False
2018-01-07,52,False
2018-01-14,58,False
2018-01-21,42,False
2018-01-28,49,False
2018-02-04,57,False
2018-02-11,52,False
2018-02-18,43,False
2018-02-25,42,False
2018-03-04,49,False
2018-03-11,44,False
2018-03-18,42,False
2018-03-25,37,False
2018-04-01,38,False
2018-04-08,46,False
2018-04-15,46,False
2018-04-22,51,False
2018-04-29,49,False
2018-05-06,57,False
2018-05-13,48,False
2018-05-20,49,False
2018-05-27,49,False
2018-06-03,44,False
2018-06-10,54,False
2018-06-17,53,False
2018-06-24,51,False
2018-07-01,47,False
2018-07-08,41,False
2018-07-15,44,False
2018-07-22,34,False
2018-07-29,52,False
2018-08-05,59,False
2018-08-12,42,False
2018-08-19,46,False
2018-08-26,48,False
2018-09-02,47,False
2018-09-09,49,False
2018-09-16,53,False
2018-09-23,44,False
2018-09-30,48,False
2018-10-07,54,False
2018-10-14,52,False
2018-10-21,56,False
2018-10-28,56,False
2018-11-04,52,False
2018-11-11,53,False
2018-11-18,51,False
2018-11-25,52,False
2018-12-02,57,False
2018-12-09,46,False
2018-12-16,48,False
2018-12-23,49,False
2018-12-30,47,False
2019-01-06,52,False
2019-01-13,52,False
2019-01-20,50,False
2019-01-27,51,False
2019-02-03,48,False
2019-02-10,51,False
2019-02-17,46,False
2019-02-24,50,False
2019-03-03,48,False
2019-03-10,46,False
2019-03-17,40,False
2019-03-24,39,False
2019-03-31,45,False
2019-04-07,44,False
2019-04-14,33,False
2019-04-21,44,False
2019-04-28,43,False
