date,IR,isPartial
2016-08-21,73,False
2016-08-28,78,False
2016-09-04,84,False
2016-09-11,76,False
2016-09-18,74,False
2016-09-25,77,False
2016-10-02,81,False
2016-10-09,79,False
2016-10-16,79,False
2016-10-23,77,False
2016-10-30,78,False
2016-11-06,80,False
2016-11-13,77,False
2016-11-20,72,False
2016-11-27,77,False
2016-12-04,79,False
2016-12-11,74,False
2016-12-18,65,False
2016-12-25,67,False
2017-01-01,72,False
2017-01-08,77,False
2017-01-15,78,False
2017-01-22,77,False
2017-01-29,78,False
2017-02-05,77,False
2017-02-12,75,False
2017-02-19,81,False
2017-02-26,82,False
2017-03-05,81,False
2017-03-12,82,False
2017-03-19,79,False
2017-03-26,83,False
2017-04-02,79,False
2017-04-09,81,False
2017-04-16,82,False
2017-04-23,93,False
2017-04-30,75,False
2017-05-07,76,False
2017-05-14,75,False
2017-05-21,76,False
2017-05-28,74,False
2017-06-04,76,False
2017-06-11,78,False
2017-06-18,77,False
2017-06-25,76,False
2017-07-02,82,False
2017-07-09,84,False
2017-07-16,82,False
2017-07-23,82,False
2017-07-30,83,False
2017-08-06,89,False
2017-08-13,80,False
2017-08-20,80,False
2017-08-27,79,False
2017-09-03,84,False
2017-09-10,83,False
2017-09-17,81,False
2017-09-24,81,False
2017-10-01,83,False
2017-10-08,88,False
2017-10-15,86,False
2017-10-22,80,False
2017-10-29,80,False
2017-11-05,89,False
2017-11-12,83,False
2017-11-19,77,False
2017-11-26,80,False
2017-12-03,81,False
2017-12-10,78,False
2017-12-17,71,False
2017-12-24,71,False
2017-12-31,72,False
2018-01-07,82,False
2018-01-14,83,False
2018-01-21,83,False
2018-01-28,83,False
2018-02-04,85,False
2018-02-11,81,False
2018-02-18,85,False
2018-02-25,87,False
2018-03-04,87,False
2018-03-11,87,False
2018-03-18,81,False
2018-03-25,84,False
2018-04-01,83,False
2018-04-08,85,False
2018-04-15,87,False
2018-04-22,91,False
2018-04-29,87,False
2018-05-06,81,False
2018-05-13,81,False
2018-05-20,79,False
2018-05-27,80,False
2018-06-03,85,False
2018-06-10,82,False
2018-06-17,81,False
2018-06-24,80,False
2018-07-01,82,False
2018-07-08,85,False
2018-07-15,86,False
2018-07-22,86,False
2018-07-29,89,False
2018-08-05,88,False
2018-08-12,87,False
2018-08-19,84,False
2018-08-26,84,False
2018-09-02,84,False
2018-09-09,86,False
2018-09-16,84,False
2018-09-23,82,False
2018-09-30,81,False
2018-10-07,83,False
2018-10-14,83,False
2018-10-21,80,False
2018-10-28,78,False
2018-11-04,84,False
2018-11-11,80,False
2018-11-18,78,False
2018-11-25,79,False
2018-12-02,76,False
2018-12-09,77,False
2018-12-16,73,False
2018-12-23,74,False
2018-12-30,77,False
2019-01-06,82,False
2019-01-13,86,False
2019-01-20,85,False
2019-01-27,85,False
2019-02-03,82,False
2019-02-10,79,False
2019-02-17,84,False
2019-02-24,85,False
2019-03-03,89,False
2019-03-10,86,False
2019-03-17,87,False
2019-03-24,91,False
2019-03-31,86,False
2019-04-07,85,False
2019-04-14,90,False
2019-04-21,90,False
2019-04-28,90,False
2019-05-05,81,False
2019-05-12,83,False
2019-05-19,82,False
2019-05-26,82,False
2019-06-02,83,False
2019-06-09,85,False
2019-06-16,85,False
2019-06-23,82,False
2019-06-30,82,False
2019-07-07,87,False
2019-07-14,87,False
2019-07-21,85,False
2019-07-28,85,False
2019-08-04,89,False
2019-08-11,89,False
2019-08-18,87,False
2019-08-25,85,False
2019-09-01,84,False
2019-09-08,89,False
2019-09-15,87,False
2019-09-22,84,False
2019-09-29,84,False
2019-10-06,88,False
2019-10-13,83,False
2019-10-20,83,False
2019-10-27,84,False
2019-11-03,85,False
2019-11-10,85,False
2019-11-17,80,False
2019-11-24,85,False
2019-12-01,94,False
2019-12-08,80,False
2019-12-15,78,False
2019-12-22,77,False
