date,ISRG,isPartial
2016-08-21,10,False
2016-08-28,10,False
2016-09-04,6,False
2016-09-11,12,False
2016-09-18,4,False
2016-09-25,9,False
2016-10-02,7,False
2016-10-09,17,False
2016-10-16,30,False
2016-10-23,15,False
2016-10-30,8,False
2016-11-06,11,False
2016-11-13,18,False
2016-11-20,15,False
2016-11-27,4,False
2016-12-04,21,False
2016-12-11,9,False
2016-12-18,8,False
2016-12-25,12,False
2017-01-01,9,False
2017-01-08,18,False
2017-01-15,14,False
2017-01-22,58,False
2017-01-29,5,False
2017-02-05,10,False
2017-02-12,19,False
2017-02-19,12,False
2017-02-26,15,False
2017-03-05,13,False
2017-03-12,15,False
2017-03-19,14,False
2017-03-26,21,False
2017-04-02,14,False
2017-04-09,7,False
2017-04-16,43,False
2017-04-23,12,False
2017-04-30,31,False
2017-05-07,14,False
2017-05-14,34,False
2017-05-21,26,False
2017-05-28,20,False
2017-06-04,22,False
2017-06-11,22,False
2017-06-18,21,False
2017-06-25,17,False
2017-07-02,25,False
2017-07-09,24,False
2017-07-16,28,False
2017-07-23,22,False
2017-07-30,18,False
2017-08-06,23,False
2017-08-13,29,False
2017-08-20,14,False
2017-08-27,26,False
2017-09-03,28,False
2017-09-10,31,False
2017-09-17,19,False
2017-09-24,31,False
2017-10-01,62,False
2017-10-08,55,False
2017-10-15,48,False
2017-10-22,34,False
2017-10-29,34,False
2017-11-05,28,False
2017-11-12,30,False
2017-11-19,29,False
2017-11-26,41,False
2017-12-03,39,False
2017-12-10,47,False
2017-12-17,32,False
2017-12-24,23,False
2017-12-31,28,False
2018-01-07,59,False
2018-01-14,28,False
2018-01-21,100,False
2018-01-28,34,False
2018-02-04,47,False
2018-02-11,32,False
2018-02-18,29,False
2018-02-25,28,False
2018-03-04,38,False
2018-03-11,30,False
2018-03-18,37,False
2018-03-25,20,False
2018-04-01,38,False
2018-04-08,44,False
2018-04-15,96,False
2018-04-22,30,False
2018-04-29,31,False
2018-05-06,54,False
2018-05-13,36,False
2018-05-20,26,False
2018-05-27,31,False
2018-06-03,39,False
2018-06-10,32,False
2018-06-17,29,False
2018-06-24,36,False
2018-07-01,39,False
2018-07-08,55,False
2018-07-15,99,False
2018-07-22,43,False
2018-07-29,37,False
2018-08-05,32,False
