date,LHX,isPartial
2016-08-21,0,False
2016-08-28,10,False
2016-09-04,10,False
2016-09-11,0,False
2016-09-18,15,False
2016-09-25,14,False
2016-10-02,14,False
2016-10-09,10,False
2016-10-16,0,False
2016-10-23,10,False
2016-10-30,19,False
2016-11-06,14,False
2016-11-13,5,False
2016-11-20,9,False
2016-11-27,18,False
2016-12-04,4,False
2016-12-11,14,False
2016-12-18,29,False
2016-12-25,0,False
2017-01-01,33,False
2017-01-08,13,False
2017-01-15,13,False
2017-01-22,9,False
2017-01-29,17,False
2017-02-05,9,False
2017-02-12,17,False
2017-02-19,9,False
2017-02-26,30,False
2017-03-05,4,False
2017-03-12,4,False
2017-03-19,13,False
2017-03-26,13,False
2017-04-02,13,False
2017-04-09,9,False
2017-04-16,9,False
2017-04-23,13,False
2017-04-30,13,False
2017-05-07,0,False
2017-05-14,23,False
2017-05-21,9,False
2017-05-28,23,False
2017-06-04,9,False
2017-06-11,0,False
2017-06-18,5,False
2017-06-25,5,False
2017-07-02,19,False
2017-07-09,5,False
2017-07-16,10,False
2017-07-23,14,False
2017-07-30,14,False
2017-08-06,18,False
2017-08-13,14,False
2017-08-20,18,False
2017-08-27,22,False
2017-09-03,5,False
2017-09-10,9,False
2017-09-17,18,False
2017-09-24,4,False
2017-10-01,13,False
2017-10-08,0,False
2017-10-15,9,False
2017-10-22,17,False
2017-10-29,9,False
2017-11-05,8,False
2017-11-12,0,False
2017-11-19,9,False
2017-11-26,13,False
2017-12-03,13,False
2017-12-10,21,False
2017-12-17,4,False
2017-12-24,24,False
2017-12-31,9,False
2018-01-07,0,False
2018-01-14,12,False
2018-01-21,16,False
2018-01-28,21,False
2018-02-04,12,False
2018-02-11,0,False
2018-02-18,8,False
2018-02-25,16,False
2018-03-04,4,False
2018-03-11,16,False
2018-03-18,8,False
2018-03-25,4,False
2018-04-01,4,False
2018-04-08,0,False
2018-04-15,12,False
2018-04-22,8,False
2018-04-29,8,False
2018-05-06,8,False
2018-05-13,17,False
2018-05-20,8,False
2018-05-27,8,False
2018-06-03,12,False
2018-06-10,20,False
2018-06-17,4,False
2018-06-24,4,False
2018-07-01,8,False
2018-07-08,12,False
2018-07-15,9,False
2018-07-22,0,False
2018-07-29,21,False
2018-08-05,4,False
2018-08-12,4,False
2018-08-19,8,False
2018-08-26,4,False
2018-09-02,8,False
2018-09-09,12,False
2018-09-16,4,False
2018-09-23,4,False
2018-09-30,8,False
2018-10-07,8,False
2018-10-14,8,False
2018-10-21,4,False
2018-10-28,8,False
2018-11-04,24,False
2018-11-11,8,False
2018-11-18,8,False
2018-11-25,8,False
2018-12-02,4,False
2018-12-09,16,False
2018-12-16,8,False
2018-12-23,18,False
2018-12-30,9,False
2019-01-06,8,False
2019-01-13,12,False
2019-01-20,4,False
2019-01-27,16,False
2019-02-03,8,False
2019-02-10,8,False
2019-02-17,8,False
2019-02-24,8,False
2019-03-03,0,False
2019-03-10,8,False
2019-03-17,4,False
2019-03-24,0,False
2019-03-31,4,False
2019-04-07,4,False
2019-04-14,13,False
2019-04-21,4,False
2019-04-28,4,False
2019-05-05,0,False
2019-05-12,12,False
2019-05-19,8,False
2019-05-26,8,False
2019-06-02,4,False
2019-06-09,23,False
2019-06-16,20,False
2019-06-23,8,False
2019-06-30,100,False
2019-07-07,75,False
2019-07-14,81,False
2019-07-21,75,False
2019-07-28,69,False
2019-08-04,69,False
2019-08-11,56,False
2019-08-18,51,False
2019-08-25,39,False
2019-09-01,50,False
2019-09-08,57,False
2019-09-15,84,False
2019-09-22,60,False
2019-09-29,72,False
2019-10-06,49,False
2019-10-13,56,False
2019-10-20,40,False
2019-10-27,34,False
2019-11-03,66,False
2019-11-10,56,False
2019-11-17,56,False
2019-11-24,29,False
2019-12-01,33,False
2019-12-08,38,False
2019-12-15,53,False
2019-12-22,29,False
2019-12-29,66,False
2020-01-05,87,False
2020-01-12,35,False
2020-01-19,58,False
2020-01-26,54,False
2020-02-02,57,False
2020-02-09,56,False
2020-02-16,63,False
2020-02-23,51,False
2020-03-01,51,False
2020-03-08,61,False
2020-03-15,46,False
2020-03-22,48,False
2020-03-29,38,False
2020-04-05,72,False
2020-04-12,68,False
2020-04-19,54,False
2020-04-26,51,False
2020-05-03,25,False
2020-05-10,42,False
2020-05-17,42,False
2020-05-24,36,False
2020-05-31,51,False
2020-06-07,52,False
2020-06-14,49,False
2020-06-21,67,False
2020-06-28,61,False
2020-07-05,56,False
2020-07-12,56,False
2020-07-19,78,False
2020-07-26,86,False
2020-08-02,59,False
2020-08-09,48,False
2020-08-16,28,False
2020-08-23,51,False
2020-08-30,54,False
2020-09-06,17,False
2020-09-13,40,False
2020-09-20,30,False
2020-09-27,45,False
2020-10-04,38,False
2020-10-11,47,False
2020-10-18,43,False
2020-10-25,43,False
2020-11-01,64,False
2020-11-08,68,False
2020-11-15,43,False
2020-11-22,39,False
2020-11-29,45,False
2020-12-06,42,False
2020-12-13,35,False
2020-12-20,35,False
2020-12-27,34,False
2021-01-03,52,False
2021-01-10,60,False
2021-01-17,39,False
2021-01-24,71,False
2021-01-31,35,False
2021-02-07,70,False
2021-02-14,32,False
2021-02-21,14,False
2021-02-28,42,False
2021-03-07,71,False
2021-03-14,43,False
2021-03-21,63,False
2021-03-28,33,False
2021-04-04,28,False
2021-04-11,32,False
2021-04-18,32,False
2021-04-25,52,False
2021-05-02,25,False
2021-05-09,36,False
2021-05-16,21,False
2021-05-23,29,False
2021-05-30,43,False
2021-06-06,14,False
2021-06-13,14,False
2021-06-20,26,False
2021-06-27,29,False
2021-07-04,30,False
2021-07-11,41,False
2021-07-18,30,False
2021-07-25,22,False
2021-08-01,19,False
2021-08-08,4,True
