date,LVS,isPartial
2016-08-21,29,False
2016-08-28,48,False
2016-09-04,57,False
2016-09-11,62,False
2016-09-18,53,False
2016-09-25,50,False
2016-10-02,50,False
2016-10-09,36,False
2016-10-16,51,False
2016-10-23,39,False
2016-10-30,52,False
2016-11-06,53,False
2016-11-13,55,False
2016-11-20,49,False
2016-11-27,59,False
2016-12-04,61,False
2016-12-11,48,False
2016-12-18,47,False
2016-12-25,42,False
2017-01-01,50,False
2017-01-08,47,False
2017-01-15,74,False
2017-01-22,71,False
2017-01-29,40,False
2017-02-05,49,False
2017-02-12,58,False
2017-02-19,50,False
2017-02-26,48,False
2017-03-05,55,False
2017-03-12,52,False
2017-03-19,57,False
2017-03-26,64,False
2017-04-02,52,False
2017-04-09,28,False
2017-04-16,53,False
2017-04-23,64,False
2017-04-30,54,False
2017-05-07,48,False
2017-05-14,42,False
2017-05-21,46,False
2017-05-28,52,False
2017-06-04,48,False
2017-06-11,56,False
2017-06-18,57,False
2017-06-25,41,False
2017-07-02,49,False
2017-07-09,50,False
2017-07-16,42,False
2017-07-23,45,False
2017-07-30,40,False
2017-08-06,41,False
2017-08-13,48,False
2017-08-20,38,False
2017-08-27,57,False
2017-09-03,44,False
2017-09-10,33,False
2017-09-17,45,False
2017-09-24,59,False
2017-10-01,46,False
2017-10-08,54,False
2017-10-15,55,False
2017-10-22,37,False
2017-10-29,41,False
2017-11-05,50,False
2017-11-12,49,False
2017-11-19,46,False
2017-11-26,45,False
2017-12-03,53,False
2017-12-10,60,False
2017-12-17,51,False
2017-12-24,51,False
2017-12-31,62,False
2018-01-07,55,False
2018-01-14,61,False
2018-01-21,68,False
2018-01-28,66,False
2018-02-04,60,False
2018-02-11,54,False
2018-02-18,49,False
2018-02-25,53,False
2018-03-04,54,False
2018-03-11,60,False
2018-03-18,52,False
2018-03-25,38,False
2018-04-01,48,False
2018-04-08,43,False
2018-04-15,47,False
2018-04-22,55,False
2018-04-29,44,False
2018-05-06,51,False
2018-05-13,44,False
2018-05-20,51,False
2018-05-27,56,False
2018-06-03,50,False
2018-06-10,38,False
2018-06-17,55,False
2018-06-24,40,False
2018-07-01,37,False
2018-07-08,46,False
2018-07-15,39,False
2018-07-22,42,False
2018-07-29,39,False
2018-08-05,48,False
2018-08-12,46,False
2018-08-19,47,False
2018-08-26,47,False
2018-09-02,49,False
2018-09-09,49,False
2018-09-16,53,False
2018-09-23,51,False
2018-09-30,48,False
2018-10-07,57,False
2018-10-14,53,False
2018-10-21,56,False
2018-10-28,48,False
2018-11-04,52,False
2018-11-11,42,False
2018-11-18,32,False
2018-11-25,61,False
2018-12-02,60,False
2018-12-09,78,False
2018-12-16,67,False
2018-12-23,45,False
2018-12-30,60,False
2019-01-06,75,False
2019-01-13,66,False
2019-01-20,61,False
2019-01-27,73,False
2019-02-03,48,False
2019-02-10,76,False
2019-02-17,44,False
2019-02-24,43,False
2019-03-03,52,False
2019-03-10,59,False
2019-03-17,58,False
2019-03-24,55,False
2019-03-31,52,False
2019-04-07,52,False
2019-04-14,44,False
2019-04-21,56,False
2019-04-28,39,False
2019-05-05,48,False
2019-05-12,35,False
2019-05-19,45,False
2019-05-26,42,False
2019-06-02,53,False
2019-06-09,54,False
2019-06-16,47,False
2019-06-23,53,False
2019-06-30,47,False
2019-07-07,52,False
2019-07-14,37,False
2019-07-21,41,False
2019-07-28,47,False
2019-08-04,34,False
2019-08-11,43,False
2019-08-18,50,False
2019-08-25,44,False
2019-09-01,46,False
2019-09-08,43,False
2019-09-15,61,False
2019-09-22,49,False
2019-09-29,48,False
2019-10-06,49,False
2019-10-13,48,False
2019-10-20,45,False
2019-10-27,52,False
2019-11-03,49,False
2019-11-10,41,False
2019-11-17,54,False
2019-11-24,46,False
2019-12-01,52,False
2019-12-08,48,False
2019-12-15,47,False
2019-12-22,28,False
2019-12-29,52,False
2020-01-05,53,False
2020-01-12,62,False
2020-01-19,49,False
2020-01-26,65,False
2020-02-02,54,False
2020-02-09,67,False
2020-02-16,59,False
2020-02-23,62,False
2020-03-01,61,False
2020-03-08,81,False
2020-03-15,80,False
2020-03-22,79,False
2020-03-29,65,False
2020-04-05,54,False
2020-04-12,65,False
2020-04-19,100,False
2020-04-26,82,False
2020-05-03,63,False
2020-05-10,71,False
2020-05-17,68,False
2020-05-24,55,False
2020-05-31,94,False
2020-06-07,74,False
2020-06-14,66,False
2020-06-21,62,False
2020-06-28,71,False
2020-07-05,63,False
2020-07-12,64,False
2020-07-19,78,False
2020-07-26,54,False
2020-08-02,49,False
2020-08-09,70,False
2020-08-16,44,False
2020-08-23,56,False
2020-08-30,58,False
2020-09-06,53,False
2020-09-13,48,False
2020-09-20,44,False
2020-09-27,40,False
2020-10-04,56,False
2020-10-11,36,False
2020-10-18,55,False
2020-10-25,45,False
2020-11-01,48,False
2020-11-08,55,False
2020-11-15,52,False
2020-11-22,51,False
2020-11-29,54,False
2020-12-06,43,False
2020-12-13,46,False
2020-12-20,41,False
2020-12-27,43,False
2021-01-03,55,False
2021-01-10,52,False
2021-01-17,69,False
2021-01-24,66,False
2021-01-31,71,False
2021-02-07,69,False
2021-02-14,49,False
2021-02-21,60,False
2021-02-28,73,False
2021-03-07,57,False
2021-03-14,45,False
2021-03-21,47,False
2021-03-28,38,False
2021-04-04,40,False
2021-04-11,45,False
2021-04-18,51,False
2021-04-25,46,False
2021-05-02,41,False
2021-05-09,53,False
2021-05-16,44,False
2021-05-23,39,False
2021-05-30,41,False
2021-06-06,46,False
2021-06-13,47,False
2021-06-20,37,False
2021-06-27,47,False
2021-07-04,41,False
2021-07-11,42,False
2021-07-18,53,False
2021-07-25,51,False
2021-08-01,49,False
2021-08-08,60,True
