date,MTB,isPartial
2016-08-21,63,False
2016-08-28,60,False
2016-09-04,59,False
2016-09-11,57,False
2016-09-18,53,False
2016-09-25,54,False
2016-10-02,50,False
2016-10-09,47,False
2016-10-16,48,False
2016-10-23,47,False
2016-10-30,48,False
2016-11-06,42,False
2016-11-13,40,False
2016-11-20,42,False
2016-11-27,39,False
2016-12-04,40,False
2016-12-11,37,False
2016-12-18,37,False
2016-12-25,41,False
2017-01-01,42,False
2017-01-08,41,False
2017-01-15,39,False
2017-01-22,40,False
2017-01-29,41,False
2017-02-05,40,False
2017-02-12,43,False
2017-02-19,46,False
2017-02-26,47,False
2017-03-05,46,False
2017-03-12,48,False
2017-03-19,54,False
2017-03-26,51,False
2017-04-02,55,False
2017-04-09,56,False
2017-04-16,56,False
2017-04-23,56,False
2017-04-30,57,False
2017-05-07,55,False
2017-05-14,52,False
2017-05-21,57,False
2017-05-28,58,False
2017-06-04,58,False
2017-06-11,56,False
2017-06-18,56,False
2017-06-25,55,False
2017-07-02,56,False
2017-07-09,59,False
2017-07-16,58,False
2017-07-23,60,False
2017-07-30,58,False
2017-08-06,55,False
2017-08-13,60,False
2017-08-20,59,False
2017-08-27,58,False
2017-09-03,59,False
2017-09-10,57,False
2017-09-17,52,False
2017-09-24,54,False
2017-10-01,52,False
2017-10-08,51,False
2017-10-15,51,False
2017-10-22,47,False
2017-10-29,48,False
2017-11-05,47,False
2017-11-12,43,False
2017-11-19,43,False
2017-11-26,40,False
2017-12-03,38,False
2017-12-10,36,False
2017-12-17,34,False
2017-12-24,42,False
2017-12-31,44,False
2018-01-07,41,False
2018-01-14,42,False
2018-01-21,43,False
2018-01-28,40,False
2018-02-04,41,False
2018-02-11,40,False
2018-02-18,43,False
2018-02-25,42,False
2018-03-04,45,False
2018-03-11,47,False
2018-03-18,48,False
2018-03-25,53,False
2018-04-01,54,False
2018-04-08,55,False
2018-04-15,57,False
2018-04-22,59,False
2018-04-29,62,False
2018-05-06,61,False
2018-05-13,58,False
2018-05-20,61,False
2018-05-27,61,False
2018-06-03,60,False
2018-06-10,56,False
2018-06-17,53,False
2018-06-24,54,False
2018-07-01,55,False
2018-07-08,55,False
2018-07-15,62,False
2018-07-22,56,False
2018-07-29,58,False
2018-08-05,60,False
2018-08-12,61,False
2018-08-19,60,False
2018-08-26,58,False
2018-09-02,59,False
2018-09-09,59,False
2018-09-16,58,False
2018-09-23,51,False
2018-09-30,50,False
2018-10-07,51,False
2018-10-14,52,False
2018-10-21,49,False
2018-10-28,49,False
2018-11-04,45,False
2018-11-11,45,False
2018-11-18,43,False
2018-11-25,39,False
2018-12-02,39,False
2018-12-09,37,False
2018-12-16,38,False
2018-12-23,43,False
2018-12-30,47,False
2019-01-06,43,False
2019-01-13,44,False
2019-01-20,41,False
2019-01-27,44,False
2019-02-03,43,False
2019-02-10,45,False
2019-02-17,47,False
2019-02-24,47,False
2019-03-03,48,False
2019-03-10,48,False
2019-03-17,50,False
2019-03-24,55,False
2019-03-31,54,False
2019-04-07,56,False
2019-04-14,57,False
2019-04-21,61,False
2019-04-28,62,False
2019-05-05,57,False
2019-05-12,55,False
2019-05-19,60,False
2019-05-26,60,False
2019-06-02,60,False
2019-06-09,57,False
2019-06-16,58,False
2019-06-23,57,False
2019-06-30,56,False
2019-07-07,59,False
2019-07-14,62,False
2019-07-21,58,False
2019-07-28,62,False
2019-08-04,62,False
2019-08-11,67,False
2019-08-18,64,False
2019-08-25,61,False
2019-09-01,63,False
2019-09-08,60,False
2019-09-15,59,False
2019-09-22,57,False
2019-09-29,55,False
2019-10-06,52,False
2019-10-13,54,False
2019-10-20,49,False
2019-10-27,49,False
2019-11-03,47,False
2019-11-10,43,False
2019-11-17,40,False
2019-11-24,43,False
2019-12-01,41,False
2019-12-08,37,False
2019-12-15,38,False
2019-12-22,45,False
2019-12-29,48,False
2020-01-05,43,False
2020-01-12,47,False
2020-01-19,45,False
2020-01-26,42,False
2020-02-02,46,False
2020-02-09,45,False
2020-02-16,47,False
2020-02-23,46,False
2020-03-01,48,False
2020-03-08,44,False
2020-03-15,41,False
2020-03-22,41,False
2020-03-29,49,False
2020-04-05,57,False
2020-04-12,64,False
2020-04-19,65,False
2020-04-26,74,False
2020-05-03,82,False
2020-05-10,90,False
2020-05-17,96,False
2020-05-24,95,False
2020-05-31,99,False
2020-06-07,100,False
2020-06-14,95,False
2020-06-21,92,False
2020-06-28,96,False
2020-07-05,90,False
2020-07-12,91,False
2020-07-19,93,False
2020-07-26,91,False
2020-08-02,86,False
2020-08-09,85,False
2020-08-16,82,False
2020-08-23,82,False
2020-08-30,78,False
2020-09-06,78,False
2020-09-13,75,False
2020-09-20,73,False
2020-09-27,73,False
2020-10-04,70,False
2020-10-11,67,False
2020-10-18,66,False
2020-10-25,65,False
2020-11-01,61,False
2020-11-08,67,False
2020-11-15,63,False
2020-11-22,68,False
2020-11-29,59,False
2020-12-06,57,False
2020-12-13,56,False
2020-12-20,57,False
2020-12-27,66,False
2021-01-03,61,False
2021-01-10,57,False
2021-01-17,59,False
2021-01-24,59,False
2021-01-31,59,False
2021-02-07,56,False
2021-02-14,57,False
2021-02-21,66,False
2021-02-28,72,False
2021-03-07,66,False
2021-03-14,68,False
2021-03-21,68,False
2021-03-28,78,False
2021-04-04,80,False
2021-04-11,75,False
2021-04-18,74,False
2021-04-25,73,False
2021-05-02,72,False
2021-05-09,75,False
2021-05-16,67,False
2021-05-23,71,False
2021-05-30,69,False
2021-06-06,67,False
2021-06-13,63,False
2021-06-20,62,False
2021-06-27,62,False
2021-07-04,64,False
2021-07-11,62,False
2021-07-18,67,False
2021-07-25,72,False
2021-08-01,62,False
2021-08-08,63,True
