date,MU,isPartial
2016-08-21,83,False
2016-08-28,77,False
2016-09-04,92,False
2016-09-11,76,False
2016-09-18,83,False
2016-09-25,76,False
2016-10-02,76,False
2016-10-09,77,False
2016-10-16,89,False
2016-10-23,100,False
2016-10-30,78,False
2016-11-06,74,False
2016-11-13,82,False
2016-11-20,72,False
2016-11-27,71,False
2016-12-04,71,False
2016-12-11,78,False
2016-12-18,72,False
2016-12-25,79,False
2017-01-01,78,False
2017-01-08,75,False
2017-01-15,80,False
2017-01-22,68,False
2017-01-29,67,False
2017-02-05,72,False
2017-02-12,70,False
2017-02-19,76,False
2017-02-26,81,False
2017-03-05,69,False
2017-03-12,79,False
2017-03-19,74,False
2017-03-26,69,False
2017-04-02,69,False
2017-04-09,74,False
2017-04-16,83,False
2017-04-23,78,False
2017-04-30,80,False
2017-05-07,80,False
2017-05-14,66,False
2017-05-21,88,False
2017-05-28,75,False
2017-06-04,73,False
2017-06-11,76,False
2017-06-18,70,False
2017-06-25,68,False
2017-07-02,70,False
2017-07-09,73,False
2017-07-16,79,False
2017-07-23,84,False
2017-07-30,73,False
2017-08-06,88,False
2017-08-13,83,False
2017-08-20,75,False
2017-08-27,69,False
2017-09-03,67,False
2017-09-10,71,False
2017-09-17,85,False
2017-09-24,77,False
2017-10-01,66,False
2017-10-08,76,False
2017-10-15,71,False
2017-10-22,72,False
2017-10-29,71,False
2017-11-05,78,False
2017-11-12,75,False
2017-11-19,74,False
2017-11-26,78,False
2017-12-03,78,False
2017-12-10,78,False
2017-12-17,75,False
2017-12-24,75,False
2017-12-31,78,False
2018-01-07,70,False
2018-01-14,76,False
2018-01-21,71,False
2018-01-28,72,False
2018-02-04,67,False
2018-02-11,69,False
2018-02-18,70,False
2018-02-25,75,False
2018-03-04,87,False
2018-03-11,81,False
2018-03-18,70,False
2018-03-25,69,False
2018-04-01,74,False
2018-04-08,69,False
2018-04-15,74,False
2018-04-22,64,False
2018-04-29,73,False
2018-05-06,66,False
2018-05-13,88,False
2018-05-20,74,False
2018-05-27,70,False
2018-06-03,68,False
2018-06-10,65,False
2018-06-17,65,False
2018-06-24,67,False
2018-07-01,70,False
2018-07-08,64,False
2018-07-15,68,False
2018-07-22,70,False
2018-07-29,69,False
2018-08-05,72,False
2018-08-12,68,False
2018-08-19,67,False
2018-08-26,70,False
2018-09-02,68,False
2018-09-09,66,False
2018-09-16,72,False
2018-09-23,66,False
2018-09-30,66,False
2018-10-07,62,False
2018-10-14,69,False
2018-10-21,73,False
2018-10-28,67,False
2018-11-04,69,False
2018-11-11,65,False
2018-11-18,64,False
2018-11-25,65,False
2018-12-02,64,False
2018-12-09,61,False
2018-12-16,76,False
2018-12-23,73,False
2018-12-30,84,False
2019-01-06,69,False
2019-01-13,76,False
2019-01-20,71,False
2019-01-27,68,False
