date,NLSN,isPartial
2016-08-21,0,False
2016-08-28,0,False
2016-09-04,0,False
2016-09-11,0,False
2016-09-18,7,False
2016-09-25,14,False
2016-10-02,0,False
2016-10-09,7,False
2016-10-16,7,False
2016-10-23,35,False
2016-10-30,7,False
2016-11-06,14,False
2016-11-13,14,False
2016-11-20,0,False
2016-11-27,0,False
2016-12-04,7,False
2016-12-11,7,False
2016-12-18,22,False
2016-12-25,15,False
2017-01-01,0,False
2017-01-08,13,False
2017-01-15,0,False
2017-01-22,33,False
2017-01-29,6,False
2017-02-05,13,False
2017-02-12,19,False
2017-02-19,0,False
2017-02-26,6,False
2017-03-05,6,False
2017-03-12,0,False
2017-03-19,13,False
2017-03-26,13,False
2017-04-02,0,False
2017-04-09,7,False
2017-04-16,0,False
2017-04-23,32,False
2017-04-30,7,False
2017-05-07,0,False
2017-05-14,0,False
2017-05-21,35,False
2017-05-28,14,False
2017-06-04,20,False
2017-06-11,14,False
2017-06-18,7,False
2017-06-25,35,False
2017-07-02,7,False
2017-07-09,21,False
2017-07-16,7,False
2017-07-23,35,False
2017-07-30,14,False
2017-08-06,0,False
2017-08-13,0,False
2017-08-20,0,False
2017-08-27,0,False
2017-09-03,7,False
2017-09-10,13,False
2017-09-17,26,False
2017-09-24,7,False
2017-10-01,0,False
2017-10-08,13,False
2017-10-15,7,False
2017-10-22,26,False
2017-10-29,13,False
2017-11-05,19,False
2017-11-12,32,False
2017-11-19,13,False
2017-11-26,19,False
2017-12-03,6,False
2017-12-10,0,False
2017-12-17,7,False
2017-12-24,0,False
2017-12-31,0,False
2018-01-07,6,False
2018-01-14,6,False
2018-01-21,6,False
2018-01-28,0,False
2018-02-04,25,False
2018-02-11,12,False
2018-02-18,18,False
2018-02-25,6,False
2018-03-04,6,False
2018-03-11,6,False
2018-03-18,6,False
2018-03-25,19,False
2018-04-01,6,False
2018-04-08,18,False
2018-04-15,6,False
2018-04-22,31,False
2018-04-29,12,False
2018-05-06,25,False
2018-05-13,25,False
2018-05-20,6,False
2018-05-27,31,False
2018-06-03,6,False
2018-06-10,12,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,6,False
2018-07-08,0,False
2018-07-15,13,False
2018-07-22,100,False
2018-07-29,31,False
2018-08-05,24,False
2018-08-12,87,False
2018-08-19,19,False
2018-08-26,25,False
2018-09-02,30,False
2018-09-09,48,False
2018-09-16,24,False
2018-09-23,30,False
2018-09-30,24,False
2018-10-07,18,False
2018-10-14,24,False
2018-10-21,36,False
2018-10-28,30,False
2018-11-04,18,False
2018-11-11,12,False
2018-11-18,30,False
2018-11-25,30,False
2018-12-02,12,False
2018-12-09,30,False
2018-12-16,6,False
2018-12-23,7,False
2018-12-30,7,False
2019-01-06,18,False
2019-01-13,18,False
2019-01-20,23,False
2019-01-27,18,False
2019-02-03,12,False
2019-02-10,24,False
2019-02-17,23,False
2019-02-24,23,False
2019-03-03,12,False
2019-03-10,18,False
2019-03-17,12,False
2019-03-24,48,False
2019-03-31,36,False
2019-04-07,36,False
2019-04-14,25,False
2019-04-21,24,False
2019-04-28,36,False
2019-05-05,42,False
2019-05-12,12,False
2019-05-19,6,False
2019-05-26,18,False
2019-06-02,18,False
2019-06-09,0,False
2019-06-16,12,False
2019-06-23,24,False
2019-06-30,6,False
2019-07-07,35,False
2019-07-14,18,False
2019-07-21,19,False
2019-07-28,30,False
2019-08-04,12,False
2019-08-11,12,False
2019-08-18,6,False
2019-08-25,23,False
2019-09-01,6,False
2019-09-08,11,False
2019-09-15,23,False
2019-09-22,17,False
2019-09-29,11,False
2019-10-06,11,False
2019-10-13,0,False
2019-10-20,27,False
2019-10-27,28,False
2019-11-03,60,False
2019-11-10,11,False
2019-11-17,22,False
2019-11-24,5,False
2019-12-01,11,False
2019-12-08,0,False
2019-12-15,17,False
2019-12-22,6,False
2019-12-29,12,False
2020-01-05,27,False
2020-01-12,10,False
2020-01-19,0,False
2020-01-26,5,False
2020-02-02,21,False
2020-02-09,21,False
2020-02-16,10,False
2020-02-23,5,False
2020-03-01,10,False
2020-03-08,10,False
2020-03-15,29,False
2020-03-22,5,False
2020-03-29,24,False
2020-04-05,24,False
2020-04-12,14,False
2020-04-19,5,False
2020-04-26,38,False
2020-05-03,33,False
2020-05-10,19,False
2020-05-17,10,False
2020-05-24,10,False
2020-05-31,5,False
2020-06-07,10,False
2020-06-14,24,False
2020-06-21,0,False
2020-06-28,15,False
2020-07-05,5,False
2020-07-12,5,False
2020-07-19,32,False
2020-07-26,5,False
2020-08-02,10,False
2020-08-09,21,False
2020-08-16,5,False
2020-08-23,15,False
2020-08-30,20,False
2020-09-06,5,False
2020-09-13,5,False
2020-09-20,10,False
2020-09-27,0,False
2020-10-04,5,False
2020-10-11,11,False
2020-10-18,0,False
2020-10-25,11,False
2020-11-01,45,False
2020-11-08,21,False
2020-11-15,16,False
2020-11-22,0,False
2020-11-29,15,False
2020-12-06,16,False
2020-12-13,16,False
2020-12-20,0,False
2020-12-27,11,False
2021-01-03,5,False
2021-01-10,0,False
2021-01-17,10,False
2021-01-24,26,False
2021-01-31,0,False
2021-02-07,10,False
2021-02-14,0,False
2021-02-21,21,False
2021-02-28,10,False
2021-03-07,5,False
2021-03-14,15,False
2021-03-21,0,False
2021-03-28,0,False
2021-04-04,0,False
2021-04-11,10,False
2021-04-18,5,False
2021-04-25,5,False
2021-05-02,16,False
2021-05-09,5,False
2021-05-16,11,False
2021-05-23,0,False
2021-05-30,21,False
2021-06-06,11,False
2021-06-13,16,False
2021-06-20,11,False
2021-06-27,5,False
2021-07-04,0,False
2021-07-11,5,False
2021-07-18,11,False
2021-07-25,11,False
2021-08-01,0,False
2021-08-08,0,True
