date,PH,isPartial
2016-08-21,69,False
2016-08-28,69,False
2016-09-04,73,False
2016-09-11,73,False
2016-09-18,78,False
2016-09-25,75,False
2016-10-02,71,False
2016-10-09,72,False
2016-10-16,74,False
2016-10-23,73,False
2016-10-30,72,False
2016-11-06,72,False
2016-11-13,76,False
2016-11-20,73,False
2016-11-27,75,False
2016-12-04,72,False
2016-12-11,69,False
2016-12-18,61,False
2016-12-25,53,False
2017-01-01,61,False
2017-01-08,68,False
2017-01-15,72,False
2017-01-22,78,False
2017-01-29,73,False
2017-02-05,73,False
2017-02-12,73,False
2017-02-19,75,False
2017-02-26,77,False
2017-03-05,80,False
2017-03-12,77,False
2017-03-19,83,False
2017-03-26,82,False
2017-04-02,84,False
2017-04-09,73,False
2017-04-16,81,False
2017-04-23,79,False
2017-04-30,82,False
2017-05-07,82,False
2017-05-14,79,False
2017-05-21,78,False
2017-05-28,76,False
2017-06-04,74,False
2017-06-11,74,False
2017-06-18,74,False
2017-06-25,71,False
2017-07-02,71,False
2017-07-09,73,False
2017-07-16,70,False
2017-07-23,70,False
2017-07-30,69,False
2017-08-06,66,False
2017-08-13,67,False
2017-08-20,68,False
2017-08-27,70,False
2017-09-03,73,False
2017-09-10,75,False
2017-09-17,77,False
2017-09-24,78,False
2017-10-01,78,False
2017-10-08,82,False
2017-10-15,84,False
2017-10-22,79,False
2017-10-29,75,False
2017-11-05,78,False
2017-11-12,80,False
2017-11-19,76,False
2017-11-26,80,False
2017-12-03,80,False
2017-12-10,76,False
2017-12-17,67,False
2017-12-24,61,False
2017-12-31,61,False
2018-01-07,71,False
2018-01-14,73,False
2018-01-21,72,False
2018-01-28,76,False
2018-02-04,73,False
2018-02-11,70,False
2018-02-18,77,False
2018-02-25,75,False
2018-03-04,75,False
2018-03-11,80,False
2018-03-18,79,False
2018-03-25,71,False
2018-04-01,75,False
2018-04-08,79,False
2018-04-15,82,False
2018-04-22,82,False
2018-04-29,78,False
2018-05-06,86,False
2018-05-13,80,False
2018-05-20,78,False
2018-05-27,82,False
2018-06-03,77,False
2018-06-10,76,False
2018-06-17,70,False
2018-06-24,73,False
2018-07-01,71,False
2018-07-08,73,False
2018-07-15,73,False
2018-07-22,73,False
2018-07-29,73,False
2018-08-05,72,False
2018-08-12,69,False
2018-08-19,73,False
2018-08-26,73,False
2018-09-02,76,False
2018-09-09,80,False
2018-09-16,79,False
2018-09-23,78,False
2018-09-30,80,False
2018-10-07,80,False
2018-10-14,80,False
2018-10-21,77,False
2018-10-28,74,False
2018-11-04,81,False
2018-11-11,80,False
2018-11-18,73,False
2018-11-25,76,False
2018-12-02,78,False
2018-12-09,76,False
2018-12-16,69,False
2018-12-23,58,False
2018-12-30,62,False
2019-01-06,72,False
2019-01-13,76,False
2019-01-20,74,False
2019-01-27,77,False
2019-02-03,77,False
2019-02-10,79,False
2019-02-17,78,False
2019-02-24,80,False
2019-03-03,81,False
2019-03-10,82,False
2019-03-17,84,False
2019-03-24,86,False
2019-03-31,81,False
2019-04-07,81,False
2019-04-14,75,False
2019-04-21,79,False
2019-04-28,78,False
2019-05-05,82,False
2019-05-12,87,False
2019-05-19,81,False
2019-05-26,83,False
2019-06-02,82,False
2019-06-09,81,False
2019-06-16,77,False
2019-06-23,78,False
2019-06-30,78,False
2019-07-07,77,False
2019-07-14,76,False
2019-07-21,76,False
2019-07-28,72,False
2019-08-04,73,False
2019-08-11,72,False
2019-08-18,73,False
2019-08-25,76,False
2019-09-01,75,False
2019-09-08,79,False
2019-09-15,84,False
2019-09-22,82,False
