date,PLD,isPartial
2016-08-21,41,False
2016-08-28,33,False
2016-09-04,42,False
2016-09-11,38,False
2016-09-18,42,False
2016-09-25,37,False
2016-10-02,41,False
2016-10-09,43,False
2016-10-16,45,False
2016-10-23,42,False
2016-10-30,48,False
2016-11-06,39,False
2016-11-13,53,False
2016-11-20,43,False
2016-11-27,45,False
2016-12-04,42,False
2016-12-11,38,False
2016-12-18,36,False
2016-12-25,40,False
2017-01-01,40,False
2017-01-08,33,False
2017-01-15,37,False
2017-01-22,37,False
2017-01-29,37,False
2017-02-05,35,False
2017-02-12,33,False
2017-02-19,36,False
2017-02-26,38,False
2017-03-05,36,False
2017-03-12,38,False
2017-03-19,44,False
2017-03-26,36,False
2017-04-02,41,False
2017-04-09,46,False
2017-04-16,38,False
2017-04-23,40,False
2017-04-30,41,False
2017-05-07,38,False
2017-05-14,46,False
2017-05-21,50,False
2017-05-28,50,False
2017-06-04,40,False
2017-06-11,42,False
2017-06-18,37,False
2017-06-25,36,False
2017-07-02,46,False
2017-07-09,39,False
2017-07-16,44,False
2017-07-23,35,False
2017-07-30,38,False
2017-08-06,35,False
2017-08-13,43,False
2017-08-20,38,False
2017-08-27,45,False
2017-09-03,46,False
2017-09-10,52,False
2017-09-17,47,False
2017-09-24,37,False
2017-10-01,45,False
2017-10-08,36,False
2017-10-15,33,False
2017-10-22,40,False
2017-10-29,33,False
2017-11-05,41,False
2017-11-12,40,False
2017-11-19,36,False
2017-11-26,44,False
2017-12-03,38,False
2017-12-10,39,False
2017-12-17,32,False
2017-12-24,33,False
2017-12-31,35,False
2018-01-07,39,False
2018-01-14,41,False
2018-01-21,42,False
2018-01-28,39,False
2018-02-04,33,False
2018-02-11,31,False
2018-02-18,36,False
2018-02-25,39,False
2018-03-04,37,False
2018-03-11,36,False
2018-03-18,40,False
2018-03-25,34,False
2018-04-01,37,False
2018-04-08,32,False
2018-04-15,40,False
2018-04-22,41,False
2018-04-29,37,False
2018-05-06,38,False
2018-05-13,39,False
2018-05-20,41,False
2018-05-27,36,False
2018-06-03,36,False
2018-06-10,41,False
2018-06-17,40,False
2018-06-24,38,False
2018-07-01,42,False
2018-07-08,41,False
2018-07-15,34,False
2018-07-22,45,False
2018-07-29,41,False
2018-08-05,48,False
2018-08-12,43,False
2018-08-19,38,False
2018-08-26,39,False
2018-09-02,40,False
2018-09-09,42,False
2018-09-16,34,False
2018-09-23,40,False
