date,POOL,isPartial
2016-08-21,50,False
2016-08-28,47,False
2016-09-04,45,False
2016-09-11,40,False
2016-09-18,38,False
2016-09-25,37,False
2016-10-02,35,False
2016-10-09,35,False
2016-10-16,34,False
2016-10-23,34,False
2016-10-30,34,False
2016-11-06,33,False
2016-11-13,34,False
2016-11-20,32,False
2016-11-27,33,False
2016-12-04,33,False
2016-12-11,35,False
2016-12-18,34,False
2016-12-25,38,False
2017-01-01,40,False
2017-01-08,40,False
2017-01-15,40,False
2017-01-22,40,False
2017-01-29,39,False
2017-02-05,39,False
2017-02-12,39,False
2017-02-19,41,False
2017-02-26,43,False
2017-03-05,41,False
2017-03-12,43,False
2017-03-19,45,False
2017-03-26,46,False
2017-04-02,45,False
2017-04-09,51,False
2017-04-16,49,False
2017-04-23,48,False
2017-04-30,51,False
2017-05-07,51,False
2017-05-14,57,False
2017-05-21,66,False
2017-05-28,76,False
2017-06-04,72,False
2017-06-11,86,False
2017-06-18,84,False
2017-06-25,73,False
2017-07-02,80,False
2017-07-09,73,False
2017-07-16,71,False
2017-07-23,63,False
2017-07-30,60,False
2017-08-06,55,False
2017-08-13,50,False
2017-08-20,48,False
2017-08-27,46,False
2017-09-03,46,False
2017-09-10,41,False
2017-09-17,40,False
2017-09-24,37,False
2017-10-01,38,False
2017-10-08,38,False
2017-10-15,37,False
2017-10-22,37,False
2017-10-29,35,False
2017-11-05,35,False
2017-11-12,36,False
2017-11-19,33,False
2017-11-26,33,False
2017-12-03,34,False
2017-12-10,35,False
2017-12-17,34,False
2017-12-24,38,False
2017-12-31,40,False
2018-01-07,39,False
2018-01-14,38,False
2018-01-21,39,False
2018-01-28,38,False
2018-02-04,38,False
2018-02-11,37,False
2018-02-18,39,False
2018-02-25,39,False
2018-03-04,39,False
2018-03-11,39,False
2018-03-18,40,False
2018-03-25,44,False
2018-04-01,45,False
2018-04-08,45,False
2018-04-15,46,False
2018-04-22,48,False
2018-04-29,50,False
2018-05-06,58,False
2018-05-13,59,False
2018-05-20,72,False
2018-05-27,86,False
2018-06-03,74,False
2018-06-10,73,False
2018-06-17,74,False
2018-06-24,81,False
2018-07-01,88,False
2018-07-08,77,False
2018-07-15,70,False
2018-07-22,70,False
2018-07-29,64,False
2018-08-05,65,False
2018-08-12,53,False
2018-08-19,49,False
2018-08-26,48,False
2018-09-02,46,False
2018-09-09,40,False
2018-09-16,39,False
2018-09-23,37,False
2018-09-30,38,False
2018-10-07,35,False
2018-10-14,35,False
2018-10-21,34,False
2018-10-28,33,False
2018-11-04,33,False
2018-11-11,33,False
2018-11-18,32,False
2018-11-25,32,False
2018-12-02,32,False
2018-12-09,31,False
2018-12-16,33,False
2018-12-23,36,False
2018-12-30,42,False
2019-01-06,37,False
2019-01-13,37,False
2019-01-20,37,False
2019-01-27,37,False
2019-02-03,36,False
2019-02-10,37,False
2019-02-17,37,False
2019-02-24,36,False
2019-03-03,39,False
2019-03-10,38,False
2019-03-17,40,False
2019-03-24,44,False
2019-03-31,42,False
2019-04-07,46,False
2019-04-14,48,False
2019-04-21,51,False
2019-04-28,48,False
2019-05-05,47,False
2019-05-12,50,False
2019-05-19,63,False
2019-05-26,76,False
2019-06-02,75,False
2019-06-09,69,False
2019-06-16,71,False
2019-06-23,88,False
2019-06-30,84,False
2019-07-07,73,False
2019-07-14,72,False
2019-07-21,80,False
2019-07-28,66,False
2019-08-04,58,False
2019-08-11,56,False
2019-08-18,50,False
2019-08-25,49,False
2019-09-01,46,False
2019-09-08,41,False
2019-09-15,41,False
2019-09-22,39,False
2019-09-29,40,False
2019-10-06,38,False
2019-10-13,37,False
2019-10-20,34,False
2019-10-27,34,False
2019-11-03,35,False
2019-11-10,34,False
2019-11-17,34,False
2019-11-24,32,False
2019-12-01,33,False
2019-12-08,33,False
2019-12-15,34,False
2019-12-22,37,False
2019-12-29,41,False
2020-01-05,36,False
2020-01-12,36,False
2020-01-19,36,False
2020-01-26,37,False
2020-02-02,37,False
2020-02-09,35,False
2020-02-16,39,False
2020-02-23,36,False
2020-03-01,37,False
2020-03-08,34,False
2020-03-15,30,False
2020-03-22,31,False
2020-03-29,35,False
2020-04-05,44,False
2020-04-12,45,False
2020-04-19,51,False
2020-04-26,58,False
2020-05-03,63,False
2020-05-10,60,False
2020-05-17,80,False
2020-05-24,100,False
2020-05-31,89,False
2020-06-07,87,False
2020-06-14,80,False
2020-06-21,92,False
2020-06-28,81,False
2020-07-05,77,False
2020-07-12,72,False
2020-07-19,73,False
2020-07-26,70,False
2020-08-02,65,False
2020-08-09,66,False
2020-08-16,56,False
2020-08-23,50,False
2020-08-30,46,False
2020-09-06,45,False
2020-09-13,42,False
2020-09-20,38,False
2020-09-27,37,False
2020-10-04,36,False
2020-10-11,35,False
2020-10-18,34,False
2020-10-25,33,False
2020-11-01,30,False
2020-11-08,31,False
2020-11-15,32,False
2020-11-22,32,False
2020-11-29,30,False
2020-12-06,31,False
2020-12-13,30,False
2020-12-20,30,False
2020-12-27,33,False
2021-01-03,32,False
2021-01-10,35,False
2021-01-17,34,False
2021-01-24,35,False
2021-01-31,33,False
2021-02-07,33,False
2021-02-14,35,False
2021-02-21,40,False
2021-02-28,39,False
2021-03-07,41,False
2021-03-14,42,False
2021-03-21,43,False
2021-03-28,48,False
2021-04-04,50,False
2021-04-11,48,False
2021-04-18,47,False
2021-04-25,50,False
2021-05-02,54,False
2021-05-09,58,False
2021-05-16,67,False
2021-05-23,73,False
2021-05-30,86,False
2021-06-06,89,False
2021-06-13,93,False
2021-06-20,75,False
2021-06-27,77,False
2021-07-04,74,False
2021-07-11,69,False
2021-07-18,75,False
2021-07-25,69,False
2021-08-01,61,False
2021-08-08,58,True
