date,PPG,isPartial
2016-08-21,44,False
2016-08-28,42,False
2016-09-04,40,False
2016-09-11,43,False
2016-09-18,48,False
2016-09-25,44,False
2016-10-02,49,False
2016-10-09,49,False
2016-10-16,45,False
2016-10-23,49,False
2016-10-30,45,False
2016-11-06,48,False
2016-11-13,49,False
2016-11-20,47,False
2016-11-27,55,False
2016-12-04,52,False
2016-12-11,53,False
2016-12-18,49,False
2016-12-25,45,False
2017-01-01,47,False
2017-01-08,51,False
2017-01-15,55,False
2017-01-22,57,False
2017-01-29,52,False
2017-02-05,55,False
2017-02-12,57,False
2017-02-19,57,False
2017-02-26,55,False
2017-03-05,65,False
2017-03-12,67,False
2017-03-19,65,False
2017-03-26,57,False
2017-04-02,62,False
2017-04-09,52,False
2017-04-16,62,False
2017-04-23,55,False
2017-04-30,60,False
2017-05-07,72,False
2017-05-14,70,False
2017-05-21,66,False
2017-05-28,70,False
2017-06-04,66,False
2017-06-11,62,False
2017-06-18,63,False
2017-06-25,52,False
2017-07-02,45,False
2017-07-09,56,False
2017-07-16,56,False
2017-07-23,57,False
2017-07-30,53,False
2017-08-06,50,False
2017-08-13,49,False
2017-08-20,51,False
2017-08-27,44,False
2017-09-03,49,False
2017-09-10,49,False
2017-09-17,59,False
2017-09-24,56,False
2017-10-01,56,False
2017-10-08,53,False
2017-10-15,51,False
2017-10-22,53,False
2017-10-29,56,False
2017-11-05,67,False
2017-11-12,69,False
2017-11-19,81,False
2017-11-26,78,False
2017-12-03,65,False
2017-12-10,59,False
2017-12-17,60,False
2017-12-24,51,False
2017-12-31,52,False
2018-01-07,65,False
2018-01-14,75,False
2018-01-21,68,False
2018-01-28,65,False
2018-02-04,60,False
2018-02-11,60,False
2018-02-18,63,False
2018-02-25,73,False
2018-03-04,70,False
2018-03-11,74,False
2018-03-18,62,False
2018-03-25,61,False
2018-04-01,61,False
2018-04-08,55,False
2018-04-15,64,False
2018-04-22,80,False
2018-04-29,93,False
2018-05-06,100,False
2018-05-13,77,False
2018-05-20,71,False
2018-05-27,72,False
2018-06-03,63,False
2018-06-10,56,False
2018-06-17,52,False
2018-06-24,63,False
2018-07-01,61,False
2018-07-08,58,False
2018-07-15,64,False
2018-07-22,61,False
2018-07-29,59,False
2018-08-05,55,False
2018-08-12,53,False
2018-08-19,72,False
2018-08-26,65,False
2018-09-02,49,False
2018-09-09,56,False
2018-09-16,60,False
2018-09-23,60,False
2018-09-30,64,False
2018-10-07,69,False
2018-10-14,62,False
2018-10-21,59,False
2018-10-28,62,False
2018-11-04,55,False
2018-11-11,60,False
2018-11-18,64,False
2018-11-25,68,False
2018-12-02,62,False
2018-12-09,62,False
2018-12-16,59,False
2018-12-23,54,False
2018-12-30,51,False
2019-01-06,64,False
2019-01-13,65,False
2019-01-20,66,False
2019-01-27,59,False
2019-02-03,61,False
2019-02-10,60,False
2019-02-17,61,False
2019-02-24,64,False
2019-03-03,63,False
2019-03-10,66,False
2019-03-17,67,False
2019-03-24,65,False
2019-03-31,56,False
2019-04-07,68,False
2019-04-14,67,False
2019-04-21,62,False
2019-04-28,61,False
2019-05-05,65,False
2019-05-12,82,False
2019-05-19,83,False
2019-05-26,67,False
2019-06-02,55,False
2019-06-09,74,False
2019-06-16,69,False
2019-06-23,76,False
2019-06-30,71,False
2019-07-07,72,False
2019-07-14,69,False
2019-07-21,70,False
2019-07-28,67,False
2019-08-04,61,False
2019-08-11,59,False
2019-08-18,62,False
2019-08-25,63,False
2019-09-01,61,False
2019-09-08,60,False
2019-09-15,64,False
2019-09-22,60,False
2019-09-29,74,False
2019-10-06,73,False
2019-10-13,68,False
2019-10-20,64,False
2019-10-27,62,False
2019-11-03,71,False
2019-11-10,88,False
2019-11-17,83,False
2019-11-24,59,False
2019-12-01,67,False
2019-12-08,58,False
2019-12-15,55,False
2019-12-22,47,False
2019-12-29,52,False
2020-01-05,57,False
2020-01-12,59,False
2020-01-19,58,False
2020-01-26,59,False
2020-02-02,63,False
2020-02-09,63,False
2020-02-16,57,False
2020-02-23,67,False
2020-03-01,54,False
2020-03-08,55,False
2020-03-15,49,False
2020-03-22,48,False
2020-03-29,43,False
2020-04-05,47,False
2020-04-12,49,False
2020-04-19,45,False
2020-04-26,49,False
2020-05-03,49,False
2020-05-10,50,False
2020-05-17,45,False
2020-05-24,49,False
2020-05-31,47,False
2020-06-07,50,False
2020-06-14,57,False
2020-06-21,48,False
2020-06-28,51,False
2020-07-05,53,False
2020-07-12,47,False
2020-07-19,53,False
2020-07-26,57,False
2020-08-02,51,False
2020-08-09,63,False
2020-08-16,62,False
2020-08-23,62,False
2020-08-30,63,False
2020-09-06,59,False
2020-09-13,63,False
