date,PTC,isPartial
2016-08-21,76,False
2016-08-28,72,False
2016-09-04,68,False
2016-09-11,63,False
2016-09-18,62,False
2016-09-25,68,False
2016-10-02,63,False
2016-10-09,58,False
2016-10-16,58,False
2016-10-23,64,False
2016-10-30,60,False
2016-11-06,67,False
2016-11-13,73,False
2016-11-20,61,False
2016-11-27,67,False
2016-12-04,65,False
2016-12-11,57,False
2016-12-18,55,False
2016-12-25,52,False
2017-01-01,58,False
2017-01-08,60,False
2017-01-15,63,False
2017-01-22,63,False
2017-01-29,68,False
2017-02-05,59,False
2017-02-12,69,False
2017-02-19,70,False
2017-02-26,70,False
2017-03-05,100,False
2017-03-12,67,False
2017-03-19,67,False
2017-03-26,70,False
2017-04-02,64,False
2017-04-09,60,False
2017-04-16,60,False
2017-04-23,58,False
2017-04-30,58,False
2017-05-07,62,False
2017-05-14,59,False
2017-05-21,60,False
2017-05-28,61,False
2017-06-04,52,False
2017-06-11,54,False
2017-06-18,62,False
2017-06-25,55,False
2017-07-02,54,False
2017-07-09,61,False
2017-07-16,65,False
2017-07-23,56,False
2017-07-30,55,False
2017-08-06,49,False
2017-08-13,50,False
2017-08-20,72,False
2017-08-27,53,False
2017-09-03,52,False
2017-09-10,63,False
2017-09-17,61,False
2017-09-24,63,False
2017-10-01,53,False
2017-10-08,55,False
2017-10-15,53,False
2017-10-22,60,False
2017-10-29,60,False
2017-11-05,62,False
2017-11-12,55,False
2017-11-19,52,False
2017-11-26,57,False
2017-12-03,55,False
2017-12-10,56,False
2017-12-17,63,False
2017-12-24,46,False
2017-12-31,56,False
2018-01-07,57,False
2018-01-14,53,False
2018-01-21,54,False
2018-01-28,54,False
2018-02-04,65,False
2018-02-11,58,False
2018-02-18,52,False
2018-02-25,58,False
2018-03-04,65,False
2018-03-11,58,False
2018-03-18,54,False
2018-03-25,53,False
2018-04-01,53,False
2018-04-08,49,False
2018-04-15,51,False
2018-04-22,46,False
2018-04-29,49,False
2018-05-06,55,False
2018-05-13,53,False
2018-05-20,55,False
2018-05-27,58,False
2018-06-03,49,False
2018-06-10,54,False
2018-06-17,53,False
2018-06-24,51,False
2018-07-01,46,False
2018-07-08,49,False
2018-07-15,52,False
2018-07-22,45,False
2018-07-29,50,False
2018-08-05,48,False
2018-08-12,52,False
2018-08-19,52,False
2018-08-26,58,False
2018-09-02,57,False
2018-09-09,53,False
2018-09-16,57,False
2018-09-23,61,False
2018-09-30,50,False
2018-10-07,59,False
2018-10-14,58,False
2018-10-21,57,False
2018-10-28,52,False
2018-11-04,50,False
2018-11-11,50,False
2018-11-18,57,False
2018-11-25,56,False
2018-12-02,59,False
2018-12-09,50,False
2018-12-16,55,False
2018-12-23,47,False
2018-12-30,53,False
2019-01-06,61,False
2019-01-13,58,False
2019-01-20,52,False
2019-01-27,59,False
2019-02-03,54,False
2019-02-10,57,False
2019-02-17,57,False
2019-02-24,57,False
2019-03-03,52,False
2019-03-10,58,False
2019-03-17,53,False
2019-03-24,56,False
2019-03-31,51,False
2019-04-07,48,False
2019-04-14,44,False
2019-04-21,55,False
2019-04-28,47,False
2019-05-05,48,False
2019-05-12,51,False
2019-05-19,86,False
2019-05-26,48,False
2019-06-02,60,False
2019-06-09,57,False
2019-06-16,51,False
2019-06-23,53,False
2019-06-30,45,False
2019-07-07,55,False
2019-07-14,48,False
2019-07-21,44,False
2019-07-28,49,False
2019-08-04,49,False
2019-08-11,51,False
2019-08-18,53,False
2019-08-25,50,False
2019-09-01,53,False
2019-09-08,52,False
2019-09-15,49,False
2019-09-22,52,False
2019-09-29,45,False
2019-10-06,50,False
2019-10-13,49,False
2019-10-20,57,False
2019-10-27,52,False
2019-11-03,60,False
2019-11-10,52,False
2019-11-17,54,False
2019-11-24,50,False
2019-12-01,50,False
2019-12-08,49,False
2019-12-15,47,False
2019-12-22,42,False
2019-12-29,44,False
2020-01-05,54,False
2020-01-12,53,False
2020-01-19,50,False
2020-01-26,47,False
2020-02-02,51,False
2020-02-09,53,False
2020-02-16,51,False
2020-02-23,49,False
2020-03-01,52,False
2020-03-08,49,False
2020-03-15,45,False
2020-03-22,50,False
2020-03-29,45,False
2020-04-05,43,False
2020-04-12,46,False
2020-04-19,40,False
2020-04-26,41,False
2020-05-03,44,False
2020-05-10,42,False
2020-05-17,39,False
2020-05-24,42,False
2020-05-31,38,False
2020-06-07,48,False
2020-06-14,49,False
2020-06-21,51,False
2020-06-28,51,False
2020-07-05,45,False
2020-07-12,47,False
2020-07-19,43,False
2020-07-26,45,False
2020-08-02,43,False
