date,RHI,isPartial
2016-08-21,61,False
2016-08-28,54,False
2016-09-04,61,False
2016-09-11,65,False
2016-09-18,61,False
2016-09-25,52,False
2016-10-02,73,False
2016-10-09,58,False
2016-10-16,62,False
2016-10-23,57,False
2016-10-30,43,False
2016-11-06,50,False
2016-11-13,65,False
2016-11-20,56,False
2016-11-27,60,False
2016-12-04,61,False
2016-12-11,82,False
2016-12-18,79,False
2016-12-25,53,False
2017-01-01,74,False
2017-01-08,81,False
2017-01-15,74,False
2017-01-22,80,False
2017-01-29,63,False
2017-02-05,71,False
2017-02-12,65,False
2017-02-19,59,False
2017-02-26,63,False
2017-03-05,70,False
2017-03-12,91,False
2017-03-19,80,False
2017-03-26,62,False
2017-04-02,70,False
2017-04-09,67,False
2017-04-16,65,False
2017-04-23,66,False
2017-04-30,54,False
2017-05-07,72,False
2017-05-14,75,False
2017-05-21,72,False
2017-05-28,64,False
2017-06-04,66,False
2017-06-11,56,False
2017-06-18,70,False
2017-06-25,80,False
2017-07-02,67,False
2017-07-09,78,False
2017-07-16,68,False
2017-07-23,76,False
2017-07-30,67,False
2017-08-06,77,False
2017-08-13,86,False
2017-08-20,73,False
2017-08-27,52,False
2017-09-03,65,False
2017-09-10,59,False
2017-09-17,62,False
2017-09-24,62,False
2017-10-01,65,False
2017-10-08,56,False
2017-10-15,54,False
2017-10-22,56,False
2017-10-29,62,False
2017-11-05,63,False
2017-11-12,58,False
2017-11-19,62,False
2017-11-26,51,False
2017-12-03,61,False
2017-12-10,49,False
2017-12-17,54,False
2017-12-24,46,False
2017-12-31,55,False
2018-01-07,60,False
2018-01-14,52,False
2018-01-21,73,False
2018-01-28,53,False
2018-02-04,51,False
2018-02-11,58,False
2018-02-18,55,False
2018-02-25,42,False
2018-03-04,41,False
2018-03-11,65,False
2018-03-18,60,False
2018-03-25,55,False
2018-04-01,50,False
2018-04-08,55,False
2018-04-15,58,False
2018-04-22,47,False
2018-04-29,50,False
2018-05-06,55,False
2018-05-13,65,False
2018-05-20,46,False
2018-05-27,59,False
2018-06-03,76,False
2018-06-10,53,False
2018-06-17,62,False
2018-06-24,50,False
2018-07-01,72,False
2018-07-08,74,False
2018-07-15,78,False
2018-07-22,61,False
2018-07-29,55,False
2018-08-05,59,False
2018-08-12,64,False
2018-08-19,56,False
2018-08-26,51,False
2018-09-02,77,False
2018-09-09,67,False
2018-09-16,59,False
2018-09-23,82,False
2018-09-30,74,False
2018-10-07,73,False
2018-10-14,62,False
2018-10-21,71,False
2018-10-28,49,False
2018-11-04,45,False
2018-11-11,55,False
2018-11-18,44,False
2018-11-25,50,False
2018-12-02,59,False
2018-12-09,57,False
2018-12-16,52,False
2018-12-23,60,False
2018-12-30,50,False
2019-01-06,68,False
2019-01-13,61,False
2019-01-20,72,False
2019-01-27,56,False
2019-02-03,73,False
2019-02-10,72,False
2019-02-17,71,False
2019-02-24,64,False
2019-03-03,48,False
2019-03-10,61,False
2019-03-17,67,False
2019-03-24,79,False
2019-03-31,74,False
2019-04-07,81,False
2019-04-14,65,False
2019-04-21,61,False
2019-04-28,58,False
2019-05-05,58,False
2019-05-12,64,False
2019-05-19,52,False
2019-05-26,69,False
2019-06-02,55,False
2019-06-09,53,False
2019-06-16,53,False
2019-06-23,51,False
2019-06-30,64,False
2019-07-07,61,False
2019-07-14,63,False
2019-07-21,55,False
2019-07-28,53,False
2019-08-04,62,False
2019-08-11,55,False
2019-08-18,56,False
2019-08-25,55,False
2019-09-01,61,False
2019-09-08,56,False
2019-09-15,54,False
2019-09-22,64,False
2019-09-29,69,False
2019-10-06,56,False
2019-10-13,66,False
2019-10-20,50,False
2019-10-27,52,False
2019-11-03,62,False
2019-11-10,43,False
2019-11-17,55,False
2019-11-24,47,False
2019-12-01,55,False
2019-12-08,60,False
2019-12-15,59,False
2019-12-22,44,False
2019-12-29,58,False
2020-01-05,57,False
2020-01-12,57,False
2020-01-19,61,False
2020-01-26,59,False
2020-02-02,61,False
2020-02-09,50,False
2020-02-16,64,False
2020-02-23,68,False
2020-03-01,68,False
2020-03-08,70,False
2020-03-15,65,False
2020-03-22,74,False
2020-03-29,72,False
2020-04-05,62,False
2020-04-12,63,False
2020-04-19,61,False
2020-04-26,67,False
2020-05-03,67,False
2020-05-10,72,False
2020-05-17,81,False
2020-05-24,63,False
2020-05-31,61,False
2020-06-07,72,False
2020-06-14,61,False
2020-06-21,73,False
2020-06-28,69,False
2020-07-05,63,False
2020-07-12,69,False
2020-07-19,74,False
2020-07-26,74,False
2020-08-02,65,False
2020-08-09,78,False
2020-08-16,72,False
2020-08-23,67,False
2020-08-30,68,False
2020-09-06,72,False
2020-09-13,78,False
2020-09-20,73,False
2020-09-27,75,False
2020-10-04,74,False
2020-10-11,81,False
2020-10-18,73,False
2020-10-25,68,False
2020-11-01,61,False
2020-11-08,64,False
2020-11-15,61,False
2020-11-22,61,False
2020-11-29,66,False
2020-12-06,59,False
2020-12-13,68,False
2020-12-20,60,False
2020-12-27,60,False
2021-01-03,65,False
2021-01-10,70,False
2021-01-17,67,False
2021-01-24,57,False
2021-01-31,56,False
2021-02-07,67,False
2021-02-14,100,False
2021-02-21,90,False
2021-02-28,68,False
2021-03-07,71,False
2021-03-14,79,False
2021-03-21,70,False
2021-03-28,66,False
2021-04-04,70,False
2021-04-11,66,False
2021-04-18,78,False
2021-04-25,76,False
2021-05-02,74,False
2021-05-09,75,False
2021-05-16,72,False
2021-05-23,86,False
2021-05-30,68,False
2021-06-06,80,False
2021-06-13,69,False
2021-06-20,68,False
2021-06-27,72,False
2021-07-04,79,False
2021-07-11,77,False
2021-07-18,71,False
2021-07-25,81,False
2021-08-01,86,False
2021-08-08,85,True
