date,SHW,isPartial
2016-08-21,48,False
2016-08-28,58,False
2016-09-04,43,False
2016-09-11,47,False
2016-09-18,53,False
2016-09-25,59,False
2016-10-02,47,False
2016-10-09,42,False
2016-10-16,49,False
2016-10-23,64,False
2016-10-30,59,False
2016-11-06,60,False
2016-11-13,56,False
2016-11-20,50,False
2016-11-27,47,False
2016-12-04,48,False
2016-12-11,49,False
2016-12-18,45,False
2016-12-25,52,False
2017-01-01,38,False
2017-01-08,43,False
2017-01-15,39,False
2017-01-22,100,False
2017-01-29,42,False
2017-02-05,47,False
2017-02-12,55,False
2017-02-19,44,False
2017-02-26,69,False
2017-03-05,51,False
2017-03-12,52,False
2017-03-19,45,False
2017-03-26,35,False
2017-04-02,55,False
2017-04-09,49,False
2017-04-16,45,False
2017-04-23,58,False
2017-04-30,54,False
2017-05-07,34,False
2017-05-14,49,False
2017-05-21,41,False
2017-05-28,72,False
2017-06-04,45,False
2017-06-11,54,False
2017-06-18,56,False
2017-06-25,51,False
2017-07-02,46,False
2017-07-09,45,False
2017-07-16,63,False
2017-07-23,52,False
2017-07-30,37,False
2017-08-06,34,False
2017-08-13,50,False
2017-08-20,42,False
2017-08-27,47,False
2017-09-03,48,False
2017-09-10,59,False
2017-09-17,53,False
2017-09-24,53,False
2017-10-01,52,False
2017-10-08,47,False
2017-10-15,57,False
2017-10-22,51,False
2017-10-29,42,False
2017-11-05,46,False
2017-11-12,57,False
2017-11-19,42,False
2017-11-26,44,False
2017-12-03,39,False
2017-12-10,39,False
2017-12-17,58,False
2017-12-24,39,False
2017-12-31,50,False
2018-01-07,47,False
2018-01-14,49,False
2018-01-21,64,False
2018-01-28,46,False
2018-02-04,57,False
2018-02-11,42,False
2018-02-18,49,False
2018-02-25,54,False
2018-03-04,47,False
2018-03-11,57,False
2018-03-18,35,False
2018-03-25,55,False
2018-04-01,47,False
2018-04-08,49,False
2018-04-15,41,False
2018-04-22,50,False
2018-04-29,38,False
2018-05-06,51,False
2018-05-13,51,False
2018-05-20,49,False
2018-05-27,38,False
2018-06-03,48,False
2018-06-10,40,False
2018-06-17,45,False
2018-06-24,38,False
2018-07-01,45,False
2018-07-08,42,False
2018-07-15,40,False
2018-07-22,46,False
2018-07-29,34,False
2018-08-05,36,False
2018-08-12,42,False
2018-08-19,30,False
2018-08-26,37,False
2018-09-02,52,False
2018-09-09,31,False
2018-09-16,51,False
2018-09-23,57,False
2018-09-30,43,False
2018-10-07,46,False
2018-10-14,40,False
2018-10-21,40,False
2018-10-28,39,False
2018-11-04,39,False
2018-11-11,44,False
2018-11-18,38,False
2018-11-25,42,False
2018-12-02,52,False
2018-12-09,29,False
2018-12-16,40,False
2018-12-23,29,False
2018-12-30,47,False
2019-01-06,43,False
2019-01-13,38,False
2019-01-20,40,False
2019-01-27,71,False
2019-02-03,57,False
2019-02-10,44,False
2019-02-17,51,False
2019-02-24,42,False
2019-03-03,47,False
2019-03-10,38,False
2019-03-17,47,False
2019-03-24,34,False
2019-03-31,38,False
2019-04-07,41,False
2019-04-14,37,False
2019-04-21,44,False
2019-04-28,25,False
2019-05-05,42,False
2019-05-12,55,False
2019-05-19,43,False
2019-05-26,40,False
2019-06-02,38,False
2019-06-09,43,False
2019-06-16,41,False
2019-06-23,37,False
2019-06-30,47,False
2019-07-07,40,False
2019-07-14,43,False
2019-07-21,58,False
2019-07-28,47,False
2019-08-04,48,False
2019-08-11,46,False
2019-08-18,46,False
2019-08-25,38,False
2019-09-01,41,False
2019-09-08,34,False
2019-09-15,39,False
2019-09-22,35,False
2019-09-29,49,False
2019-10-06,45,False
2019-10-13,42,False
2019-10-20,38,False
2019-10-27,49,False
2019-11-03,44,False
2019-11-10,42,False
2019-11-17,39,False
2019-11-24,41,False
2019-12-01,37,False
2019-12-08,40,False
2019-12-15,40,False
2019-12-22,38,False
2019-12-29,32,False
2020-01-05,40,False
2020-01-12,39,False
2020-01-19,36,False
2020-01-26,47,False
2020-02-02,44,False
2020-02-09,43,False
2020-02-16,36,False
2020-02-23,31,False
2020-03-01,55,False
2020-03-08,45,False
2020-03-15,49,False
2020-03-22,43,False
2020-03-29,49,False
2020-04-05,43,False
2020-04-12,42,False
2020-04-19,43,False
2020-04-26,41,False
2020-05-03,48,False
2020-05-10,39,False
2020-05-17,40,False
2020-05-24,48,False
2020-05-31,50,False
2020-06-07,43,False
2020-06-14,42,False
2020-06-21,42,False
2020-06-28,27,False
2020-07-05,39,False
2020-07-12,39,False
2020-07-19,36,False
2020-07-26,63,False
2020-08-02,45,False
2020-08-09,51,False
2020-08-16,46,False
2020-08-23,38,False
2020-08-30,41,False
2020-09-06,51,False
2020-09-13,37,False
2020-09-20,39,False
2020-09-27,50,False
2020-10-04,47,False
2020-10-11,44,False
2020-10-18,47,False
2020-10-25,36,False
2020-11-01,40,False
2020-11-08,48,False
2020-11-15,33,False
2020-11-22,37,False
2020-11-29,44,False
2020-12-06,45,False
2020-12-13,46,False
2020-12-20,25,False
