date,STX,isPartial
2016-08-21,60,False
2016-08-28,56,False
2016-09-04,66,False
2016-09-11,61,False
2016-09-18,51,False
2016-09-25,60,False
2016-10-02,60,False
2016-10-09,59,False
2016-10-16,50,False
2016-10-23,59,False
2016-10-30,52,False
2016-11-06,56,False
2016-11-13,48,False
2016-11-20,52,False
2016-11-27,59,False
2016-12-04,53,False
2016-12-11,61,False
2016-12-18,56,False
2016-12-25,51,False
2017-01-01,61,False
2017-01-08,54,False
2017-01-15,55,False
2017-01-22,74,False
2017-01-29,65,False
2017-02-05,66,False
2017-02-12,61,False
2017-02-19,65,False
2017-02-26,67,False
2017-03-05,63,False
2017-03-12,70,False
2017-03-19,63,False
2017-03-26,63,False
2017-04-02,61,False
2017-04-09,63,False
2017-04-16,58,False
2017-04-23,78,False
2017-04-30,63,False
2017-05-07,69,False
2017-05-14,79,False
2017-05-21,64,False
2017-05-28,79,False
2017-06-04,61,False
2017-06-11,68,False
2017-06-18,64,False
2017-06-25,63,False
2017-07-02,55,False
2017-07-09,63,False
2017-07-16,60,False
2017-07-23,100,False
2017-07-30,72,False
2017-08-06,66,False
2017-08-13,67,False
2017-08-20,62,False
2017-08-27,57,False
2017-09-03,61,False
2017-09-10,55,False
2017-09-17,61,False
2017-09-24,68,False
2017-10-01,57,False
2017-10-08,56,False
2017-10-15,54,False
2017-10-22,60,False
2017-10-29,56,False
2017-11-05,55,False
2017-11-12,53,False
2017-11-19,58,False
2017-11-26,57,False
2017-12-03,51,False
2017-12-10,64,False
2017-12-17,54,False
2017-12-24,41,False
2017-12-31,61,False
2018-01-07,63,False
2018-01-14,64,False
2018-01-21,60,False
2018-01-28,68,False
2018-02-04,64,False
2018-02-11,54,False
2018-02-18,58,False
2018-02-25,60,False
2018-03-04,73,False
2018-03-11,67,False
2018-03-18,59,False
2018-03-25,56,False
2018-04-01,54,False
2018-04-08,71,False
2018-04-15,63,False
2018-04-22,64,False
2018-04-29,61,False
2018-05-06,61,False
2018-05-13,57,False
2018-05-20,68,False
2018-05-27,63,False
2018-06-03,71,False
2018-06-10,68,False
2018-06-17,61,False
2018-06-24,56,False
2018-07-01,58,False
2018-07-08,52,False
2018-07-15,52,False
2018-07-22,50,False
2018-07-29,50,False
2018-08-05,58,False
2018-08-12,61,False
2018-08-19,56,False
2018-08-26,63,False
2018-09-02,52,False
2018-09-09,50,False
2018-09-16,57,False
2018-09-23,46,False
2018-09-30,48,False
2018-10-07,52,False
2018-10-14,49,False
2018-10-21,53,False
2018-10-28,52,False
2018-11-04,57,False
2018-11-11,52,False
2018-11-18,52,False
2018-11-25,50,False
2018-12-02,52,False
2018-12-09,49,False
2018-12-16,54,False
2018-12-23,45,False
2018-12-30,51,False
2019-01-06,59,False
2019-01-13,59,False
2019-01-20,53,False
2019-01-27,54,False
2019-02-03,58,False
2019-02-10,60,False
2019-02-17,59,False
2019-02-24,56,False
2019-03-03,55,False
2019-03-10,65,False
2019-03-17,57,False
2019-03-24,56,False
2019-03-31,56,False
2019-04-07,54,False
2019-04-14,55,False
2019-04-21,55,False
2019-04-28,59,False
2019-05-05,55,False
2019-05-12,56,False
2019-05-19,64,False
2019-05-26,59,False
2019-06-02,56,False
2019-06-09,57,False
2019-06-16,60,False
2019-06-23,61,False
2019-06-30,59,False
2019-07-07,56,False
2019-07-14,57,False
2019-07-21,53,False
2019-07-28,63,False
2019-08-04,58,False
2019-08-11,50,False
2019-08-18,58,False
2019-08-25,60,False
2019-09-01,61,False
2019-09-08,58,False
2019-09-15,61,False
2019-09-22,62,False
2019-09-29,51,False
2019-10-06,54,False
2019-10-13,48,False
2019-10-20,58,False
2019-10-27,51,False
2019-11-03,56,False
2019-11-10,53,False
2019-11-17,60,False
2019-11-24,54,False
2019-12-01,52,False
2019-12-08,52,False
2019-12-15,49,False
2019-12-22,48,False
2019-12-29,49,False
2020-01-05,54,False
2020-01-12,50,False
2020-01-19,55,False
2020-01-26,57,False
2020-02-02,65,False
2020-02-09,63,False
2020-02-16,60,False
2020-02-23,69,False
2020-03-01,51,False
2020-03-08,56,False
2020-03-15,46,False
2020-03-22,36,False
2020-03-29,47,False
2020-04-05,46,False
2020-04-12,53,False
2020-04-19,57,False
2020-04-26,53,False
2020-05-03,50,False
2020-05-10,59,False
2020-05-17,63,False
2020-05-24,62,False
2020-05-31,57,False
2020-06-07,63,False
2020-06-14,70,False
2020-06-21,67,False
2020-06-28,54,False
2020-07-05,57,False
2020-07-12,54,False
2020-07-19,59,False
2020-07-26,63,False
2020-08-02,58,False
2020-08-09,62,False
2020-08-16,57,False
2020-08-23,57,False
2020-08-30,60,False
2020-09-06,52,False
2020-09-13,58,False
2020-09-20,47,False
2020-09-27,56,False
2020-10-04,51,False
2020-10-11,47,False
2020-10-18,51,False
2020-10-25,44,False
2020-11-01,43,False
2020-11-08,48,False
2020-11-15,48,False
2020-11-22,50,False
2020-11-29,51,False
2020-12-06,42,False
2020-12-13,46,False
2020-12-20,46,False
2020-12-27,48,False
2021-01-03,48,False
2021-01-10,62,False
2021-01-17,57,False
2021-01-24,59,False
2021-01-31,55,False
2021-02-07,60,False
2021-02-14,59,False
2021-02-21,59,False
2021-02-28,60,False
2021-03-07,60,False
2021-03-14,63,False
2021-03-21,59,False
2021-03-28,62,False
2021-04-04,75,False
2021-04-11,62,False
2021-04-18,67,False
2021-04-25,59,False
2021-05-02,59,False
2021-05-09,69,False
2021-05-16,60,False
2021-05-23,61,False
2021-05-30,58,False
2021-06-06,57,False
2021-06-13,58,False
2021-06-20,59,False
2021-06-27,50,False
2021-07-04,53,False
2021-07-11,50,False
2021-07-18,52,False
2021-07-25,57,False
2021-08-01,59,False
2021-08-08,57,True
