date,SWK,isPartial
2016-08-21,55,False
2016-08-28,56,False
2016-09-04,59,False
2016-09-11,37,False
2016-09-18,58,False
2016-09-25,39,False
2016-10-02,53,False
2016-10-09,49,False
2016-10-16,71,False
2016-10-23,62,False
2016-10-30,53,False
2016-11-06,72,False
2016-11-13,59,False
2016-11-20,70,False
2016-11-27,58,False
2016-12-04,50,False
2016-12-11,62,False
2016-12-18,61,False
2016-12-25,48,False
2017-01-01,61,False
2017-01-08,79,False
2017-01-15,57,False
2017-01-22,73,False
2017-01-29,62,False
2017-02-05,63,False
2017-02-12,72,False
2017-02-19,62,False
2017-02-26,62,False
2017-03-05,46,False
2017-03-12,49,False
2017-03-19,46,False
2017-03-26,66,False
2017-04-02,69,False
2017-04-09,44,False
2017-04-16,49,False
2017-04-23,74,False
2017-04-30,64,False
2017-05-07,50,False
2017-05-14,72,False
2017-05-21,38,False
2017-05-28,47,False
2017-06-04,53,False
2017-06-11,57,False
2017-06-18,58,False
2017-06-25,60,False
2017-07-02,62,False
2017-07-09,79,False
2017-07-16,68,False
2017-07-23,94,False
2017-07-30,66,False
2017-08-06,61,False
2017-08-13,52,False
2017-08-20,87,False
2017-08-27,80,False
2017-09-03,64,False
2017-09-10,68,False
2017-09-17,68,False
2017-09-24,78,False
2017-10-01,65,False
2017-10-08,77,False
2017-10-15,55,False
2017-10-22,70,False
2017-10-29,58,False
2017-11-05,72,False
2017-11-12,56,False
2017-11-19,67,False
2017-11-26,53,False
2017-12-03,67,False
2017-12-10,79,False
2017-12-17,43,False
2017-12-24,51,False
2017-12-31,82,False
2018-01-07,86,False
2018-01-14,70,False
2018-01-21,65,False
2018-01-28,63,False
2018-02-04,71,False
2018-02-11,46,False
2018-02-18,71,False
2018-02-25,72,False
2018-03-04,75,False
2018-03-11,47,False
2018-03-18,83,False
2018-03-25,71,False
2018-04-01,59,False
2018-04-08,100,False
2018-04-15,65,False
2018-04-22,57,False
2018-04-29,66,False
2018-05-06,55,False
2018-05-13,67,False
2018-05-20,66,False
2018-05-27,66,False
2018-06-03,67,False
2018-06-10,80,False
2018-06-17,71,False
2018-06-24,64,False
2018-07-01,79,False
2018-07-08,74,False
2018-07-15,74,False
2018-07-22,73,False
2018-07-29,52,False
2018-08-05,58,False
2018-08-12,68,False
2018-08-19,69,False
2018-08-26,47,False
2018-09-02,58,False
2018-09-09,62,False
2018-09-16,54,False
2018-09-23,43,False
2018-09-30,71,False
2018-10-07,50,False
2018-10-14,58,False
2018-10-21,58,False
2018-10-28,63,False
2018-11-04,59,False
2018-11-11,71,False
2018-11-18,54,False
