date,TRV,isPartial
2016-08-21,60,False
2016-08-28,47,False
2016-09-04,67,False
2016-09-11,60,False
2016-09-18,56,False
2016-09-25,62,False
2016-10-02,70,False
2016-10-09,64,False
2016-10-16,74,False
2016-10-23,64,False
2016-10-30,72,False
2016-11-06,77,False
2016-11-13,62,False
2016-11-20,59,False
2016-11-27,70,False
2016-12-04,55,False
2016-12-11,77,False
2016-12-18,58,False
2016-12-25,66,False
2017-01-01,82,False
2017-01-08,68,False
2017-01-15,63,False
2017-01-22,75,False
2017-01-29,71,False
2017-02-05,67,False
2017-02-12,69,False
2017-02-19,74,False
2017-02-26,66,False
2017-03-05,64,False
2017-03-12,72,False
2017-03-19,66,False
2017-03-26,66,False
2017-04-02,65,False
2017-04-09,65,False
2017-04-16,53,False
2017-04-23,53,False
2017-04-30,62,False
2017-05-07,59,False
2017-05-14,66,False
2017-05-21,65,False
2017-05-28,52,False
2017-06-04,60,False
2017-06-11,59,False
2017-06-18,51,False
2017-06-25,66,False
2017-07-02,74,False
2017-07-09,61,False
2017-07-16,64,False
2017-07-23,80,False
2017-07-30,55,False
2017-08-06,71,False
2017-08-13,75,False
2017-08-20,70,False
2017-08-27,71,False
2017-09-03,60,False
2017-09-10,70,False
2017-09-17,66,False
2017-09-24,69,False
2017-10-01,79,False
2017-10-08,66,False
2017-10-15,70,False
2017-10-22,75,False
2017-10-29,74,False
2017-11-05,78,False
2017-11-12,87,False
2017-11-19,85,False
2017-11-26,74,False
2017-12-03,76,False
2017-12-10,71,False
2017-12-17,70,False
2017-12-24,64,False
2017-12-31,71,False
2018-01-07,83,False
2018-01-14,71,False
2018-01-21,78,False
2018-01-28,63,False
2018-02-04,78,False
2018-02-11,69,False
2018-02-18,66,False
2018-02-25,86,False
2018-03-04,66,False
2018-03-11,65,False
2018-03-18,71,False
2018-03-25,78,False
2018-04-01,63,False
2018-04-08,64,False
2018-04-15,66,False
2018-04-22,73,False
2018-04-29,67,False
2018-05-06,59,False
2018-05-13,65,False
2018-05-20,63,False
2018-05-27,48,False
2018-06-03,72,False
2018-06-10,56,False
2018-06-17,80,False
2018-06-24,58,False
2018-07-01,62,False
2018-07-08,66,False
2018-07-15,61,False
2018-07-22,68,False
2018-07-29,74,False
2018-08-05,74,False
2018-08-12,73,False
2018-08-19,63,False
2018-08-26,76,False
2018-09-02,57,False
2018-09-09,72,False
2018-09-16,76,False
2018-09-23,81,False
2018-09-30,72,False
2018-10-07,69,False
2018-10-14,71,False
2018-10-21,72,False
2018-10-28,75,False
2018-11-04,70,False
2018-11-11,78,False
2018-11-18,74,False
2018-11-25,87,False
2018-12-02,71,False
2018-12-09,71,False
2018-12-16,75,False
2018-12-23,69,False
2018-12-30,65,False
2019-01-06,72,False
