date,UAA,isPartial
2016-08-21,57,False
2016-08-28,61,False
2016-09-04,62,False
2016-09-11,55,False
2016-09-18,62,False
2016-09-25,49,False
2016-10-02,40,False
2016-10-09,52,False
2016-10-16,51,False
2016-10-23,48,False
2016-10-30,54,False
2016-11-06,57,False
2016-11-13,58,False
2016-11-20,39,False
2016-11-27,51,False
2016-12-04,71,False
2016-12-11,67,False
2016-12-18,43,False
2016-12-25,27,False
2017-01-01,49,False
2017-01-08,46,False
2017-01-15,67,False
2017-01-22,89,False
2017-01-29,100,False
2017-02-05,81,False
2017-02-12,76,False
2017-02-19,67,False
2017-02-26,63,False
2017-03-05,66,False
2017-03-12,51,False
2017-03-19,74,False
2017-03-26,74,False
2017-04-02,71,False
2017-04-09,65,False
2017-04-16,61,False
2017-04-23,88,False
2017-04-30,73,False
2017-05-07,55,False
2017-05-14,57,False
2017-05-21,50,False
2017-05-28,41,False
2017-06-04,56,False
2017-06-11,73,False
2017-06-18,51,False
2017-06-25,44,False
2017-07-02,45,False
2017-07-09,48,False
2017-07-16,40,False
2017-07-23,53,False
2017-07-30,61,False
2017-08-06,57,False
2017-08-13,69,False
2017-08-20,61,False
2017-08-27,74,False
2017-09-03,55,False
2017-09-10,72,False
2017-09-17,57,False
2017-09-24,49,False
2017-10-01,48,False
2017-10-08,53,False
2017-10-15,56,False
2017-10-22,56,False
2017-10-29,82,False
2017-11-05,58,False
2017-11-12,62,False
2017-11-19,51,False
2017-11-26,56,False
2017-12-03,56,False
2017-12-10,63,False
2017-12-17,39,False
2017-12-24,28,False
2017-12-31,35,False
2018-01-07,57,False
2018-01-14,60,False
2018-01-21,58,False
2018-01-28,63,False
2018-02-04,59,False
2018-02-11,67,False
2018-02-18,60,False
2018-02-25,62,False
2018-03-04,56,False
2018-03-11,49,False
2018-03-18,62,False
2018-03-25,57,False
2018-04-01,62,False
2018-04-08,38,False
2018-04-15,44,False
2018-04-22,54,False
2018-04-29,65,False
2018-05-06,50,False
2018-05-13,49,False
2018-05-20,52,False
2018-05-27,42,False
2018-06-03,49,False
2018-06-10,47,False
2018-06-17,46,False
2018-06-24,43,False
2018-07-01,34,False
2018-07-08,39,False
2018-07-15,41,False
2018-07-22,45,False
2018-07-29,40,False
2018-08-05,45,False
2018-08-12,48,False
2018-08-19,50,False
2018-08-26,66,False
2018-09-02,58,False
2018-09-09,57,False
2018-09-16,49,False
2018-09-23,46,False
2018-09-30,43,False
2018-10-07,47,False
2018-10-14,49,False
2018-10-21,51,False
2018-10-28,56,False
2018-11-04,49,False
2018-11-11,47,False
2018-11-18,37,False
2018-11-25,41,False
2018-12-02,43,False
2018-12-09,52,False
2018-12-16,33,False
2018-12-23,22,False
2018-12-30,30,False
2019-01-06,40,False
2019-01-13,61,False
2019-01-20,50,False
2019-01-27,56,False
2019-02-03,52,False
2019-02-10,59,False
2019-02-17,47,False
2019-02-24,55,False
2019-03-03,47,False
2019-03-10,46,False
2019-03-17,62,False
2019-03-24,49,False
2019-03-31,55,False
2019-04-07,47,False
2019-04-14,48,False
2019-04-21,53,False
2019-04-28,45,False
2019-05-05,46,False
2019-05-12,43,False
2019-05-19,44,False
2019-05-26,41,False
2019-06-02,35,False
2019-06-09,37,False
2019-06-16,56,False
2019-06-23,48,False
2019-06-30,36,False
2019-07-07,39,False
2019-07-14,40,False
2019-07-21,44,False
2019-07-28,47,False
2019-08-04,44,False
2019-08-11,49,False
2019-08-18,51,False
2019-08-25,65,False
2019-09-01,47,False
2019-09-08,52,False
2019-09-15,51,False
2019-09-22,41,False
2019-09-29,51,False
2019-10-06,52,False
2019-10-13,50,False
2019-10-20,53,False
2019-10-27,50,False
2019-11-03,58,False
2019-11-10,49,False
2019-11-17,42,False
2019-11-24,37,False
2019-12-01,52,False
2019-12-08,43,False
2019-12-15,32,False
2019-12-22,19,False
2019-12-29,21,False
2020-01-05,45,False
2020-01-12,57,False
2020-01-19,50,False
2020-01-26,52,False
2020-02-02,46,False
2020-02-09,58,False
2020-02-16,56,False
2020-02-23,47,False
2020-03-01,55,False
2020-03-08,42,False
2020-03-15,51,False
2020-03-22,44,False
2020-03-29,33,False
2020-04-05,33,False
2020-04-12,37,False
2020-04-19,46,False
2020-04-26,49,False
2020-05-03,44,False
2020-05-10,57,False
2020-05-17,37,False
2020-05-24,33,False
2020-05-31,36,False
2020-06-07,38,False
2020-06-14,41,False
2020-06-21,39,False
2020-06-28,36,False
2020-07-05,37,False
2020-07-12,36,False
2020-07-19,52,False
2020-07-26,48,False
2020-08-02,39,False
2020-08-09,43,False
2020-08-16,47,False
2020-08-23,55,False
2020-08-30,39,False
2020-09-06,45,False
2020-09-13,42,False
2020-09-20,39,False
2020-09-27,41,False
2020-10-04,36,False
2020-10-11,31,False
2020-10-18,32,False
2020-10-25,34,False
2020-11-01,44,False
2020-11-08,30,False
2020-11-15,34,False
2020-11-22,37,False
2020-11-29,28,False
2020-12-06,35,False
2020-12-13,36,False
2020-12-20,24,False
2020-12-27,26,False
2021-01-03,30,False
2021-01-10,30,False
2021-01-17,39,False
2021-01-24,37,False
2021-01-31,38,False
2021-02-07,47,False
2021-02-14,32,False
2021-02-21,37,False
2021-02-28,34,False
2021-03-07,37,False
