date,VFC,isPartial
2016-08-21,58,False
2016-08-28,67,False
2016-09-04,71,False
2016-09-11,76,False
2016-09-18,74,False
2016-09-25,72,False
2016-10-02,86,False
2016-10-09,74,False
2016-10-16,58,False
2016-10-23,70,False
2016-10-30,68,False
2016-11-06,75,False
2016-11-13,60,False
2016-11-20,68,False
2016-11-27,54,False
2016-12-04,77,False
2016-12-11,90,False
2016-12-18,79,False
2016-12-25,72,False
2017-01-01,67,False
2017-01-08,74,False
2017-01-15,79,False
2017-01-22,60,False
2017-01-29,66,False
2017-02-05,66,False
2017-02-12,70,False
2017-02-19,60,False
2017-02-26,67,False
2017-03-05,86,False
2017-03-12,69,False
2017-03-19,87,False
2017-03-26,67,False
2017-04-02,73,False
2017-04-09,70,False
2017-04-16,56,False
2017-04-23,70,False
2017-04-30,83,False
2017-05-07,67,False
2017-05-14,68,False
2017-05-21,72,False
2017-05-28,55,False
2017-06-04,64,False
2017-06-11,75,False
2017-06-18,71,False
2017-06-25,52,False
2017-07-02,65,False
2017-07-09,62,False
2017-07-16,75,False
2017-07-23,71,False
2017-07-30,65,False
2017-08-06,64,False
2017-08-13,70,False
2017-08-20,74,False
2017-08-27,82,False
2017-09-03,64,False
2017-09-10,74,False
2017-09-17,82,False
2017-09-24,64,False
2017-10-01,77,False
2017-10-08,73,False
2017-10-15,85,False
2017-10-22,79,False
2017-10-29,76,False
2017-11-05,73,False
2017-11-12,77,False
2017-11-19,68,False
2017-11-26,76,False
2017-12-03,78,False
2017-12-10,73,False
2017-12-17,60,False
2017-12-24,50,False
2017-12-31,58,False
2018-01-07,68,False
2018-01-14,81,False
2018-01-21,69,False
2018-01-28,71,False
2018-02-04,65,False
2018-02-11,80,False
2018-02-18,72,False
2018-02-25,67,False
2018-03-04,57,False
2018-03-11,74,False
2018-03-18,67,False
2018-03-25,83,False
2018-04-01,74,False
2018-04-08,78,False
2018-04-15,85,False
2018-04-22,78,False
2018-04-29,94,False
2018-05-06,65,False
2018-05-13,68,False
2018-05-20,78,False
2018-05-27,63,False
2018-06-03,67,False
2018-06-10,68,False
2018-06-17,56,False
2018-06-24,65,False
2018-07-01,61,False
2018-07-08,84,False
2018-07-15,71,False
2018-07-22,74,False
2018-07-29,71,False
2018-08-05,72,False
2018-08-12,73,False
2018-08-19,63,False
2018-08-26,74,False
2018-09-02,67,False
2018-09-09,72,False
2018-09-16,83,False
2018-09-23,78,False
2018-09-30,81,False
2018-10-07,58,False
2018-10-14,74,False
2018-10-21,83,False
2018-10-28,62,False
2018-11-04,74,False
2018-11-11,59,False
2018-11-18,63,False
2018-11-25,76,False
2018-12-02,68,False
2018-12-09,69,False
2018-12-16,72,False
2018-12-23,54,False
2018-12-30,52,False
2019-01-06,70,False
2019-01-13,76,False
2019-01-20,76,False
2019-01-27,69,False
2019-02-03,90,False
2019-02-10,65,False
2019-02-17,64,False
2019-02-24,80,False
2019-03-03,77,False
2019-03-10,84,False
2019-03-17,66,False
2019-03-24,66,False
2019-03-31,71,False
2019-04-07,76,False
2019-04-14,78,False
2019-04-21,74,False
2019-04-28,76,False
2019-05-05,92,False
2019-05-12,72,False
2019-05-19,80,False
2019-05-26,77,False
2019-06-02,76,False
2019-06-09,100,False
2019-06-16,76,False
2019-06-23,98,False
2019-06-30,76,False
2019-07-07,75,False
2019-07-14,66,False
2019-07-21,67,False
2019-07-28,78,False
2019-08-04,72,False
2019-08-11,80,False
2019-08-18,68,False
2019-08-25,83,False
2019-09-01,57,False
2019-09-08,81,False
2019-09-15,75,False
2019-09-22,81,False
2019-09-29,66,False
2019-10-06,64,False
2019-10-13,76,False
2019-10-20,64,False
2019-10-27,60,False
2019-11-03,85,False
2019-11-10,60,False
2019-11-17,76,False
2019-11-24,75,False
2019-12-01,72,False
2019-12-08,70,False
2019-12-15,75,False
2019-12-22,73,False
2019-12-29,71,False
2020-01-05,79,False
2020-01-12,80,False
2020-01-19,68,False
2020-01-26,66,False
2020-02-02,76,False
2020-02-09,85,False
2020-02-16,90,False
2020-02-23,88,False
2020-03-01,79,False
2020-03-08,73,False
2020-03-15,71,False
2020-03-22,66,False
2020-03-29,71,False
2020-04-05,55,False
2020-04-12,61,False
2020-04-19,54,False
2020-04-26,59,False
2020-05-03,68,False
2020-05-10,81,False
2020-05-17,72,False
2020-05-24,62,False
2020-05-31,54,False
2020-06-07,75,False
2020-06-14,74,False
2020-06-21,78,False
2020-06-28,78,False
2020-07-05,88,False
2020-07-12,87,False
2020-07-19,69,False
2020-07-26,87,False
2020-08-02,78,False
2020-08-09,65,False
2020-08-16,74,False
2020-08-23,68,False
2020-08-30,84,False
2020-09-06,71,False
2020-09-13,69,False
2020-09-20,77,False
2020-09-27,78,False
2020-10-04,82,False
2020-10-11,73,False
2020-10-18,74,False
2020-10-25,75,False
2020-11-01,64,False
2020-11-08,71,False
2020-11-15,73,False
2020-11-22,68,False
2020-11-29,63,False
2020-12-06,60,False
2020-12-13,65,False
2020-12-20,53,False
2020-12-27,62,False
2021-01-03,62,False
2021-01-10,69,False
2021-01-17,70,False
2021-01-24,69,False
2021-01-31,73,False
2021-02-07,58,False
2021-02-14,62,False
2021-02-21,57,False
2021-02-28,68,False
2021-03-07,69,False
2021-03-14,73,False
2021-03-21,51,False
2021-03-28,85,False
2021-04-04,67,False
2021-04-11,62,False
2021-04-18,61,False
2021-04-25,85,False
2021-05-02,60,False
2021-05-09,61,False
2021-05-16,74,False
2021-05-23,60,False
2021-05-30,72,False
2021-06-06,65,False
2021-06-13,66,False
2021-06-20,58,False
2021-06-27,69,False
2021-07-04,69,False
2021-07-11,77,False
2021-07-18,72,False
2021-07-25,62,False
2021-08-01,71,False
2021-08-08,60,True
