date,VNO,isPartial
2016-08-21,26,False
2016-08-28,28,False
2016-09-04,44,False
2016-09-11,46,False
2016-09-18,39,False
2016-09-25,33,False
2016-10-02,54,False
2016-10-09,48,False
2016-10-16,36,False
2016-10-23,48,False
2016-10-30,63,False
2016-11-06,72,False
2016-11-13,59,False
2016-11-20,47,False
2016-11-27,45,False
2016-12-04,53,False
2016-12-11,63,False
2016-12-18,49,False
2016-12-25,37,False
2017-01-01,47,False
2017-01-08,30,False
2017-01-15,53,False
2017-01-22,50,False
2017-01-29,58,False
2017-02-05,27,False
2017-02-12,53,False
2017-02-19,58,False
2017-02-26,43,False
2017-03-05,61,False
2017-03-12,51,False
2017-03-19,55,False
2017-03-26,52,False
2017-04-02,60,False
2017-04-09,48,False
2017-04-16,52,False
2017-04-23,52,False
2017-04-30,33,False
2017-05-07,57,False
2017-05-14,50,False
2017-05-21,42,False
2017-05-28,39,False
2017-06-04,49,False
2017-06-11,61,False
2017-06-18,49,False
2017-06-25,42,False
2017-07-02,36,False
2017-07-09,54,False
2017-07-16,47,False
2017-07-23,32,False
2017-07-30,32,False
2017-08-06,39,False
2017-08-13,55,False
2017-08-20,51,False
2017-08-27,45,False
2017-09-03,56,False
2017-09-10,70,False
2017-09-17,100,False
2017-09-24,36,False
2017-10-01,30,False
2017-10-08,47,False
2017-10-15,50,False
2017-10-22,54,False
2017-10-29,68,False
2017-11-05,54,False
2017-11-12,54,False
2017-11-19,45,False
2017-11-26,42,False
2017-12-03,64,False
2017-12-10,52,False
2017-12-17,28,False
2017-12-24,56,False
2017-12-31,42,False
2018-01-07,66,False
2018-01-14,49,False
2018-01-21,49,False
2018-01-28,52,False
2018-02-04,42,False
2018-02-11,71,False
2018-02-18,56,False
2018-02-25,91,False
2018-03-04,36,False
2018-03-11,43,False
2018-03-18,77,False
2018-03-25,67,False
2018-04-01,45,False
2018-04-08,39,False
2018-04-15,54,False
2018-04-22,85,False
2018-04-29,66,False
2018-05-06,47,False
2018-05-13,60,False
2018-05-20,58,False
2018-05-27,66,False
2018-06-03,63,False
2018-06-10,36,False
2018-06-17,62,False
2018-06-24,75,False
2018-07-01,55,False
2018-07-08,57,False
2018-07-15,34,False
2018-07-22,55,False
2018-07-29,50,False
2018-08-05,48,False
2018-08-12,41,False
2018-08-19,56,False
2018-08-26,51,False
2018-09-02,53,False
2018-09-09,58,False
2018-09-16,78,False
2018-09-23,65,False
2018-09-30,56,False
2018-10-07,61,False
2018-10-14,54,False
2018-10-21,68,False
2018-10-28,57,False
2018-11-04,52,False
2018-11-11,72,False
2018-11-18,49,False
2018-11-25,48,False
2018-12-02,51,False
2018-12-09,54,False
2018-12-16,48,False
2018-12-23,35,False
2018-12-30,60,False
2019-01-06,74,False
2019-01-13,68,False
2019-01-20,42,False
2019-01-27,84,False
2019-02-03,47,False
2019-02-10,51,False
2019-02-17,54,False
2019-02-24,54,False
2019-03-03,60,False
2019-03-10,52,False
2019-03-17,65,False
2019-03-24,38,False
2019-03-31,30,False
2019-04-07,51,False
2019-04-14,73,False
2019-04-21,49,False
2019-04-28,43,False
2019-05-05,78,False
2019-05-12,73,False
2019-05-19,47,False
2019-05-26,50,False
2019-06-02,50,False
2019-06-09,42,False
2019-06-16,65,False
2019-06-23,55,False
2019-06-30,58,False
2019-07-07,40,False
2019-07-14,54,False
2019-07-21,39,False
2019-07-28,28,False
2019-08-04,54,False
2019-08-11,56,False
2019-08-18,35,False
2019-08-25,52,False
2019-09-01,48,False
2019-09-08,57,False
2019-09-15,59,False
2019-09-22,56,False
2019-09-29,54,False
2019-10-06,52,False
2019-10-13,42,False
2019-10-20,58,False
2019-10-27,59,False
2019-11-03,65,False
2019-11-10,53,False
2019-11-17,63,False
2019-11-24,65,False
2019-12-01,44,False
2019-12-08,61,False
2019-12-15,55,False
2019-12-22,29,False
2019-12-29,42,False
2020-01-05,59,False
2020-01-12,46,False
2020-01-19,36,False
2020-01-26,56,False
2020-02-02,64,False
2020-02-09,81,False
2020-02-16,51,False
2020-02-23,66,False
2020-03-01,61,False
2020-03-08,64,False
2020-03-15,80,False
2020-03-22,63,False
2020-03-29,30,False
2020-04-05,49,False
2020-04-12,43,False
2020-04-19,62,False
2020-04-26,50,False
2020-05-03,58,False
2020-05-10,43,False
2020-05-17,35,False
2020-05-24,54,False
2020-05-31,58,False
2020-06-07,51,False
2020-06-14,43,False
2020-06-21,49,False
2020-06-28,60,False
2020-07-05,43,False
2020-07-12,55,False
2020-07-19,57,False
2020-07-26,34,False
2020-08-02,53,False
2020-08-09,54,False
2020-08-16,65,False
2020-08-23,75,False
2020-08-30,56,False
2020-09-06,40,False
2020-09-13,60,False
2020-09-20,46,False
2020-09-27,56,False
2020-10-04,52,False
2020-10-11,31,False
2020-10-18,66,False
2020-10-25,38,False
