date,VTR,isPartial
2016-08-21,45,False
2016-08-28,44,False
2016-09-04,44,False
2016-09-11,44,False
2016-09-18,40,False
2016-09-25,49,False
2016-10-02,43,False
2016-10-09,44,False
2016-10-16,44,False
2016-10-23,46,False
2016-10-30,47,False
2016-11-06,41,False
2016-11-13,44,False
2016-11-20,42,False
2016-11-27,43,False
2016-12-04,47,False
2016-12-11,45,False
2016-12-18,38,False
2016-12-25,46,False
2017-01-01,44,False
2017-01-08,45,False
2017-01-15,39,False
2017-01-22,36,False
2017-01-29,46,False
2017-02-05,41,False
2017-02-12,48,False
2017-02-19,50,False
2017-02-26,57,False
2017-03-05,50,False
2017-03-12,45,False
2017-03-19,51,False
2017-03-26,48,False
2017-04-02,56,False
2017-04-09,46,False
2017-04-16,47,False
2017-04-23,46,False
2017-04-30,46,False
2017-05-07,45,False
2017-05-14,47,False
2017-05-21,45,False
2017-05-28,47,False
2017-06-04,51,False
2017-06-11,51,False
2017-06-18,47,False
2017-06-25,44,False
2017-07-02,52,False
2017-07-09,46,False
2017-07-16,50,False
2017-07-23,51,False
2017-07-30,50,False
2017-08-06,45,False
2017-08-13,52,False
2017-08-20,49,False
2017-08-27,50,False
2017-09-03,45,False
2017-09-10,37,False
2017-09-17,41,False
2017-09-24,45,False
2017-10-01,45,False
2017-10-08,41,False
2017-10-15,44,False
2017-10-22,45,False
2017-10-29,52,False
2017-11-05,54,False
2017-11-12,50,False
2017-11-19,39,False
2017-11-26,44,False
2017-12-03,47,False
2017-12-10,42,False
2017-12-17,41,False
2017-12-24,46,False
2017-12-31,50,False
2018-01-07,43,False
2018-01-14,43,False
2018-01-21,49,False
2018-01-28,48,False
2018-02-04,52,False
2018-02-11,46,False
2018-02-18,49,False
2018-02-25,59,False
2018-03-04,51,False
2018-03-11,55,False
2018-03-18,52,False
2018-03-25,48,False
2018-04-01,53,False
2018-04-08,48,False
2018-04-15,46,False
2018-04-22,55,False
2018-04-29,48,False
2018-05-06,47,False
2018-05-13,46,False
2018-05-20,48,False
2018-05-27,54,False
2018-06-03,53,False
2018-06-10,47,False
2018-06-17,52,False
2018-06-24,49,False
2018-07-01,45,False
2018-07-08,50,False
2018-07-15,47,False
2018-07-22,51,False
2018-07-29,54,False
2018-08-05,47,False
2018-08-12,43,False
2018-08-19,46,False
2018-08-26,52,False
2018-09-02,48,False
2018-09-09,44,False
2018-09-16,41,False
2018-09-23,52,False
2018-09-30,54,False
2018-10-07,48,False
2018-10-14,45,False
2018-10-21,44,False
2018-10-28,42,False
2018-11-04,63,False
2018-11-11,45,False
2018-11-18,47,False
2018-11-25,44,False
2018-12-02,50,False
2018-12-09,43,False
2018-12-16,44,False
2018-12-23,42,False
2018-12-30,47,False
2019-01-06,45,False
2019-01-13,43,False
2019-01-20,43,False
2019-01-27,46,False
2019-02-03,47,False
2019-02-10,42,False
2019-02-17,48,False
2019-02-24,50,False
2019-03-03,48,False
2019-03-10,45,False
2019-03-17,44,False
2019-03-24,61,False
2019-03-31,58,False
2019-04-07,41,False
2019-04-14,41,False
2019-04-21,44,False
2019-04-28,50,False
2019-05-05,41,False
2019-05-12,46,False
2019-05-19,42,False
2019-05-26,51,False
2019-06-02,50,False
2019-06-09,43,False
2019-06-16,41,False
2019-06-23,48,False
2019-06-30,52,False
2019-07-07,43,False
2019-07-14,42,False
2019-07-21,50,False
2019-07-28,53,False
2019-08-04,51,False
2019-08-11,45,False
2019-08-18,47,False
2019-08-25,46,False
2019-09-01,45,False
2019-09-08,40,False
2019-09-15,38,False
2019-09-22,51,False
2019-09-29,55,False
2019-10-06,47,False
2019-10-13,44,False
2019-10-20,40,False
2019-10-27,46,False
2019-11-03,59,False
2019-11-10,49,False
2019-11-17,48,False
2019-11-24,50,False
2019-12-01,55,False
2019-12-08,51,False
2019-12-15,46,False
2019-12-22,48,False
2019-12-29,54,False
2020-01-05,54,False
2020-01-12,48,False
2020-01-19,47,False
2020-01-26,63,False
2020-02-02,55,False
2020-02-09,52,False
2020-02-16,52,False
2020-02-23,55,False
2020-03-01,67,False
2020-03-08,50,False
2020-03-15,72,False
2020-03-22,83,False
2020-03-29,100,False
2020-04-05,75,False
2020-04-12,71,False
2020-04-19,68,False
2020-04-26,69,False
2020-05-03,70,False
2020-05-10,63,False
2020-05-17,64,False
2020-05-24,71,False
