date,WELL,isPartial
2016-08-21,76,False
2016-08-28,77,False
2016-09-04,79,False
2016-09-11,79,False
2016-09-18,82,False
2016-09-25,79,False
2016-10-02,75,False
2016-10-09,76,False
2016-10-16,76,False
2016-10-23,80,False
2016-10-30,78,False
2016-11-06,80,False
2016-11-13,76,False
2016-11-20,71,False
2016-11-27,78,False
2016-12-04,78,False
2016-12-11,74,False
2016-12-18,69,False
2016-12-25,67,False
2017-01-01,74,False
2017-01-08,78,False
2017-01-15,80,False
2017-01-22,80,False
2017-01-29,78,False
2017-02-05,81,False
2017-02-12,82,False
2017-02-19,83,False
2017-02-26,84,False
2017-03-05,83,False
2017-03-12,80,False
2017-03-19,82,False
2017-03-26,80,False
2017-04-02,81,False
2017-04-09,80,False
2017-04-16,79,False
2017-04-23,79,False
2017-04-30,83,False
2017-05-07,81,False
2017-05-14,79,False
2017-05-21,78,False
2017-05-28,73,False
2017-06-04,79,False
2017-06-11,80,False
2017-06-18,78,False
2017-06-25,76,False
2017-07-02,77,False
2017-07-09,78,False
2017-07-16,80,False
2017-07-23,78,False
2017-07-30,75,False
2017-08-06,77,False
2017-08-13,83,False
2017-08-20,78,False
2017-08-27,77,False
2017-09-03,78,False
2017-09-10,81,False
2017-09-17,82,False
2017-09-24,79,False
2017-10-01,81,False
2017-10-08,81,False
2017-10-15,78,False
2017-10-22,79,False
2017-10-29,82,False
2017-11-05,78,False
2017-11-12,80,False
2017-11-19,72,False
2017-11-26,77,False
2017-12-03,76,False
2017-12-10,76,False
2017-12-17,69,False
2017-12-24,67,False
2017-12-31,75,False
2018-01-07,77,False
2018-01-14,78,False
2018-01-21,80,False
2018-01-28,82,False
2018-02-04,80,False
2018-02-11,79,False
2018-02-18,80,False
2018-02-25,80,False
2018-03-04,83,False
2018-03-11,78,False
2018-03-18,80,False
2018-03-25,79,False
2018-04-01,78,False
2018-04-08,80,False
2018-04-15,83,False
2018-04-22,82,False
2018-04-29,81,False
2018-05-06,82,False
2018-05-13,80,False
2018-05-20,80,False
2018-05-27,75,False
2018-06-03,76,False
2018-06-10,76,False
2018-06-17,74,False
2018-06-24,75,False
2018-07-01,72,False
2018-07-08,76,False
2018-07-15,81,False
2018-07-22,81,False
2018-07-29,81,False
2018-08-05,78,False
2018-08-12,78,False
2018-08-19,78,False
2018-08-26,78,False
2018-09-02,77,False
2018-09-09,78,False
2018-09-16,79,False
2018-09-23,78,False
2018-09-30,81,False
2018-10-07,81,False
2018-10-14,80,False
2018-10-21,77,False
2018-10-28,76,False
2018-11-04,73,False
2018-11-11,75,False
2018-11-18,70,False
2018-11-25,74,False
2018-12-02,77,False
2018-12-09,76,False
2018-12-16,70,False
2018-12-23,64,False
2018-12-30,74,False
2019-01-06,78,False
2019-01-13,86,False
2019-01-20,100,False
2019-01-27,83,False
2019-02-03,82,False
2019-02-10,84,False
2019-02-17,82,False
2019-02-24,83,False
2019-03-03,80,False
2019-03-10,82,False
2019-03-17,82,False
2019-03-24,81,False
2019-03-31,79,False
2019-04-07,77,False
2019-04-14,77,False
2019-04-21,77,False
2019-04-28,78,False
2019-05-05,77,False
2019-05-12,76,False
2019-05-19,79,False
2019-05-26,78,False
2019-06-02,77,False
2019-06-09,80,False
2019-06-16,80,False
2019-06-23,81,False
2019-06-30,75,False
2019-07-07,79,False
2019-07-14,76,False
2019-07-21,78,False
2019-07-28,75,False
2019-08-04,77,False
2019-08-11,76,False
2019-08-18,79,False
2019-08-25,80,False
2019-09-01,78,False
2019-09-08,79,False
2019-09-15,80,False
2019-09-22,82,False
2019-09-29,78,False
2019-10-06,80,False
2019-10-13,80,False
2019-10-20,79,False
2019-10-27,80,False
2019-11-03,77,False
2019-11-10,80,False
2019-11-17,80,False
2019-11-24,70,False
2019-12-01,78,False
2019-12-08,78,False
2019-12-15,74,False
2019-12-22,66,False
2019-12-29,71,False
2020-01-05,77,False
2020-01-12,79,False
2020-01-19,80,False
2020-01-26,83,False
2020-02-02,84,False
2020-02-09,82,False
2020-02-16,87,False
2020-02-23,86,False
2020-03-01,82,False
2020-03-08,80,False
2020-03-15,81,False
2020-03-22,87,False
2020-03-29,89,False
2020-04-05,91,False
2020-04-12,96,False
2020-04-19,92,False
2020-04-26,95,False
2020-05-03,95,False
2020-05-10,96,False
2020-05-17,91,False
2020-05-24,87,False
2020-05-31,87,False
2020-06-07,89,False
2020-06-14,86,False
2020-06-21,84,False
2020-06-28,84,False
2020-07-05,91,False
2020-07-12,92,False
2020-07-19,92,False
2020-07-26,90,False
2020-08-02,88,False
2020-08-09,87,False
2020-08-16,89,False
2020-08-23,91,False
2020-08-30,89,False
2020-09-06,94,False
2020-09-13,99,False
2020-09-20,94,False
2020-09-27,96,False
2020-10-04,96,False
2020-10-11,91,False
2020-10-18,88,False
2020-10-25,87,False
2020-11-01,82,False
2020-11-08,87,False
2020-11-15,89,False
2020-11-22,81,False
2020-11-29,87,False
2020-12-06,87,False
2020-12-13,82,False
2020-12-20,77,False
2020-12-27,78,False
2021-01-03,83,False
2021-01-10,86,False
2021-01-17,86,False
2021-01-24,86,False
2021-01-31,90,False
2021-02-07,87,False
2021-02-14,87,False
2021-02-21,91,False
2021-02-28,87,False
2021-03-07,89,False
2021-03-14,86,False
2021-03-21,87,False
2021-03-28,84,False
2021-04-04,89,False
2021-04-11,88,False
2021-04-18,90,False
2021-04-25,88,False
2021-05-02,89,False
2021-05-09,88,False
2021-05-16,91,False
2021-05-23,88,False
2021-05-30,86,False
2021-06-06,89,False
2021-06-13,89,False
2021-06-20,89,False
2021-06-27,87,False
2021-07-04,88,False
2021-07-11,87,False
2021-07-18,89,False
2021-07-25,87,False
2021-08-01,83,False
2021-08-08,88,True
