date,ZBH,isPartial
2016-08-21,38,False
2016-08-28,36,False
2016-09-04,100,False
2016-09-11,45,False
2016-09-18,27,False
2016-09-25,53,False
2016-10-02,52,False
2016-10-09,26,False
2016-10-16,35,False
2016-10-23,26,False
2016-10-30,80,False
2016-11-06,77,False
2016-11-13,26,False
2016-11-20,17,False
2016-11-27,33,False
2016-12-04,82,False
2016-12-11,51,False
2016-12-18,36,False
2016-12-25,36,False
2017-01-01,26,False
2017-01-08,74,False
2017-01-15,57,False
2017-01-22,57,False
2017-01-29,63,False
2017-02-05,72,False
2017-02-12,71,False
2017-02-19,65,False
2017-02-26,39,False
2017-03-05,46,False
2017-03-12,23,False
2017-03-19,16,False
2017-03-26,80,False
2017-04-02,72,False
2017-04-09,25,False
2017-04-16,24,False
2017-04-23,88,False
2017-04-30,24,False
2017-05-07,57,False
2017-05-14,34,False
2017-05-21,17,False
2017-05-28,34,False
2017-06-04,67,False
2017-06-11,52,False
2017-06-18,42,False
2017-06-25,53,False
2017-07-02,27,False
2017-07-09,87,False
2017-07-16,35,False
2017-07-23,26,False
2017-07-30,84,False
2017-08-06,74,False
2017-08-13,67,False
2017-08-20,58,False
2017-08-27,0,False
2017-09-03,17,False
2017-09-10,16,False
2017-09-17,49,False
2017-09-24,32,False
2017-10-01,65,False
2017-10-08,40,False
2017-10-15,49,False
2017-10-22,32,False
2017-10-29,32,False
2017-11-05,54,False
2017-11-12,16,False
2017-11-19,39,False
2017-11-26,54,False
2017-12-03,55,False
2017-12-10,63,False
2017-12-17,66,False
2017-12-24,35,False
2017-12-31,50,False
2018-01-07,54,False
2018-01-14,30,False
2018-01-21,23,False
2018-01-28,60,False
2018-02-04,46,False
2018-02-11,30,False
2018-02-18,23,False
2018-02-25,37,False
2018-03-04,30,False
2018-03-11,30,False
2018-03-18,23,False
2018-03-25,16,False
2018-04-01,15,False
2018-04-08,46,False
2018-04-15,30,False
2018-04-22,38,False
2018-04-29,54,False
2018-05-06,38,False
2018-05-13,69,False
2018-05-20,23,False
2018-05-27,15,False
2018-06-03,38,False
2018-06-10,37,False
2018-06-17,15,False
2018-06-24,30,False
2018-07-01,46,False
2018-07-08,38,False
2018-07-15,39,False
2018-07-22,31,False
2018-07-29,53,False
2018-08-05,23,False
2018-08-12,23,False
2018-08-19,54,False
2018-08-26,23,False
2018-09-02,37,False
2018-09-09,59,False
2018-09-16,66,False
2018-09-23,44,False
2018-09-30,22,False
2018-10-07,45,False
2018-10-14,23,False
2018-10-21,60,False
2018-10-28,37,False
2018-11-04,29,False
2018-11-11,45,False
2018-11-18,22,False
2018-11-25,22,False
2018-12-02,60,False
2018-12-09,45,False
2018-12-16,23,False
2018-12-23,8,False
2018-12-30,41,False
2019-01-06,45,False
2019-01-13,66,False
2019-01-20,44,False
2019-01-27,72,False
2019-02-03,65,False
2019-02-10,36,False
2019-02-17,58,False
2019-02-24,43,False
2019-03-03,15,False
2019-03-10,22,False
2019-03-17,30,False
2019-03-24,44,False
2019-03-31,37,False
2019-04-07,15,False
2019-04-14,23,False
2019-04-21,23,False
2019-04-28,52,False
2019-05-05,44,False
2019-05-12,37,False
2019-05-19,29,False
2019-05-26,29,False
2019-06-02,22,False
2019-06-09,50,False
2019-06-16,44,False
2019-06-23,51,False
2019-06-30,44,False
2019-07-07,29,False
2019-07-14,30,False
2019-07-21,23,False
2019-07-28,75,False
2019-08-04,15,False
2019-08-11,15,False
2019-08-18,44,False
2019-08-25,79,False
2019-09-01,14,False
2019-09-08,49,False
2019-09-15,14,False
2019-09-22,62,False
2019-09-29,21,False
2019-10-06,76,False
2019-10-13,41,False
2019-10-20,34,False
2019-10-27,83,False
2019-11-03,34,False
2019-11-10,41,False
2019-11-17,34,False
2019-11-24,34,False
2019-12-01,62,False
2019-12-08,28,False
2019-12-15,49,False
2019-12-22,45,False
2019-12-29,50,False
2020-01-05,40,False
2020-01-12,45,False
2020-01-19,7,False
2020-01-26,39,False
2020-02-02,52,False
2020-02-09,51,False
2020-02-16,51,False
2020-02-23,50,False
2020-03-01,37,False
2020-03-08,68,False
2020-03-15,36,False
2020-03-22,65,False
2020-03-29,64,False
2020-04-05,72,False
2020-04-12,42,False
2020-04-19,35,False
2020-04-26,41,False
2020-05-03,64,False
2020-05-10,60,False
2020-05-17,42,False
2020-05-24,54,False
2020-05-31,71,False
2020-06-07,84,False
2020-06-14,60,False
2020-06-21,37,False
2020-06-28,94,False
2020-07-05,57,False
2020-07-12,19,False
2020-07-19,65,False
2020-07-26,46,False
2020-08-02,58,False
2020-08-09,51,False
2020-08-16,6,False
2020-08-23,44,False
2020-08-30,49,False
2020-09-06,50,False
2020-09-13,24,False
2020-09-20,37,False
2020-09-27,25,False
2020-10-04,38,False
2020-10-11,0,False
2020-10-18,13,False
2020-10-25,13,False
2020-11-01,68,False
2020-11-08,59,False
2020-11-15,46,False
2020-11-22,59,False
2020-11-29,57,False
2020-12-06,65,False
2020-12-13,46,False
2020-12-20,29,False
2020-12-27,56,False
2021-01-03,45,False
2021-01-10,78,False
2021-01-17,39,False
2021-01-24,46,False
2021-01-31,59,False
2021-02-07,39,False
2021-02-14,33,False
2021-02-21,26,False
2021-02-28,52,False
2021-03-07,32,False
2021-03-14,6,False
2021-03-21,71,False
2021-03-28,20,False
2021-04-04,72,False
2021-04-11,45,False
2021-04-18,39,False
2021-04-25,32,False
2021-05-02,32,False
2021-05-09,53,False
2021-05-16,20,False
2021-05-23,60,False
2021-05-30,33,False
2021-06-06,39,False
2021-06-13,13,False
2021-06-20,87,False
2021-06-27,33,False
2021-07-04,27,False
2021-07-11,34,False
2021-07-18,14,False
2021-07-25,68,False
2021-08-01,41,False
2021-08-08,32,True
