date,ABBV,isPartial
2016-09-18,8,False
2016-09-25,9,False
2016-10-02,4,False
2016-10-09,9,False
2016-10-16,6,False
2016-10-23,15,False
2016-10-30,12,False
2016-11-06,21,False
2016-11-13,25,False
2016-11-20,18,False
2016-11-27,8,False
2016-12-04,17,False
2016-12-11,16,False
2016-12-18,18,False
2016-12-25,16,False
2017-01-01,16,False
2017-01-08,18,False
2017-01-15,15,False
2017-01-22,18,False
2017-01-29,15,False
2017-02-05,16,False
2017-02-12,20,False
2017-02-19,14,False
2017-02-26,11,False
2017-03-05,21,False
2017-03-12,14,False
2017-03-19,20,False
2017-03-26,14,False
2017-04-02,10,False
2017-04-09,9,False
2017-04-16,9,False
2017-04-23,12,False
2017-04-30,14,False
2017-05-07,10,False
2017-05-14,20,False
2017-05-21,12,False
2017-05-28,12,False
2017-06-04,19,False
2017-06-11,11,False
2017-06-18,12,False
2017-06-25,16,False
2017-07-02,9,False
2017-07-09,15,False
2017-07-16,10,False
2017-07-23,16,False
2017-07-30,14,False
2017-08-06,13,False
2017-08-13,10,False
2017-08-20,15,False
2017-08-27,17,False
2017-09-03,28,False
2017-09-10,28,False
2017-09-17,24,False
2017-09-24,21,False
2017-10-01,20,False
2017-10-08,20,False
2017-10-15,23,False
2017-10-22,29,False
2017-10-29,19,False
2017-11-05,24,False
2017-11-12,15,False
2017-11-19,10,False
2017-11-26,21,False
2017-12-03,26,False
2017-12-10,19,False
2017-12-17,19,False
2017-12-24,13,False
2017-12-31,23,False
2018-01-07,33,False
2018-01-14,26,False
2018-01-21,56,False
2018-01-28,41,False
2018-02-04,37,False
2018-02-11,32,False
2018-02-18,29,False
2018-02-25,25,False
2018-03-04,28,False
2018-03-11,31,False
2018-03-18,48,False
2018-03-25,44,False
2018-04-01,28,False
2018-04-08,25,False
2018-04-15,28,False
2018-04-22,24,False
2018-04-29,42,False
2018-05-06,33,False
2018-05-13,28,False
2018-05-20,28,False
2018-05-27,26,False
2018-06-03,30,False
2018-06-10,22,False
2018-06-17,28,False
2018-06-24,23,False
2018-07-01,22,False
2018-07-08,25,False
2018-07-15,35,False
2018-07-22,40,False
2018-07-29,27,False
2018-08-05,28,False
2018-08-12,29,False
2018-08-19,21,False
2018-08-26,18,False
2018-09-02,20,False
2018-09-09,19,False
2018-09-16,31,False
2018-09-23,21,False
2018-09-30,17,False
2018-10-07,25,False
2018-10-14,14,False
2018-10-21,27,False
2018-10-28,26,False
2018-11-04,30,False
2018-11-11,19,False
2018-11-18,18,False
2018-11-25,17,False
2018-12-02,26,False
2018-12-09,14,False
2018-12-16,19,False
2018-12-23,24,False
2018-12-30,21,False
2019-01-06,26,False
2019-01-13,18,False
2019-01-20,34,False
2019-01-27,42,False
2019-02-03,32,False
2019-02-10,22,False
2019-02-17,10,False
2019-02-24,21,False
2019-03-03,23,False
2019-03-10,24,False
2019-03-17,25,False
2019-03-24,23,False
2019-03-31,22,False
2019-04-07,24,False
2019-04-14,23,False
2019-04-21,41,False
2019-04-28,27,False
2019-05-05,26,False
2019-05-12,31,False
2019-05-19,27,False
2019-05-26,15,False
2019-06-02,18,False
2019-06-09,24,False
2019-06-16,15,False
2019-06-23,100,False
2019-06-30,38,False
2019-07-07,47,False
2019-07-14,41,False
2019-07-21,43,False
2019-07-28,33,False
2019-08-04,28,False
2019-08-11,31,False
2019-08-18,44,False
2019-08-25,43,False
2019-09-01,24,False
2019-09-08,37,False
2019-09-15,28,False
2019-09-22,33,False
2019-09-29,31,False
2019-10-06,33,False
2019-10-13,40,False
2019-10-20,40,False
2019-10-27,37,False
2019-11-03,57,False
2019-11-10,39,False
2019-11-17,32,False
2019-11-24,25,False
2019-12-01,24,False
2019-12-08,27,False
2019-12-15,34,False
2019-12-22,29,False
2019-12-29,30,False
2020-01-05,35,False
2020-01-12,37,False
2020-01-19,31,False
2020-01-26,59,False
2020-02-02,64,False
2020-02-09,62,False
2020-02-16,43,False
2020-02-23,52,False
2020-03-01,44,False
2020-03-08,57,False
2020-03-15,59,False
2020-03-22,57,False
2020-03-29,56,False
2020-04-05,37,False
2020-04-12,58,False
2020-04-19,41,False
2020-04-26,49,False
2020-05-03,41,False
2020-05-10,57,False
2020-05-17,48,False
2020-05-24,40,False
2020-05-31,45,False
2020-06-07,57,False
2020-06-14,32,False
2020-06-21,30,False
2020-06-28,33,False
2020-07-05,38,False
2020-07-12,48,False
2020-07-19,46,False
2020-07-26,48,False
2020-08-02,57,False
2020-08-09,37,False
2020-08-16,30,False
2020-08-23,34,False
2020-08-30,44,False
2020-09-06,30,False
2020-09-13,40,False
2020-09-20,40,False
2020-09-27,36,False
2020-10-04,32,False
2020-10-11,33,False
2020-10-18,37,False
2020-10-25,41,False
2020-11-01,46,False
2020-11-08,44,False
2020-11-15,49,False
2020-11-22,42,False
2020-11-29,33,False
2020-12-06,54,False
2020-12-13,37,False
2020-12-20,24,False
2020-12-27,29,False
2021-01-03,35,False
2021-01-10,46,False
2021-01-17,42,False
2021-01-24,35,False
2021-01-31,49,False
2021-02-07,44,False
2021-02-14,48,False
2021-02-21,47,False
2021-02-28,34,False
2021-03-07,36,False
2021-03-14,49,False
2021-03-21,32,False
2021-03-28,34,False
2021-04-04,28,False
2021-04-11,35,False
2021-04-18,29,False
2021-04-25,35,False
2021-05-02,43,False
2021-05-09,41,False
2021-05-16,28,False
2021-05-23,21,False
2021-05-30,28,False
2021-06-06,30,False
2021-06-13,29,False
2021-06-20,27,False
2021-06-27,25,False
2021-07-04,25,False
2021-07-11,29,False
2021-07-18,18,False
2021-07-25,19,False
2021-08-01,40,False
2021-08-08,25,False
2021-08-15,22,False
2021-08-22,26,False
2021-08-29,67,False
2021-09-05,53,True
