date,AMGN,isPartial
2016-10-02,26,False
2016-10-09,15,False
2016-10-16,15,False
2016-10-23,42,False
2016-10-30,60,False
2016-11-06,68,False
2016-11-13,53,False
2016-11-20,44,False
2016-11-27,28,False
2016-12-04,44,False
2016-12-11,43,False
2016-12-18,39,False
2016-12-25,25,False
2017-01-01,67,False
2017-01-08,61,False
2017-01-15,22,False
2017-01-22,30,False
2017-01-29,87,False
2017-02-05,52,False
2017-02-12,53,False
2017-02-19,30,False
2017-02-26,58,False
2017-03-05,40,False
2017-03-12,79,False
2017-03-19,38,False
2017-03-26,41,False
2017-04-02,43,False
2017-04-09,31,False
2017-04-16,14,False
2017-04-23,59,False
2017-04-30,22,False
2017-05-07,27,False
2017-05-14,46,False
2017-05-21,23,False
2017-05-28,29,False
2017-06-04,34,False
2017-06-11,32,False
2017-06-18,47,False
2017-06-25,45,False
2017-07-02,36,False
2017-07-09,29,False
2017-07-16,41,False
2017-07-23,69,False
2017-07-30,28,False
2017-08-06,45,False
2017-08-13,37,False
2017-08-20,28,False
2017-08-27,47,False
2017-09-03,34,False
2017-09-10,49,False
2017-09-17,19,False
2017-09-24,48,False
2017-10-01,39,False
2017-10-08,38,False
2017-10-15,69,False
2017-10-22,73,False
2017-10-29,27,False
2017-11-05,56,False
2017-11-12,29,False
2017-11-19,27,False
2017-11-26,42,False
2017-12-03,24,False
2017-12-10,30,False
2017-12-17,25,False
2017-12-24,3,False
2017-12-31,41,False
2018-01-07,55,False
2018-01-14,31,False
2018-01-21,44,False
2018-01-28,100,False
2018-02-04,62,False
2018-02-11,33,False
2018-02-18,28,False
2018-02-25,28,False
2018-03-04,46,False
2018-03-11,35,False
2018-03-18,33,False
2018-03-25,29,False
2018-04-01,34,False
2018-04-08,15,False
2018-04-15,34,False
2018-04-22,67,False
2018-04-29,40,False
2018-05-06,34,False
2018-05-13,38,False
2018-05-20,45,False
2018-05-27,37,False
2018-06-03,31,False
2018-06-10,35,False
2018-06-17,18,False
2018-06-24,26,False
2018-07-01,36,False
2018-07-08,49,False
2018-07-15,34,False
2018-07-22,53,False
2018-07-29,23,False
2018-08-05,43,False
2018-08-12,29,False
2018-08-19,24,False
2018-08-26,48,False
2018-09-02,25,False
2018-09-09,37,False
2018-09-16,37,False
2018-09-23,50,False
2018-09-30,43,False
2018-10-07,36,False
2018-10-14,20,False
2018-10-21,43,False
2018-10-28,33,False
2018-11-04,25,False
2018-11-11,30,False
2018-11-18,25,False
2018-11-25,35,False
2018-12-02,35,False
2018-12-09,44,False
2018-12-16,29,False
2018-12-23,40,False
2018-12-30,27,False
2019-01-06,23,False
2019-01-13,18,False
2019-01-20,30,False
2019-01-27,66,False
2019-02-03,34,False
2019-02-10,42,False
2019-02-17,32,False
2019-02-24,45,False
2019-03-03,35,False
2019-03-10,25,False
2019-03-17,23,False
2019-03-24,32,False
2019-03-31,40,False
2019-04-07,40,False
2019-04-14,39,False
2019-04-21,38,False
2019-04-28,48,False
2019-05-05,60,False
2019-05-12,53,False
2019-05-19,10,False
2019-05-26,10,False
2019-06-02,32,False
2019-06-09,34,False
2019-06-16,35,False
2019-06-23,20,False
2019-06-30,8,False
2019-07-07,37,False
2019-07-14,35,False
2019-07-21,39,False
2019-07-28,59,False
2019-08-04,46,False
2019-08-11,58,False
2019-08-18,27,False
2019-08-25,61,False
2019-09-01,24,False
2019-09-08,43,False
2019-09-15,31,False
2019-09-22,33,False
2019-09-29,17,False
2019-10-06,33,False
2019-10-13,19,False
2019-10-20,35,False
2019-10-27,63,False
2019-11-03,27,False
2019-11-10,23,False
2019-11-17,46,False
2019-11-24,21,False
2019-12-01,34,False
2019-12-08,14,False
2019-12-15,82,False
2019-12-22,18,False
2019-12-29,27,False
2020-01-05,25,False
2020-01-12,37,False
2020-01-19,23,False
2020-01-26,49,False
2020-02-02,44,False
2020-02-09,42,False
2020-02-16,26,False
2020-02-23,28,False
2020-03-01,32,False
2020-03-08,57,False
2020-03-15,46,False
2020-03-22,20,False
2020-03-29,42,False
2020-04-05,18,False
2020-04-12,52,False
2020-04-19,36,False
2020-04-26,56,False
2020-05-03,34,False
2020-05-10,32,False
2020-05-17,37,False
2020-05-24,41,False
2020-05-31,34,False
2020-06-07,35,False
2020-06-14,37,False
2020-06-21,19,False
2020-06-28,51,False
2020-07-05,64,False
2020-07-12,22,False
2020-07-19,42,False
2020-07-26,33,False
2020-08-02,44,False
2020-08-09,30,False
2020-08-16,32,False
2020-08-23,88,False
2020-08-30,48,False
2020-09-06,23,False
2020-09-13,27,False
2020-09-20,25,False
2020-09-27,36,False
2020-10-04,54,False
2020-10-11,34,False
2020-10-18,29,False
2020-10-25,42,False
2020-11-01,40,False
2020-11-08,26,False
2020-11-15,38,False
2020-11-22,29,False
2020-11-29,30,False
2020-12-06,26,False
2020-12-13,44,False
2020-12-20,19,False
2020-12-27,31,False
2021-01-03,31,False
2021-01-10,35,False
2021-01-17,20,False
2021-01-24,44,False
2021-01-31,42,False
2021-02-07,33,False
2021-02-14,24,False
2021-02-21,24,False
2021-02-28,40,False
2021-03-07,33,False
2021-03-14,21,False
2021-03-21,13,False
2021-03-28,25,False
2021-04-04,16,False
2021-04-11,33,False
2021-04-18,18,False
2021-04-25,46,False
2021-05-02,26,False
2021-05-09,22,False
2021-05-16,16,False
2021-05-23,50,False
2021-05-30,23,False
2021-06-06,38,False
2021-06-13,16,False
2021-06-20,16,False
2021-06-27,20,False
2021-07-04,21,False
2021-07-11,25,False
2021-07-18,19,False
2021-07-25,25,False
2021-08-01,60,False
2021-08-08,26,False
2021-08-15,34,False
2021-08-22,22,False
2021-08-29,28,False
2021-09-05,24,False
2021-09-12,34,False
2021-09-19,28,True
