date,AVGO,isPartial
2016-09-11,15,False
2016-09-18,16,False
2016-09-25,14,False
2016-10-02,14,False
2016-10-09,13,False
2016-10-16,10,False
2016-10-23,13,False
2016-10-30,14,False
2016-11-06,13,False
2016-11-13,18,False
2016-11-20,13,False
2016-11-27,15,False
2016-12-04,20,False
2016-12-11,16,False
2016-12-18,20,False
2016-12-25,15,False
2017-01-01,11,False
2017-01-08,15,False
2017-01-15,12,False
2017-01-22,37,False
2017-01-29,27,False
2017-02-05,20,False
2017-02-12,17,False
2017-02-19,19,False
2017-02-26,40,False
2017-03-05,18,False
2017-03-12,28,False
2017-03-19,30,False
2017-03-26,23,False
2017-04-02,22,False
2017-04-09,20,False
2017-04-16,15,False
2017-04-23,23,False
2017-04-30,19,False
2017-05-07,24,False
2017-05-14,27,False
2017-05-21,35,False
2017-05-28,51,False
2017-06-04,19,False
2017-06-11,31,False
2017-06-18,22,False
2017-06-25,23,False
2017-07-02,22,False
2017-07-09,20,False
2017-07-16,28,False
2017-07-23,27,False
2017-07-30,30,False
2017-08-06,20,False
2017-08-13,29,False
2017-08-20,49,False
2017-08-27,34,False
2017-09-03,24,False
2017-09-10,25,False
2017-09-17,34,False
2017-09-24,21,False
2017-10-01,24,False
2017-10-08,26,False
2017-10-15,24,False
2017-10-22,24,False
2017-10-29,57,False
2017-11-05,47,False
2017-11-12,24,False
2017-11-19,22,False
2017-11-26,40,False
2017-12-03,70,False
2017-12-10,32,False
2017-12-17,27,False
2017-12-24,24,False
2017-12-31,28,False
2018-01-07,34,False
2018-01-14,40,False
2018-01-21,26,False
2018-01-28,44,False
2018-02-04,45,False
2018-02-11,28,False
2018-02-18,32,False
2018-02-25,32,False
2018-03-04,46,False
2018-03-11,80,False
2018-03-18,50,False
2018-03-25,37,False
2018-04-01,52,False
2018-04-08,42,False
2018-04-15,32,False
2018-04-22,30,False
2018-04-29,31,False
2018-05-06,25,False
2018-05-13,25,False
2018-05-20,21,False
2018-05-27,34,False
2018-06-03,55,False
2018-06-10,42,False
2018-06-17,26,False
2018-06-24,23,False
2018-07-01,18,False
2018-07-08,80,False
2018-07-15,100,False
2018-07-22,67,False
2018-07-29,59,False
2018-08-05,34,False
2018-08-12,33,False
2018-08-19,26,False
2018-08-26,39,False
2018-09-02,67,False
2018-09-09,48,False
2018-09-16,39,False
2018-09-23,37,False
2018-09-30,33,False
2018-10-07,33,False
2018-10-14,32,False
2018-10-21,32,False
2018-10-28,27,False
2018-11-04,32,False
2018-11-11,32,False
2018-11-18,23,False
2018-11-25,27,False
2018-12-02,55,False
2018-12-09,57,False
2018-12-16,45,False
2018-12-23,40,False
2018-12-30,43,False
2019-01-06,44,False
2019-01-13,35,False
2019-01-20,37,False
2019-01-27,39,False
2019-02-03,43,False
2019-02-10,29,False
2019-02-17,38,False
2019-02-24,34,False
2019-03-03,32,False
2019-03-10,65,False
2019-03-17,68,False
2019-03-24,41,False
2019-03-31,31,False
2019-04-07,34,False
2019-04-14,32,False
2019-04-21,23,False
2019-04-28,37,False
2019-05-05,39,False
2019-05-12,36,False
2019-05-19,54,False
2019-05-26,38,False
2019-06-02,42,False
2019-06-09,88,False
2019-06-16,51,False
2019-06-23,49,False
2019-06-30,54,False
2019-07-07,45,False
2019-07-14,37,False
2019-07-21,46,False
2019-07-28,48,False
2019-08-04,31,False
2019-08-11,40,False
2019-08-18,31,False
2019-08-25,35,False
2019-09-01,30,False
2019-09-08,62,False
2019-09-15,48,False
2019-09-22,43,False
2019-09-29,37,False
2019-10-06,36,False
2019-10-13,33,False
2019-10-20,27,False
2019-10-27,31,False
2019-11-03,54,False
2019-11-10,27,False
2019-11-17,50,False
2019-11-24,27,False
2019-12-01,50,False
2019-12-08,55,False
2019-12-15,62,False
2019-12-22,40,False
2019-12-29,33,False
2020-01-05,40,False
2020-01-12,41,False
2020-01-19,47,False
2020-01-26,47,False
2020-02-02,41,False
2020-02-09,38,False
2020-02-16,32,False
2020-02-23,45,False
2020-03-01,47,False
2020-03-08,75,False
2020-03-15,74,False
2020-03-22,68,False
2020-03-29,49,False
2020-04-05,56,False
2020-04-12,47,False
2020-04-19,35,False
2020-04-26,43,False
2020-05-03,41,False
2020-05-10,26,False
2020-05-17,38,False
2020-05-24,40,False
2020-05-31,62,False
2020-06-07,46,False
2020-06-14,66,False
2020-06-21,33,False
2020-06-28,35,False
2020-07-05,40,False
2020-07-12,34,False
2020-07-19,31,False
2020-07-26,38,False
2020-08-02,35,False
2020-08-09,40,False
2020-08-16,29,False
2020-08-23,45,False
2020-08-30,97,False
2020-09-06,44,False
2020-09-13,40,False
2020-09-20,30,False
2020-09-27,34,False
2020-10-04,33,False
2020-10-11,24,False
2020-10-18,30,False
2020-10-25,28,False
2020-11-01,24,False
2020-11-08,31,False
2020-11-15,32,False
2020-11-22,26,False
2020-11-29,39,False
2020-12-06,58,False
2020-12-13,34,False
2020-12-20,22,False
2020-12-27,30,False
2021-01-03,29,False
2021-01-10,30,False
2021-01-17,36,False
2021-01-24,30,False
2021-01-31,24,False
2021-02-07,28,False
2021-02-14,28,False
2021-02-21,41,False
2021-02-28,46,False
2021-03-07,30,False
2021-03-14,39,False
2021-03-21,33,False
2021-03-28,31,False
2021-04-04,32,False
2021-04-11,33,False
2021-04-18,23,False
2021-04-25,25,False
2021-05-02,22,False
2021-05-09,24,False
2021-05-16,25,False
2021-05-23,29,False
2021-05-30,35,False
2021-06-06,28,False
2021-06-13,28,False
2021-06-20,23,False
2021-06-27,22,False
2021-07-04,20,False
2021-07-11,30,False
2021-07-18,26,False
2021-07-25,20,False
2021-08-01,27,False
2021-08-08,23,False
2021-08-15,19,False
2021-08-22,22,False
2021-08-29,43,True
