date,BA,isPartial
2016-09-11,80,False
2016-09-18,86,False
2016-09-25,88,False
2016-10-02,94,False
2016-10-09,80,False
2016-10-16,83,False
2016-10-23,86,False
2016-10-30,80,False
2016-11-06,83,False
2016-11-13,79,False
2016-11-20,90,False
2016-11-27,86,False
2016-12-04,79,False
2016-12-11,82,False
2016-12-18,84,False
2016-12-25,78,False
2017-01-01,81,False
2017-01-08,79,False
2017-01-15,79,False
2017-01-22,79,False
2017-01-29,82,False
2017-02-05,83,False
2017-02-12,86,False
2017-02-19,86,False
2017-02-26,88,False
2017-03-05,88,False
2017-03-12,84,False
2017-03-19,87,False
2017-03-26,84,False
2017-04-02,84,False
2017-04-09,82,False
2017-04-16,79,False
2017-04-23,83,False
2017-04-30,81,False
2017-05-07,82,False
2017-05-14,83,False
2017-05-21,86,False
2017-05-28,94,False
2017-06-04,92,False
2017-06-11,97,False
2017-06-18,97,False
2017-06-25,96,False
2017-07-02,93,False
2017-07-09,87,False
2017-07-16,87,False
2017-07-23,86,False
2017-07-30,87,False
2017-08-06,83,False
2017-08-13,82,False
2017-08-20,86,False
2017-08-27,79,False
2017-09-03,77,False
2017-09-10,77,False
2017-09-17,77,False
2017-09-24,77,False
2017-10-01,75,False
2017-10-08,74,False
2017-10-15,72,False
2017-10-22,76,False
2017-10-29,73,False
2017-11-05,75,False
2017-11-12,77,False
2017-11-19,74,False
2017-11-26,75,False
2017-12-03,73,False
2017-12-10,77,False
2017-12-17,71,False
2017-12-24,71,False
2017-12-31,75,False
2018-01-07,74,False
2018-01-14,75,False
2018-01-21,74,False
2018-01-28,76,False
2018-02-04,73,False
2018-02-11,71,False
2018-02-18,82,False
2018-02-25,85,False
2018-03-04,84,False
2018-03-11,85,False
2018-03-18,83,False
2018-03-25,80,False
2018-04-01,81,False
2018-04-08,81,False
2018-04-15,80,False
2018-04-22,81,False
2018-04-29,81,False
2018-05-06,78,False
2018-05-13,79,False
2018-05-20,83,False
2018-05-27,91,False
2018-06-03,89,False
2018-06-10,87,False
2018-06-17,88,False
2018-06-24,97,False
2018-07-01,89,False
2018-07-08,89,False
2018-07-15,86,False
2018-07-22,84,False
2018-07-29,79,False
2018-08-05,81,False
2018-08-12,82,False
2018-08-19,76,False
2018-08-26,80,False
2018-09-02,79,False
2018-09-09,82,False
2018-09-16,77,False
2018-09-23,76,False
2018-09-30,75,False
2018-10-07,80,False
2018-10-14,77,False
2018-10-21,75,False
2018-10-28,76,False
2018-11-04,71,False
2018-11-11,73,False
2018-11-18,75,False
2018-11-25,75,False
2018-12-02,74,False
2018-12-09,74,False
2018-12-16,77,False
2018-12-23,76,False
2018-12-30,76,False
2019-01-06,84,False
2019-01-13,83,False
2019-01-20,85,False
2019-01-27,86,False
2019-02-03,86,False
2019-02-10,88,False
2019-02-17,88,False
2019-02-24,89,False
2019-03-03,87,False
2019-03-10,96,False
2019-03-17,98,False
2019-03-24,96,False
2019-03-31,90,False
2019-04-07,87,False
2019-04-14,88,False
2019-04-21,85,False
2019-04-28,84,False
2019-05-05,84,False
2019-05-12,93,False
2019-05-19,96,False
2019-05-26,100,False
2019-06-02,93,False
2019-06-09,86,False
2019-06-16,90,False
2019-06-23,98,False
2019-06-30,86,False
2019-07-07,85,False
2019-07-14,80,False
2019-07-21,85,False
2019-07-28,87,False
2019-08-04,82,False
2019-08-11,79,False
2019-08-18,79,False
2019-08-25,81,False
2019-09-01,80,False
2019-09-08,80,False
2019-09-15,75,False
2019-09-22,78,False
2019-09-29,75,False
2019-10-06,75,False
2019-10-13,78,False
2019-10-20,74,False
2019-10-27,74,False
2019-11-03,72,False
2019-11-10,73,False
2019-11-17,73,False
2019-11-24,75,False
2019-12-01,72,False
2019-12-08,70,False
2019-12-15,69,False
2019-12-22,69,False
2019-12-29,76,False
2020-01-05,82,False
2020-01-12,78,False
2020-01-19,77,False
2020-01-26,77,False
2020-02-02,78,False
2020-02-09,81,False
2020-02-16,79,False
2020-02-23,74,False
2020-03-01,80,False
2020-03-08,78,False
2020-03-15,77,False
2020-03-22,70,False
2020-03-29,67,False
2020-04-05,63,False
2020-04-12,66,False
2020-04-19,63,False
2020-04-26,66,False
2020-05-03,65,False
2020-05-10,67,False
2020-05-17,65,False
2020-05-24,66,False
2020-05-31,70,False
2020-06-07,74,False
2020-06-14,70,False
2020-06-21,69,False
2020-06-28,71,False
2020-07-05,69,False
2020-07-12,71,False
2020-07-19,71,False
2020-07-26,72,False
2020-08-02,71,False
2020-08-09,71,False
2020-08-16,70,False
2020-08-23,70,False
2020-08-30,74,False
2020-09-06,74,False
2020-09-13,72,False
2020-09-20,73,False
2020-09-27,72,False
2020-10-04,77,False
2020-10-11,74,False
2020-10-18,77,False
2020-10-25,76,False
2020-11-01,72,False
2020-11-08,76,False
2020-11-15,82,False
2020-11-22,76,False
2020-11-29,75,False
2020-12-06,76,False
2020-12-13,71,False
2020-12-20,67,False
2020-12-27,68,False
2021-01-03,71,False
2021-01-10,71,False
2021-01-17,70,False
2021-01-24,70,False
2021-01-31,70,False
2021-02-07,69,False
2021-02-14,70,False
2021-02-21,74,False
2021-02-28,74,False
2021-03-07,73,False
2021-03-14,75,False
2021-03-21,73,False
2021-03-28,70,False
2021-04-04,73,False
2021-04-11,73,False
2021-04-18,71,False
2021-04-25,69,False
2021-05-02,71,False
2021-05-09,71,False
2021-05-16,72,False
2021-05-23,73,False
2021-05-30,72,False
2021-06-06,76,False
2021-06-13,81,False
2021-06-20,76,False
2021-06-27,71,False
2021-07-04,73,False
2021-07-11,72,False
2021-07-18,69,False
2021-07-25,74,False
2021-08-01,76,False
2021-08-08,70,False
2021-08-15,69,False
2021-08-22,70,False
2021-08-29,74,True
