date,BIIB,isPartial
2016-09-11,10,False
2016-09-18,6,False
2016-09-25,7,False
2016-10-02,7,False
2016-10-09,4,False
2016-10-16,8,False
2016-10-23,9,False
2016-10-30,7,False
2016-11-06,14,False
2016-11-13,8,False
2016-11-20,6,False
2016-11-27,5,False
2016-12-04,17,False
2016-12-11,12,False
2016-12-18,9,False
2016-12-25,9,False
2017-01-01,5,False
2017-01-08,8,False
2017-01-15,6,False
2017-01-22,12,False
2017-01-29,8,False
2017-02-05,7,False
2017-02-12,9,False
2017-02-19,5,False
2017-02-26,9,False
2017-03-05,6,False
2017-03-12,8,False
2017-03-19,4,False
2017-03-26,12,False
2017-04-02,8,False
2017-04-09,7,False
2017-04-16,7,False
2017-04-23,10,False
2017-04-30,8,False
2017-05-07,7,False
2017-05-14,7,False
2017-05-21,8,False
2017-05-28,5,False
2017-06-04,7,False
2017-06-11,7,False
2017-06-18,10,False
2017-06-25,7,False
2017-07-02,6,False
2017-07-09,5,False
2017-07-16,9,False
2017-07-23,13,False
2017-07-30,5,False
2017-08-06,5,False
2017-08-13,6,False
2017-08-20,4,False
2017-08-27,11,False
2017-09-03,8,False
2017-09-10,6,False
2017-09-17,5,False
2017-09-24,4,False
2017-10-01,5,False
2017-10-08,7,False
2017-10-15,7,False
2017-10-22,7,False
2017-10-29,5,False
2017-11-05,6,False
2017-11-12,4,False
2017-11-19,3,False
2017-11-26,5,False
2017-12-03,6,False
2017-12-10,5,False
2017-12-17,10,False
2017-12-24,5,False
2017-12-31,4,False
2018-01-07,7,False
2018-01-14,6,False
2018-01-21,12,False
2018-01-28,7,False
2018-02-04,8,False
2018-02-11,7,False
2018-02-18,4,False
2018-02-25,5,False
2018-03-04,5,False
2018-03-11,6,False
2018-03-18,5,False
2018-03-25,6,False
2018-04-01,8,False
2018-04-08,5,False
2018-04-15,6,False
2018-04-22,8,False
2018-04-29,6,False
2018-05-06,4,False
2018-05-13,8,False
2018-05-20,2,False
2018-05-27,4,False
2018-06-03,8,False
2018-06-10,5,False
2018-06-17,3,False
2018-06-24,1,False
2018-07-01,16,False
2018-07-08,14,False
2018-07-15,9,False
2018-07-22,25,False
2018-07-29,11,False
2018-08-05,7,False
2018-08-12,5,False
2018-08-19,6,False
2018-08-26,4,False
2018-09-02,5,False
2018-09-09,3,False
2018-09-16,4,False
2018-09-23,4,False
2018-09-30,8,False
2018-10-07,7,False
2018-10-14,7,False
2018-10-21,6,False
2018-10-28,4,False
2018-11-04,4,False
2018-11-11,5,False
2018-11-18,3,False
2018-11-25,8,False
2018-12-02,3,False
2018-12-09,4,False
2018-12-16,4,False
2018-12-23,3,False
2018-12-30,4,False
2019-01-06,5,False
2019-01-13,5,False
2019-01-20,4,False
2019-01-27,8,False
2019-02-03,6,False
2019-02-10,6,False
2019-02-17,6,False
2019-02-24,6,False
2019-03-03,4,False
2019-03-10,4,False
2019-03-17,40,False
2019-03-24,25,False
2019-03-31,14,False
2019-04-07,11,False
2019-04-14,9,False
2019-04-21,14,False
2019-04-28,9,False
2019-05-05,7,False
2019-05-12,7,False
2019-05-19,7,False
2019-05-26,6,False
2019-06-02,5,False
2019-06-09,5,False
2019-06-16,6,False
2019-06-23,5,False
2019-06-30,4,False
2019-07-07,2,False
2019-07-14,6,False
2019-07-21,8,False
2019-07-28,7,False
2019-08-04,5,False
2019-08-11,7,False
2019-08-18,6,False
2019-08-25,5,False
2019-09-01,5,False
2019-09-08,5,False
2019-09-15,7,False
2019-09-22,5,False
2019-09-29,7,False
2019-10-06,3,False
2019-10-13,5,False
2019-10-20,45,False
2019-10-27,16,False
2019-11-03,9,False
2019-11-10,10,False
