date,BLK,isPartial
2016-10-02,77,False
2016-10-09,79,False
2016-10-16,79,False
2016-10-23,82,False
2016-10-30,81,False
2016-11-06,76,False
2016-11-13,87,False
2016-11-20,89,False
2016-11-27,88,False
2016-12-04,78,False
2016-12-11,81,False
2016-12-18,77,False
2016-12-25,74,False
2017-01-01,81,False
2017-01-08,88,False
2017-01-15,81,False
2017-01-22,78,False
2017-01-29,77,False
2017-02-05,77,False
2017-02-12,75,False
2017-02-19,82,False
2017-02-26,82,False
2017-03-05,71,False
2017-03-12,78,False
2017-03-19,79,False
2017-03-26,84,False
2017-04-02,83,False
2017-04-09,80,False
2017-04-16,82,False
2017-04-23,83,False
2017-04-30,80,False
2017-05-07,81,False
2017-05-14,79,False
2017-05-21,82,False
2017-05-28,87,False
2017-06-04,75,False
2017-06-11,81,False
2017-06-18,84,False
2017-06-25,85,False
2017-07-02,85,False
2017-07-09,85,False
2017-07-16,86,False
2017-07-23,86,False
2017-07-30,90,False
2017-08-06,86,False
2017-08-13,79,False
2017-08-20,95,False
2017-08-27,81,False
2017-09-03,81,False
2017-09-10,83,False
2017-09-17,83,False
2017-09-24,93,False
2017-10-01,83,False
2017-10-08,93,False
2017-10-15,87,False
2017-10-22,91,False
2017-10-29,98,False
2017-11-05,88,False
2017-11-12,92,False
2017-11-19,90,False
2017-11-26,100,False
2017-12-03,97,False
2017-12-10,88,False
2017-12-17,89,False
2017-12-24,100,False
2017-12-31,83,False
2018-01-07,81,False
2018-01-14,87,False
2018-01-21,89,False
2018-01-28,86,False
2018-02-04,87,False
2018-02-11,82,False
2018-02-18,86,False
2018-02-25,87,False
2018-03-04,86,False
2018-03-11,88,False
2018-03-18,82,False
2018-03-25,85,False
2018-04-01,86,False
2018-04-08,89,False
2018-04-15,86,False
2018-04-22,79,False
2018-04-29,83,False
2018-05-06,86,False
2018-05-13,79,False
2018-05-20,74,False
2018-05-27,86,False
2018-06-03,82,False
2018-06-10,78,False
2018-06-17,82,False
2018-06-24,83,False
2018-07-01,83,False
2018-07-08,85,False
2018-07-15,86,False
2018-07-22,79,False
2018-07-29,87,False
2018-08-05,80,False
2018-08-12,88,False
2018-08-19,86,False
2018-08-26,79,False
2018-09-02,86,False
2018-09-09,77,False
2018-09-16,78,False
2018-09-23,84,False
2018-09-30,79,False
2018-10-07,83,False
2018-10-14,83,False
2018-10-21,83,False
2018-10-28,81,False
2018-11-04,81,False
2018-11-11,91,False
2018-11-18,96,False
2018-11-25,85,False
2018-12-02,81,False
2018-12-09,80,False
2018-12-16,78,False
2018-12-23,77,False
2018-12-30,91,False
2019-01-06,85,False
2019-01-13,86,False
2019-01-20,86,False
2019-01-27,78,False
2019-02-03,79,False
2019-02-10,80,False
2019-02-17,84,False
2019-02-24,82,False
2019-03-03,81,False
2019-03-10,83,False
2019-03-17,89,False
2019-03-24,79,False
2019-03-31,94,False
2019-04-07,85,False
2019-04-14,83,False
2019-04-21,75,False
2019-04-28,80,False
2019-05-05,81,False
2019-05-12,81,False
2019-05-19,83,False
2019-05-26,82,False
2019-06-02,77,False
2019-06-09,83,False
2019-06-16,87,False
2019-06-23,85,False
2019-06-30,90,False
2019-07-07,89,False
2019-07-14,87,False
2019-07-21,94,False
2019-07-28,86,False
2019-08-04,84,False
2019-08-11,88,False
2019-08-18,83,False
2019-08-25,80,False
2019-09-01,86,False
2019-09-08,87,False
2019-09-15,83,False
2019-09-22,91,False
2019-09-29,92,False
2019-10-06,84,False
2019-10-13,87,False
2019-10-20,77,False
2019-10-27,88,False
2019-11-03,82,False
2019-11-10,90,False
2019-11-17,84,False
2019-11-24,89,False
2019-12-01,88,False
2019-12-08,80,False
2019-12-15,83,False
2019-12-22,89,False
2019-12-29,84,False
2020-01-05,90,False
2020-01-12,88,False
2020-01-19,93,False
2020-01-26,83,False
2020-02-02,84,False
2020-02-09,89,False
2020-02-16,90,False
2020-02-23,83,False
2020-03-01,74,False
2020-03-08,78,False
2020-03-15,74,False
2020-03-22,81,False
2020-03-29,70,False
2020-04-05,71,False
2020-04-12,70,False
2020-04-19,67,False
2020-04-26,66,False
2020-05-03,74,False
2020-05-10,82,False
2020-05-17,76,False
2020-05-24,76,False
2020-05-31,89,False
2020-06-07,97,False
2020-06-14,89,False
2020-06-21,95,False
2020-06-28,96,False
2020-07-05,94,False
2020-07-12,92,False
2020-07-19,94,False
2020-07-26,91,False
2020-08-02,91,False
2020-08-09,95,False
2020-08-16,85,False
2020-08-23,90,False
2020-08-30,88,False
2020-09-06,84,False
2020-09-13,85,False
2020-09-20,86,False
2020-09-27,80,False
2020-10-04,83,False
2020-10-11,86,False
2020-10-18,81,False
2020-10-25,89,False
