date,BRK.B stock,isPartial
2016-08-21,7,False
2016-08-28,4,False
2016-09-04,9,False
2016-09-11,8,False
2016-09-18,21,False
2016-09-25,6,False
2016-10-02,8,False
2016-10-09,0,False
2016-10-16,4,False
2016-10-23,2,False
2016-10-30,6,False
2016-11-06,14,False
2016-11-13,26,False
2016-11-20,8,False
2016-11-27,12,False
2016-12-04,8,False
2016-12-11,21,False
2016-12-18,8,False
2016-12-25,9,False
2017-01-01,6,False
2017-01-08,13,False
2017-01-15,4,False
2017-01-22,9,False
2017-01-29,17,False
2017-02-05,11,False
2017-02-12,17,False
2017-02-19,11,False
2017-02-26,15,False
2017-03-05,20,False
2017-03-12,14,False
2017-03-19,15,False
2017-03-26,20,False
2017-04-02,11,False
2017-04-09,12,False
2017-04-16,17,False
2017-04-23,15,False
2017-04-30,15,False
2017-05-07,9,False
2017-05-14,10,False
2017-05-21,14,False
2017-05-28,8,False
2017-06-04,8,False
2017-06-11,12,False
2017-06-18,10,False
2017-06-25,20,False
2017-07-02,8,False
2017-07-09,16,False
2017-07-16,20,False
2017-07-23,24,False
2017-07-30,24,False
2017-08-06,19,False
2017-08-13,10,False
2017-08-20,2,False
2017-08-27,10,False
2017-09-03,10,False
2017-09-10,13,False
2017-09-17,23,False
2017-09-24,17,False
2017-10-01,17,False
2017-10-08,17,False
2017-10-15,9,False
2017-10-22,11,False
2017-10-29,15,False
2017-11-05,15,False
2017-11-12,24,False
2017-11-19,11,False
2017-11-26,13,False
2017-12-03,22,False
2017-12-10,20,False
2017-12-17,19,False
2017-12-24,22,False
2017-12-31,25,False
2018-01-07,36,False
2018-01-14,31,False
2018-01-21,35,False
2018-01-28,27,False
2018-02-04,39,False
2018-02-11,39,False
2018-02-18,30,False
2018-02-25,38,False
2018-03-04,26,False
2018-03-11,14,False
2018-03-18,32,False
2018-03-25,20,False
2018-04-01,29,False
2018-04-08,23,False
2018-04-15,25,False
2018-04-22,23,False
2018-04-29,25,False
2018-05-06,16,False
2018-05-13,11,False
2018-05-20,13,False
2018-05-27,9,False
2018-06-03,7,False
2018-06-10,17,False
2018-06-17,25,False
2018-06-24,12,False
2018-07-01,13,False
2018-07-08,12,False
2018-07-15,16,False
2018-07-22,11,False
2018-07-29,25,False
2018-08-05,28,False
2018-08-12,28,False
2018-08-19,4,False
2018-08-26,23,False
2018-09-02,16,False
2018-09-09,21,False
2018-09-16,22,False
2018-09-23,14,False
2018-09-30,17,False
2018-10-07,28,False
2018-10-14,23,False
2018-10-21,23,False
2018-10-28,18,False
2018-11-04,24,False
2018-11-11,28,False
2018-11-18,9,False
2018-11-25,26,False
2018-12-02,33,False
2018-12-09,35,False
2018-12-16,23,False
2018-12-23,29,False
2018-12-30,19,False
2019-01-06,10,False
2019-01-13,17,False
2019-01-20,22,False
2019-01-27,20,False
2019-02-03,15,False
2019-02-10,15,False
2019-02-17,25,False
