date,CL,isPartial
2016-09-25,55,False
2016-10-02,50,False
2016-10-09,49,False
2016-10-16,54,False
2016-10-23,47,False
2016-10-30,53,False
2016-11-06,48,False
2016-11-13,48,False
2016-11-20,51,False
2016-11-27,47,False
2016-12-04,51,False
2016-12-11,50,False
2016-12-18,46,False
2016-12-25,51,False
2017-01-01,50,False
2017-01-08,49,False
2017-01-15,45,False
2017-01-22,48,False
2017-01-29,49,False
2017-02-05,50,False
2017-02-12,53,False
2017-02-19,52,False
2017-02-26,51,False
2017-03-05,55,False
2017-03-12,58,False
2017-03-19,51,False
2017-03-26,52,False
2017-04-02,47,False
2017-04-09,54,False
2017-04-16,57,False
2017-04-23,48,False
2017-04-30,53,False
2017-05-07,55,False
2017-05-14,49,False
2017-05-21,52,False
2017-05-28,66,False
2017-06-04,52,False
2017-06-11,53,False
2017-06-18,51,False
2017-06-25,47,False
2017-07-02,46,False
2017-07-09,45,False
2017-07-16,47,False
2017-07-23,46,False
2017-07-30,46,False
2017-08-06,43,False
2017-08-13,48,False
2017-08-20,56,False
2017-08-27,50,False
2017-09-03,50,False
2017-09-10,57,False
2017-09-17,49,False
2017-09-24,59,False
2017-10-01,52,False
2017-10-08,47,False
2017-10-15,57,False
2017-10-22,52,False
2017-10-29,60,False
2017-11-05,57,False
2017-11-12,53,False
2017-11-19,62,False
2017-11-26,53,False
2017-12-03,59,False
2017-12-10,61,False
2017-12-17,52,False
2017-12-24,51,False
2017-12-31,49,False
2018-01-07,51,False
2018-01-14,50,False
2018-01-21,51,False
2018-01-28,52,False
2018-02-04,54,False
2018-02-11,56,False
2018-02-18,53,False
2018-02-25,61,False
2018-03-04,57,False
2018-03-11,63,False
2018-03-18,49,False
2018-03-25,52,False
2018-04-01,59,False
2018-04-08,69,False
2018-04-15,51,False
2018-04-22,58,False
2018-04-29,59,False
2018-05-06,52,False
2018-05-13,52,False
2018-05-20,69,False
2018-05-27,57,False
2018-06-03,47,False
2018-06-10,46,False
2018-06-17,46,False
2018-06-24,47,False
2018-07-01,51,False
2018-07-08,48,False
2018-07-15,47,False
2018-07-22,50,False
2018-07-29,58,False
2018-08-05,55,False
2018-08-12,54,False
2018-08-19,52,False
2018-08-26,69,False
2018-09-02,54,False
2018-09-09,54,False
2018-09-16,63,False
2018-09-23,58,False
2018-09-30,67,False
