date,CVX,isPartial
2016-09-18,41,False
2016-09-25,31,False
2016-10-02,36,False
2016-10-09,33,False
2016-10-16,29,False
2016-10-23,42,False
2016-10-30,40,False
2016-11-06,53,False
2016-11-13,42,False
2016-11-20,38,False
2016-11-27,45,False
2016-12-04,47,False
2016-12-11,56,False
2016-12-18,43,False
2016-12-25,34,False
2017-01-01,37,False
2017-01-08,37,False
2017-01-15,39,False
2017-01-22,50,False
2017-01-29,39,False
2017-02-05,30,False
2017-02-12,41,False
2017-02-19,43,False
2017-02-26,44,False
2017-03-05,37,False
2017-03-12,42,False
2017-03-19,36,False
2017-03-26,48,False
2017-04-02,38,False
2017-04-09,35,False
2017-04-16,37,False
2017-04-23,34,False
2017-04-30,35,False
2017-05-07,38,False
2017-05-14,37,False
2017-05-21,39,False
2017-05-28,34,False
2017-06-04,35,False
2017-06-11,37,False
2017-06-18,35,False
2017-06-25,34,False
2017-07-02,34,False
2017-07-09,37,False
2017-07-16,32,False
2017-07-23,36,False
2017-07-30,55,False
2017-08-06,35,False
2017-08-13,41,False
2017-08-20,40,False
2017-08-27,44,False
2017-09-03,28,False
2017-09-10,34,False
2017-09-17,35,False
2017-09-24,44,False
2017-10-01,31,False
2017-10-08,32,False
2017-10-15,41,False
2017-10-22,44,False
2017-10-29,40,False
2017-11-05,44,False
2017-11-12,40,False
2017-11-19,27,False
2017-11-26,33,False
2017-12-03,32,False
2017-12-10,32,False
2017-12-17,35,False
2017-12-24,31,False
2017-12-31,38,False
2018-01-07,39,False
2018-01-14,43,False
2018-01-21,43,False
2018-01-28,58,False
2018-02-04,53,False
2018-02-11,39,False
2018-02-18,33,False
2018-02-25,28,False
2018-03-04,30,False
2018-03-11,40,False
2018-03-18,44,False
2018-03-25,41,False
2018-04-01,38,False
2018-04-08,46,False
2018-04-15,43,False
2018-04-22,49,False
2018-04-29,38,False
2018-05-06,51,False
2018-05-13,38,False
2018-05-20,43,False
2018-05-27,43,False
2018-06-03,40,False
2018-06-10,40,False
2018-06-17,34,False
2018-06-24,34,False
2018-07-01,34,False
2018-07-08,44,False
2018-07-15,34,False
2018-07-22,34,False
2018-07-29,44,False
2018-08-05,37,False
2018-08-12,37,False
2018-08-19,43,False
2018-08-26,43,False
2018-09-02,38,False
2018-09-09,44,False
2018-09-16,48,False
2018-09-23,45,False
2018-09-30,43,False
2018-10-07,39,False
2018-10-14,34,False
2018-10-21,46,False
2018-10-28,43,False
2018-11-04,38,False
2018-11-11,41,False
2018-11-18,34,False
2018-11-25,40,False
2018-12-02,37,False
2018-12-09,36,False
2018-12-16,35,False
2018-12-23,35,False
2018-12-30,35,False
2019-01-06,36,False
2019-01-13,35,False
2019-01-20,33,False
2019-01-27,45,False
2019-02-03,45,False
2019-02-10,41,False
2019-02-17,36,False
2019-02-24,46,False
2019-03-03,38,False
2019-03-10,43,False
2019-03-17,44,False
2019-03-24,39,False
2019-03-31,36,False
2019-04-07,52,False
2019-04-14,46,False
2019-04-21,42,False
2019-04-28,46,False
2019-05-05,47,False
2019-05-12,45,False
2019-05-19,33,False
2019-05-26,33,False
2019-06-02,39,False
2019-06-09,35,False
2019-06-16,34,False
2019-06-23,34,False
2019-06-30,29,False
2019-07-07,36,False
2019-07-14,33,False
2019-07-21,33,False
2019-07-28,36,False
2019-08-04,38,False
2019-08-11,30,False
2019-08-18,44,False
2019-08-25,33,False
2019-09-01,30,False
2019-09-08,38,False
2019-09-15,48,False
2019-09-22,34,False
2019-09-29,32,False
2019-10-06,31,False
2019-10-13,38,False
2019-10-20,36,False
2019-10-27,37,False
2019-11-03,43,False
2019-11-10,23,False
2019-11-17,39,False
2019-11-24,28,False
2019-12-01,29,False
2019-12-08,36,False
2019-12-15,31,False
2019-12-22,23,False
2019-12-29,30,False
2020-01-05,37,False
2020-01-12,29,False
2020-01-19,37,False
2020-01-26,53,False
2020-02-02,46,False
2020-02-09,40,False
2020-02-16,32,False
2020-02-23,44,False
2020-03-01,56,False
2020-03-08,95,False
2020-03-15,96,False
2020-03-22,100,False
2020-03-29,88,False
2020-04-05,79,False
2020-04-12,73,False
2020-04-19,95,False
2020-04-26,79,False
2020-05-03,75,False
2020-05-10,70,False
2020-05-17,63,False
2020-05-24,57,False
2020-05-31,58,False
2020-06-07,55,False
2020-06-14,53,False
